"zone","state","lga","sector","ea","hhid","qno1","qno2","hhno","tracked_obs"
4,4,407,2,796,40140,2,2,5,0
4,4,410,1,3192,40141,2,2,9,0
4,4,410,1,3192,40142,2,2,10,0
4,4,410,1,3192,40144,2,2,5,0
4,4,410,1,3192,40146,2,2,8,0
4,4,410,1,3192,40147,2,2,2,0
4,4,410,1,3192,40148,2,2,7,0
4,4,410,1,3192,40149,2,2,6,0
4,4,410,1,3414,40151,2,2,5,0
4,4,410,1,3414,40152,2,2,2,0
4,4,410,1,3414,40154,2,2,4,0
4,4,410,1,3414,40155,2,2,10,0
4,4,410,1,3414,40158,2,2,3,0
4,4,410,1,3414,40159,2,2,1,0
4,4,401,1,738,40161,2,2,8,0
4,4,401,1,738,40163,2,2,11,0
4,4,401,1,738,40164,2,2,10,0
4,4,401,1,738,40165,2,2,7,0
4,4,401,1,738,40166,2,2,1,0
4,4,401,1,738,40167,2,2,3,0
4,4,401,1,738,40168,2,2,2,0
4,4,401,1,738,40169,2,2,4,0
4,4,401,1,738,40170,2,2,5,0
4,4,421,1,800,40172,2,2,7,0
4,4,421,1,800,40173,2,2,8,2
4,4,421,1,800,40174,2,2,12,0
4,4,421,1,800,40176,2,2,3,0
4,4,421,1,800,40177,2,2,5,0
4,4,421,1,800,40178,2,2,2,0
4,4,411,1,1486,40181,1,1,4,0
4,4,411,1,1486,40182,1,1,3,0
4,4,411,1,1486,40184,1,1,10,0
4,4,411,1,1486,40186,1,1,6,0
4,4,411,1,1486,40187,1,1,11,0
4,4,411,1,1486,40188,1,1,13,0
4,4,411,1,1486,40189,1,1,15,0
4,4,411,1,1486,40190,1,1,12,0
4,4,401,2,2106,40191,2,2,5,0
4,4,401,2,2106,40193,2,2,4,0
4,4,401,2,2106,40194,2,2,8,0
4,4,401,2,2106,40195,2,2,3,0
4,4,401,2,2106,40197,2,2,1,0
4,4,401,2,2106,40198,2,2,6,0
4,4,401,2,2106,40199,2,2,9,0
4,4,401,2,2106,40200,2,2,2,0
4,4,402,2,1080,40201,1,1,1,0
4,4,402,2,1080,40202,1,1,10,0
4,4,402,2,1080,40204,1,1,11,0
4,4,402,2,1080,40206,1,1,15,0
4,4,402,2,1080,40207,1,1,16,0
4,4,402,2,1080,40208,1,1,18,0
4,4,402,2,1080,40209,1,1,22,0
4,4,402,2,1080,40210,1,1,24,0
4,4,403,2,836,40211,1,1,1,0
4,4,403,2,836,40212,1,1,2,0
4,4,403,2,836,40213,1,1,3,0
2,5,506,2,830,50001,2,2,1,0
2,5,506,2,830,50002,,,,1
2,5,506,2,830,50004,2,2,7,0
2,5,506,2,830,50005,2,2,23,0
2,5,506,2,830,50006,2,2,10,0
2,5,506,2,830,50007,2,2,12,0
2,5,506,2,830,50008,2,2,14,0
2,5,506,2,830,50009,2,2,16,0
2,5,506,2,830,50010,2,2,25,0
2,5,502,1,2194,50016,2,2,23,0
2,5,515,2,18,50021,2,2,2,0
2,5,515,2,18,50022,2,2,6,0
2,5,515,2,18,50023,2,2,10,0
2,5,515,2,18,50024,2,2,14,0
2,5,515,2,18,50025,2,2,18,0
2,5,515,2,18,50026,2,2,22,0
2,5,515,2,18,50027,2,2,26,0
2,5,515,2,18,50028,2,2,30,0
2,5,515,2,18,50029,2,2,41,0
2,5,515,2,18,50030,2,2,33,0
2,5,502,2,3878,50031,2,2,3,0
2,5,502,2,3878,50032,2,2,1,0
2,5,502,2,3878,50033,2,2,6,0
2,5,502,2,3878,50034,2,2,8,0
2,5,502,2,3878,50035,2,2,10,0
2,5,502,2,3878,50036,2,2,12,0
2,5,502,2,3878,50037,2,2,24,0
2,5,502,2,3878,50038,2,2,17,0
2,5,502,2,3878,50039,2,2,19,0
2,5,502,2,3878,50040,2,2,21,0
2,5,504,2,708,50042,3,3,5,0
2,5,504,2,708,50043,2,2,7,0
2,5,504,2,708,50044,2,2,8,0
2,5,504,2,708,50045,2,2,10,0
2,5,504,2,708,50046,2,2,11,0
2,5,504,2,708,50047,2,2,13,0
2,5,504,2,708,50048,2,2,16,0
2,5,504,2,708,50049,3,3,17,0
2,5,504,2,708,50050,2,2,20,0
2,5,513,2,348,50051,2,2,1,0
2,5,513,2,348,50052,2,2,5,0
2,5,513,2,348,50053,2,2,8,0
2,5,513,2,348,50054,2,2,12,0
2,5,513,2,348,50055,2,2,15,0
2,5,513,2,348,50056,2,2,19,0
2,5,513,2,348,50057,2,2,22,0
2,5,513,2,348,50058,2,2,26,0
2,5,513,2,348,50059,2,2,29,0
2,5,513,2,348,50060,2,2,26,0
2,5,514,2,710,50061,2,2,3,0
2,5,514,2,710,50062,2,2,7,0
2,5,514,2,710,50063,1,2,11,0
2,5,514,2,710,50064,2,2,23,0
2,5,514,2,710,50065,2,2,19,0
2,5,514,2,710,50066,2,2,23,0
2,5,514,2,710,50067,2,2,27,0
2,5,514,2,710,50068,2,2,31,0
2,5,514,2,710,50069,2,2,35,0
2,5,514,2,710,50070,2,2,39,0
2,5,501,2,60,50071,2,2,11,0
2,5,501,2,60,50072,2,2,3,0
2,5,501,2,60,50073,2,2,4,0
2,5,501,2,60,50074,2,2,6,0
2,5,501,2,60,50076,2,2,6,0
2,5,501,2,60,50077,2,2,11,0
2,5,501,2,60,50079,2,2,15,0
2,5,501,2,60,50080,2,2,17,0
2,5,516,2,942,50081,2,2,1,0
2,5,516,2,942,50082,2,2,3,0
2,5,516,2,942,50085,2,2,7,0
2,5,516,2,942,50086,2,2,9,0
2,5,516,2,942,50087,2,2,11,0
2,5,516,2,942,50088,2,2,12,0
2,5,516,2,942,50089,2,2,14,0
2,5,508,2,984,50091,2,2,2,0
2,5,508,2,984,50092,2,2,6,0
2,5,508,2,984,50093,2,2,9,0
2,5,508,2,984,50094,2,2,13,0
2,5,508,2,984,50095,2,2,16,0
2,5,508,2,984,50096,2,2,20,0
2,5,508,2,984,50097,2,2,24,0
2,5,508,2,984,50098,2,2,27,0
2,5,508,2,984,50099,2,2,31,0
2,5,508,2,984,50100,2,2,34,0
2,5,514,1,2036,50101,2,2,1,0
2,5,514,1,2036,50102,2,2,2,0
2,5,514,1,2036,50107,2,2,10,0
2,5,514,1,2036,50109,2,2,13,0
2,5,514,1,2036,50110,2,2,14,0
2,5,508,2,718,50112,2,2,23,0
2,5,508,2,718,50113,2,2,5,0
2,5,508,2,718,50114,2,2,8,0
2,5,508,2,718,50115,2,2,10,0
2,5,508,2,718,50116,2,2,12,0
2,5,508,2,718,50117,2,2,14,0
2,5,508,2,718,50118,2,2,16,0
2,5,508,2,718,50119,2,2,19,0
