"zone","state","lga","sector","ea","hhid","network_cd","s12q2","s12q2b","s12q3","tracked_obs"
2,2,218,2,1592,20113,"N3",2,,2,0
2,2,218,2,1592,20114,"N1",8,,2,0
2,2,218,2,1592,20114,"N2",13,,3,0
2,2,218,2,1592,20114,"N3",26,,3,0
2,2,218,2,1592,20115,"N1",9,,4,0
2,2,218,2,1592,20115,"N2",9,,4,0
2,2,218,2,1592,20116,"N1",9,,1,0
2,2,218,2,1592,20117,"N1",5,,3,0
2,2,218,2,1592,20117,"N2",5,,3,0
2,2,218,2,1592,20118,"N1",4,,2,0
2,2,218,2,1592,20118,"N2",12,,5,0
2,2,218,2,1592,20118,"N3",3,,1,0
2,2,218,2,1592,20118,"N4",2,,1,0
2,2,218,2,1592,20118,"N5",15,,5,0
2,2,218,2,1592,20119,"N1",3,,2,0
2,2,218,2,1592,20119,"N2",12,,5,0
2,2,218,2,1592,20119,"N3",15,,5,0
2,2,218,2,1592,20120,"N1",12,,1,0
5,3,331,1,2322,30005,"N1",1,,1,0
5,3,331,1,2322,30005,"N2",1,,1,0
5,3,331,1,2322,30005,"N3",9,,1,0
5,3,331,1,516,30011,"N1",2,,2,0
5,3,331,1,516,30011,"N2",1,,1,0
5,3,331,1,516,30011,"N3",7,,3,0
5,3,331,1,516,30011,"N4",10,,2,0
5,3,331,1,516,30011,"N5",13,,5,0
5,3,331,1,516,30011,"N6",15,,6,0
5,3,331,1,516,30012,"N1",12,,2,0
5,3,331,1,516,30012,"N2",3,,1,0
5,3,331,1,516,30020,"N1",9,,1,0
5,3,316,2,874,30021,"N1",9,,1,0
5,3,316,2,874,30021,"N2",2,,1,0
5,3,316,2,874,30023,"N1",30,,3,0
5,3,316,2,874,30023,"N2",28,,3,0
5,3,316,2,874,30023,"N3",15,,3,0
5,3,316,2,874,30023,"N4",1,,2,0
5,3,316,2,874,30023,"N5",13,,2,0
5,3,316,2,874,30023,"N6",2,,1,0
5,3,309,2,478,30031,"N1",1,,1,0
5,3,309,2,478,30031,"N2",3,,2,0
5,3,309,2,478,30031,"N3",12,,4,0
5,3,309,2,478,30031,"N4",10,,3,0
5,3,309,2,478,30032,"N1",1,,1,0
5,3,309,2,478,30032,"N2",1,,1,0
5,3,309,2,478,30032,"N3",12,,2,0
5,3,309,2,478,30033,"N1",2,,2,0
5,3,309,2,478,30033,"N2",2,,1,0
5,3,309,2,478,30034,"N1",2,,1,0
5,3,309,2,478,30034,"N2",12,,4,0
5,3,309,2,478,30036,"N1",2,,1,0
5,3,309,2,478,30036,"N2",1,,1,0
5,3,309,2,478,30036,"N3",12,,2,0
5,3,309,2,478,30036,"N4",9,,1,0
5,3,309,2,478,30037,"N1",9,,2,0
5,3,309,2,478,30039,"N1",1,,2,0
5,3,309,2,478,30039,"N2",12,,3,0
5,3,309,2,478,30039,"N3",7,,4,0
5,3,309,2,478,30040,"N1",12,,4,0
5,3,307,1,634,30043,"N1",17,,1,0
5,3,307,1,634,30043,"N2",2,,1,0
5,3,307,1,634,30043,"N3",9,,2,0
5,3,307,1,634,30048,"N1",4,,6,0
5,3,307,1,634,30048,"N2",12,,2,0
5,3,307,1,634,30049,"N1",2,,1,0
5,3,307,1,634,30049,"N2",1,,2,0
5,3,321,2,364,30051,"N1",3,,3,0
5,3,321,2,364,30051,"N2",2,,3,0
