"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11gq1a","s11gq1b","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","tracked_obs"
4,4,405,2,722,40062,1,3,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,405,2,722,40062,1,4,"PUMPKIN SEED",2193,0,,,,,,,,,,,,,,0
4,4,405,2,722,40063,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,405,2,722,40063,2,1,"OKRO",2120,0,,,,,,,,,,,,,,0
4,4,405,2,722,40064,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,405,2,722,40064,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,405,2,722,40064,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,405,2,722,40066,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,405,2,722,40066,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,405,2,722,40066,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,1,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,1,3,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,1,4,"OKRO",2120,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,1,5,"PUMPKIN SEED",2193,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,2,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,2,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,2,3,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,2,4,"OKRO",2120,0,,,,,,,,,,,,,,0
4,4,405,2,722,40067,2,5,"PUMPKIN SEED",2193,0,,,,,,,,,,,,,,0
4,4,405,2,484,40071,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,405,2,484,40071,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,405,2,484,40071,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,405,2,484,40074,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
