"zone","state","lga","sector","ea","hhid","item_cd","s11ic2","s11iq1","s11iq2","s11iq3","s11iq4a","s11iq4b","s11iq5a","s11iq5b","s11iq6","s11iq7","s11iq8","s11iq9","s11iq10","s11iq11","s11iq12a","s11iq12b","s11iq13","s11iq14","s11iq15","s11iq16","s11iq17","s11iq18a","s11iq18b","s11iq19a","s11iq19b","s11iq20","s11iq21a","s11iq21b","s11iq21c","s11iq21d","s11iq22","s11iq23a","s11iq23b","s11iq24a","s11iq24b","s11iq24c"
2,2,212,2,956,20052,114,,1,6,5000,2,,3,,16,10,0,,0,,,,2,,4,3,1500,"N5",,,1,2,,,,,0,,,,,
2,2,212,2,956,20053,105,,1,45,50000,1,,1,,32,8,0,0,0,,,,0,0,0,5,250000,"N3",,,,1,4,,,,45,"N4",,4,,
2,2,212,2,956,20053,111,,1,10,4000,1,,1,,6,4,0,0,0,,,,0,0,0,,0,,,,,2,,,,,0,,,,,
2,2,212,2,956,20053,114,,1,3,500,1,,2,,1,2,0,0,0,,,,,0,0,0,,,,0,,2,,,,,0,,,,,
2,2,212,2,956,20054,105,,1,19,40000,1,2,1,2,0,2,,,0,,,,0,,,0,,,,,1,1,4,,,,2,"N2",,4,,
2,2,212,2,956,20054,110,,1,1,4000,1,2,1,2,0,4,,,,0,,,,,,0,,,,0,0,1,4,,,,3,"N2",,4,,
2,2,212,2,956,20054,111,,1,4,5000,1,4,1,4,0,2,,,,,,,,,,0,,,,0,0,1,4,0,,,1,"N2",,4,,
2,2,212,2,956,20054,114,,1,2,400,1,2,1,2,0,4,,,,0,,,,,,0,,,,0,0,2,,,,,0,,,,,
2,2,212,2,956,20055,102,"-",1,4,15000,1,5,5,1,1,3,,,,,,,,,0,0,,,,,,2,,,,,0,,,,,
2,2,212,2,956,20055,103,,1,2,50000,1,5,5,1,2,,,,,,,,,,0,0,,,,,,2,,,,,0,,,,,
2,2,212,2,956,20055,104,,1,1,50000,1,3,5,1,1,,,,,,,,,,0,0,,,,,,2,,,,,0,,,,,
2,2,212,2,956,20055,105,,1,5,60000,1,2,5,1,5,,,,,,,,,,0,0,,,,,,1,4,0,8,0,4," N7",,4,8,
2,2,212,2,956,20056,105,,1,6,40000,1,,1,,,,,,0,,,,0,,,0,,,,,,2,,,,,2,,,,,
2,2,212,2,956,20056,110,,1,4,4000,1,,1,,,,,,0,,,,,,,0,,,,,,2,,,,,2,,,,,
2,2,212,2,956,20056,114,,1,10,400,2,3,2,3,,,,,0,,,,0,,,0,,,,,,2,,,,,2,,,,,
2,2,212,2,956,20057,105,,1,30,65000,1,,1,,30,,,,0,,,,,,,0,,,,,,2,,,,,30,"N3",,9,7,4
2,2,212,2,956,20057,110,,1,13,6000,1,,1,,8,5,,,0,,,,,,,,,,,,,2,,,,,0,,,,,
2,2,212,2,956,20058,105,,1,20,40000,1,,1,,17,3,,,0,,,,,,,0,,,,0,,1,4,,,,20,"N3",,4,,
2,2,212,2,956,20058,110,,1,3,3000,1,,1,,1,2,,,0,,,,,,,0,,,,,,2,,,,,0,,,,,
2,2,212,2,956,20058,114,,1,7,500,1,,2,,2,5,,,0,,,,,,,0,,,,0,,2,,,,,0,,,,,
2,2,212,2,956,20059,105,,1,17,40000,1,2,12,3,22,5,,,0,,,,,2,1,2,120000,"N4",,,,2,,,,,2,,,,,
2,2,212,2,956,20059,107,,1,40,50000,1,2,3,5,,,,,0,,,,,0,,0,,,,,,,,,,,0,,,,,
2,2,212,2,956,20059,110,,1,10,6000,1,6,7,4,20,10,,,0,,,,4,3,2,1,7000,"N5",,,,2,,,,,2,,,,,
2,2,212,2,956,20059,111,,1,5,7000,1,2,7,4,16,7,2,2,0,,,,1,,4,3,15000,"N6",,,2,2,,,,,2,,,,,
2,2,212,2,956,20059,114,,1,10,600,1,11,1,2,30,20,,,0,,,,6,,8,3,1500,"N6",,,3,2,,,,,2,,,,,
2,2,212,2,956,20060,105,,1,10,65000,1,,1,,10,,,,0,,,,,,,0,,,,,,2,,,,,10,"N1",,4,5,9
2,2,212,2,956,20060,107,,1,4,120000,1,,1,,4,,,,0,,,,,,0,0,,,,,,2,,,,,4,"N1",,4,5,9
2,2,212,2,956,20060,110,,1,15,7000,1,,1,,12,3,,,,,,,,,0,0,,,,,,2,,,,,,,,,,
