"zone","state","lga","sector","ea","hhid","network_cd","s12q2","s12q2b","s12q3"
2,2,210,2,1300,20063,"N5",9,,2
2,2,210,2,1300,20063,"N6",9,,2
2,2,210,2,1300,20063,"N7",9,,2
2,2,210,2,1300,20063,"N8",9,,2
2,2,210,2,1300,20064,"N1",2,,1
2,2,210,2,1300,20064,"N2",9,,2
2,2,210,2,1300,20064,"N3",9,,2
2,2,210,2,1300,20065,"N1",9,,2
2,2,210,2,1300,20065,"N2",1,,1
2,2,210,2,1300,20066,"N1",2,,1
2,2,210,2,1300,20066,"N2",8,,2
2,2,210,2,1300,20066,"N3",9,,1
2,2,210,2,1300,20066,"N4",1,,1
2,2,210,2,1300,20066,"N5",2,,1
2,2,210,2,1300,20066,"N6",9,,1
2,2,210,2,1300,20067,"N1",9,,1
2,2,210,2,1300,20067,"N2",9,,1
2,2,210,2,1300,20067,"N3",9,,1
2,2,210,2,1300,20067,"N4",17,,4
2,2,210,2,1300,20068,"N1",9,,2
2,2,210,2,1300,20068,"N2",2,,1
2,2,210,2,1300,20069,"N1",12,,5
2,2,210,2,1300,20069,"N2",9,,2
2,2,210,2,1300,20070,"N1",9,,1
2,2,210,2,1300,20070,"N2",5,,1
2,2,210,2,1300,20070,"N3",26,,1
2,2,210,2,1300,20070,"N4",7,,2
2,2,210,2,1300,20070,"N5",1,,1
2,2,210,2,1300,20070,"N6",2,,3
2,2,210,2,1300,20070,"N7",1,,1
2,2,215,1,8,20081,"N1",12,,5
2,2,215,1,8,20081,"N2",2,,3
2,2,215,1,8,20082,"N1",12,,2
2,2,215,1,8,20082,"N2",8,,3
2,2,215,1,8,20082,"N3",2,,2
2,2,215,1,8,20083,"N1",9,,2
2,2,215,1,8,20083,"N2",9,,2
2,2,215,1,8,20083,"N3",9,,2
2,2,215,1,8,20085,"N1",12,,3
2,2,215,1,8,20085,"N2",8,,4
2,2,215,1,8,20085,"N3",2,,3
2,2,215,1,8,20086,"N1",12,,3
2,2,215,1,8,20086,"N2",12,,3
2,2,215,1,8,20086,"N3",9,,2
2,2,215,1,8,20087,"N1",,,
2,2,215,1,8,20088,"N1",12,,3
2,2,215,1,8,20088,"N2",15,,3
2,2,215,1,8,20088,"N3",13,,5
2,2,215,1,8,20088,"N4",8,,4
2,2,215,1,8,20089,"N1",10,,2
2,2,215,1,8,20089,"N2",10,,2
2,2,215,1,8,20089,"N3",7,,1
2,2,215,1,8,20089,"N4",9,,1
2,2,215,1,8,20090,"N1",2,,3
2,2,215,1,8,20090,"N2",8,,4
2,2,215,1,8,20090,"N3",9,,3
2,2,207,2,1302,20091,"N1",5,,3
2,2,207,2,1302,20091,"N2",9,,3
2,2,207,2,1302,20091,"N3",9,,4
2,2,207,2,1302,20091,"N4",9,,3
2,2,207,2,1302,20091,"N5",1,,4
2,2,207,2,1302,20092,"N1",12,,4
2,2,207,2,1302,20092,"N2",12,,5
2,2,207,2,1302,20093,"N1",10,,2
2,2,207,2,1302,20093,"N2",2,,1
2,2,207,2,1302,20093,"N3",2,,1
2,2,207,2,1302,20093,"N4",28,,1
2,2,207,2,1302,20093,"N5",28,,1
2,2,207,2,1302,20094,"N1",2,,1
2,2,207,2,1302,20095,"N1",2,,1
2,2,207,2,1302,20095,"N2",1,,1
2,2,207,2,1302,20095,"N3",2,,1
2,2,207,2,1302,20095,"N4",1,,1
2,2,207,2,1302,20096,"N1",2,,1
2,2,207,2,1302,20096,"N2",2,,1
2,2,207,2,1302,20096,"N3",2,,2
2,2,207,2,1302,20096,"N4",2,,2
2,2,207,2,1302,20097,"N1",2,,1
2,2,207,2,1302,20097,"N2",1,,1
2,2,207,2,1302,20097,"N3",8,,6
2,2,207,2,1302,20097,"N4",8,,2
2,2,207,2,1302,20098,"N1",9,,2
2,2,207,2,1302,20098,"N2",9,,2
2,2,207,2,1302,20098,"N3",9,,2
2,2,207,2,1302,20098,"N4",9,,2
2,2,207,2,1302,20099,"N1",2,,1
2,2,207,2,1302,20099,"N2",2,,1
2,2,207,2,1302,20100,"N1",8,,2
2,2,207,2,1302,20100,"N2",9,,1
2,2,207,2,1302,20100,"N3",11,,1
2,2,205,2,712,20101,"N1",9,,2
2,2,205,2,712,20101,"N2",9,,2
2,2,205,2,712,20102,"N1",9,,1
2,2,205,2,712,20102,"N2",12,,1
2,2,205,2,712,20102,"N3",15,,2
2,2,205,2,712,20102,"N4",13,,5
2,2,205,2,712,20102,"N5",5,,2
2,2,205,2,712,20103,"N1",9,,2
2,2,205,2,712,20103,"N2",9,,2
2,2,205,2,712,20104,"N1",1,,1
2,2,205,2,712,20104,"N2",2,,2
2,2,205,2,712,20104,"N3",10,,2
2,2,205,2,712,20104,"N4",10,,2
2,2,205,2,712,20106,"N1",12,,2
2,2,205,2,712,20106,"N2",12,,2
2,2,205,2,712,20106,"N3",17,,5
2,2,205,2,712,20106,"N4",12,,2
2,2,205,2,712,20108,"N1",13,,5
2,2,205,2,712,20109,"N1",9,,2
2,2,205,2,712,20109,"N2",2,,1
2,2,205,2,712,20109,"N3",5,,1
2,2,205,2,712,20109,"N4",9,,5
2,2,205,2,712,20109,"N5",9,,5
2,2,205,2,712,20110,"N1",9,,1
2,2,205,2,712,20110,"N2",9,,1
2,2,205,2,712,20110,"N3",9,,1
2,2,205,2,712,20110,"N4",1,,1
2,2,218,2,1592,20111,"N1",9,,2
2,2,218,2,1592,20111,"N2",9,,2
2,2,218,2,1592,20111,"N3",9,,2
2,2,218,2,1592,20111,"N4",9,,2
2,2,218,2,1592,20111,"N5",9,,2
2,2,218,2,1592,20112,"N1",15,,2
2,2,218,2,1592,20112,"N2",1,,1
2,2,218,2,1592,20112,"N3",9,,1
2,2,218,2,1592,20113,"N1",9,,5
2,2,218,2,1592,20114,"N1",9,,3
2,2,218,2,1592,20114,"N2",9,,4
2,2,218,2,1592,20114,"N3",9,,5
2,2,218,2,1592,20114,"N4",4,,4
2,2,218,2,1592,20114,"N5",2,,2
2,2,218,2,1592,20114,"N6",28,,4
2,2,218,2,1592,20114,"N7",28,,3
2,2,218,2,1592,20115,"N1",2,,2
2,2,218,2,1592,20115,"N2",9,,2
2,2,218,2,1592,20116,"N1",9,,4
2,2,218,2,1592,20116,"N2",5,,2
2,2,218,2,1592,20116,"N3",4,,2
2,2,218,2,1592,20116,"N4",9,,2
2,2,218,2,1592,20116,"N5",9,,2
2,2,218,2,1592,20116,"N6",9,,2
2,2,218,2,1592,20116,"N7",4,,2
2,2,218,2,1592,20116,"N8",4,,2
2,2,218,2,1592,20116,"N9",28,,3
2,2,218,2,1592,20117,"N1",1,,1
2,2,218,2,1592,20118,"N1",9,,5
2,2,218,2,1592,20119,"N1",12,,5
2,2,218,2,1592,20119,"N2",9,,2
2,2,218,2,1592,20119,"N3",2,,6
2,2,218,2,1592,20120,"N1",2,,1
2,2,218,2,1592,20120,"N2",9,,2
2,2,218,2,1592,20120,"N3",2,,1
5,3,331,1,2322,30001,"N1",17,,5
5,3,331,1,2322,30001,"N2",2,,4
5,3,331,1,2322,30005,"N1",17,,6
5,3,331,1,516,30011,"N1",2,,4
5,3,331,1,516,30011,"N2",10,,3
5,3,331,1,516,30011,"N3",15,,6
5,3,331,1,516,30011,"N4",15,,6
5,3,331,1,516,30011,"N5",28,,6
5,3,316,2,874,30026,"N1",2,,1
5,3,316,2,874,30026,"N2",12,,5
5,3,316,2,874,30028,"N1",12,,5
5,3,316,2,874,30028,"N2",2,,6
5,3,309,2,478,30032,"N1",13,,1
5,3,309,2,478,30032,"N2",9,,1
5,3,309,2,478,30033,"N1",9,,1
5,3,309,2,478,30033,"N2",15,,3
5,3,309,2,478,30033,"N3",15,,5
