"zone","state","lga","sector","ea","hhid","plotid","cropid","s11eq1","s11eq2","s11eq3","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq6c","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq10c","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15","s11eq16","s11eq17a","s11eq17b","s11eq17c","s11eq18","s11eq19","s11eq19b","s11eq20","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27","s11eq28a","s11eq28b","s11eq28c","s11eq29","s11eq30","s11eq30b","s11eq31","s11eq32","s11eq33","s11eq34","s11eq35"
4,1,106,2,880,10029,1,2,"MAIZE",1080,1,1,1080,16,3,"PIECES",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,2,1,"CASSAVA",1020,1,1,1020,4,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,1,"YAM",1120,1,1,1121,100,3,"PIECES",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,2,"CASSAVA",1020,1,1,1020,10,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,3,"MAIZE",1080,1,1,1080,5,3,"PIECES",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,4,"PLANTAIN",2170,1,1,2170,12,3,"SOCKER",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,5,"PINEAPPLE",2160,1,1,2160,25,3,"SOCKRR",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,6,"COCONUT",3050,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,7,"PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,8,"ORANGE",3170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,9,"GUAVA",3090,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10030,1,1,"YAM",1121,1,1,1121,300,3,"PIECE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
