"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11gq1a","s11gq1b","s11gq1c","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","s11gq8c"
5,9,907,2,1446,90064,5,1,3040,1000,3,,100,2009,0,,,,,2,,,0,,
5,9,907,2,1446,90064,5,2,2030,2000,3,,200,2009,0,,,,,2,,,0,,
5,9,907,2,1446,90064,6,1,3040,1500,3,,150,2005,0,5,2010,5,2010,2,,,15,1,
5,9,907,2,1446,90064,6,2,2030,500,5,,500,2005,0,1,2010,12,2010,2,,,15,3,
5,9,907,2,1446,90066,1,4,3040,4500,3,,999,2010,4300,,,,,2,,,0,,
5,9,907,2,1446,90066,3,1,3181,1400,3,,999,2010,1400,,,,,2,,,0,,
5,9,912,2,102,90077,1,1,1120,2,6,,999,1977,,,,,,,,,,,
5,9,916,2,1068,90082,3,1,3180,50,3,,50,2006,,,,,,2,,,0,,
5,9,916,2,1068,90089,1,1,1020,2000,3,,200,2001,0,3,2009,8,2009,2,,,25,2,
5,9,914,2,1746,90111,2,1,1020,2,5,,997,,0,4,2010,8,2010,,,,,,
5,9,914,2,1746,90112,5,1,3180,50,3,,50,1998,0,3,2010,7,2000,2,,,60,4,"LITRE"
5,9,914,2,1746,90112,6,1,3040,1,6,,999,2000,0,5,2010,7,2010,2,,,130,1,
5,9,914,2,1746,90113,3,1,3180,60,3,,60,1973,0,,,,,,,,,,
5,9,914,2,1746,90113,4,1,3040,1,6,,999,1990,200,5,200,7,2010,1,1,,90,1,
5,9,914,2,1746,90118,1,1,3180,100,3,,55,2010,100,1,2010,9,2010,1,6,,30,2,
5,9,914,2,1746,90120,1,1,1120,400,3,,400,1978,112,10,2009,12,2009,2,,,0,,
5,10,1007,1,1166,100025,1,3,2180,1.5,4,,999,2008,0,,,,,2,,,0,,
5,10,1008,2,1314,100031,1,1,1121,2,,,,,,,,,,,,,,,
5,10,1008,2,1718,100048,3,1,3180,4,3,,300,2004,0,3,2010,5,2010,2,,,200,1,
4,11,1112,2,1952,110015,2,2,3180,10,3,,10,2010,3,,,,,2,,,,,
4,11,1112,2,1952,110016,2,2,1123,29,3,,29,1985,0,3,2010,10,2010,1,11,"LACK OF CARE",89,4,"HEAD"
4,11,1112,2,1952,110016,2,3,1080,25,3,,25,1992,0,4,2010,11,2010,2,,,1,1,
4,11,1112,2,1952,110018,2,4,3180,19,3,,19,1992,0,4,2010,11,2010,1,11,"KACK OF CARE",25,2,
4,11,1112,2,1952,110020,1,4,3180,2,3,,2,1990,2,1,2010,2,2010,2,,,4,4,"BASIN"
4,11,1112,2,78,110027,2,3,2120,42,1,,42,1995,0,4,2010,11,2010,2,,,150,1,
4,11,1112,2,78,110027,2,4,3190,4,1,,4,2004,0,3,2010,11,2010,2,,,20,3,
4,11,1112,2,78,110027,2,5,3050,35,1,,35,1999,0,3,2010,10,2010,2,,,18,2,
4,11,1112,2,78,110028,2,3,3180,6,3,,6,1960,0,3,2010,10,2010,2,,,10,2,
4,11,1110,2,714,110038,1,5,3190,8,3,,8,2004,0,4,2010,8,2010,2,,,2,3,"PICES"
4,11,1113,2,954,110117,1,1,1020,1,4,,50,2004,50,,,,,2,,,0,,
5,12,1208,2,526,120049,1,4,3040,50,3,,50,2002,,11,2009,1,2010,2,,,150,1,
5,12,1208,2,526,120049,1,5,2170,20,3,,20,1980,,7,2010,9,2010,2,,,50,4,"BUNCH"
5,12,1208,2,526,120049,1,6,3190,5,3,,5,2005,,6,2010,9,2010,2,,,150,1,
