"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11fq1a","s11fq1b","s11fq1c","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq4d"
4,1,107,2,1044,10065,2,2,2080,900,3,,4,,4,2010,8,4,"BASIN",
4,1,107,2,1044,10065,2,3,2193,500,3,,4,,3,2010,10,4,"BASIN",
4,1,107,2,1044,10065,3,1,1020,1100,3,,4,,3,2010,16,4,"BASIN",
4,1,107,2,1044,10065,3,2,3180,,,,,,,,,,,
4,1,107,2,1044,10066,1,1,1020,1000,1,,4,,4,2010,1500,1,,
4,1,107,2,1044,10066,1,2,1080,70,3,,4,,4,2010,500,1,,
4,1,107,2,1044,10066,1,3,1090,100,1,,4,,4,2010,80,4,"CUP",2
4,1,107,2,1044,10066,2,1,1020,1700,1,,4,,4,2010,1000,1,,
4,1,107,2,1044,10066,2,2,1080,100,3,,4,,4,2010,25,1,,
4,1,107,2,1044,10066,2,3,1090,50,1,,4,,4,2010,35,4,"CUP",2
4,1,107,2,1044,10066,3,1,1020,950,1,,4,,4,2010,900,1,,
4,1,107,2,1044,10066,3,2,1120,50,1,,4,,4,2010,70,3,,
4,1,107,2,1044,10066,3,3,2190,30,1,,4,,4,2010,100,4,"BUNDLE",
4,1,107,2,1044,10067,1,1,1020,1000,1,,4,,4,2010,2000,1,,
4,1,107,2,1044,10067,1,2,1080,80,,,4,,4,2010,100,1,,
4,1,107,2,1044,10067,1,3,2120,50,,,4,,4,2010,3,4,"BASKET",
4,1,107,2,1044,10067,2,1,1020,1000,1,,4,,4,2010,1000,1,,
4,1,107,2,1044,10067,2,2,1080,120,,,4,,4,2010,100,1,,
4,1,107,2,1044,10067,2,3,2190,70,,,4,,4,2010,30,4,"BUNDLE",
4,1,107,2,1044,10067,3,1,1020,1200,1,,4,,4,2010,1500,1,,
4,1,107,2,1044,10067,3,2,1080,100,,,4,,7,2010,200,1,,
4,1,107,2,1044,10067,3,3,2190,80,,,4,,7,2010,45,4,"BUNDLE",
4,1,107,2,1044,10068,1,1,1020,1000,1,,4,,4,2010,1500,1,,
4,1,107,2,1044,10068,1,2,1080,500,3,,4,,4,2010,50,1,,
4,1,107,2,1044,10068,2,1,1020,1200,1,,4,,4,2010,1000,1,,
4,1,107,2,1044,10068,2,2,1080,400,3,,4,,4,2010,70,1,,
4,1,107,2,1044,10068,2,3,2193,30,1,,4,,4,2010,25,4,"BUNDLE",
4,1,107,2,1044,10068,2,4,2120,50,3,,4,,4,2010,4,4,"BASKET",
4,1,107,2,1044,10069,1,1,1020,2000,3,,4,,4,2010,45,4,"BAGS",
4,1,107,2,1044,10069,1,2,1080,,3,,4,,4,2010,600,3,,2
4,1,107,2,1044,10069,1,3,1090,,1,,4,,4,2010,30,4,"CUPS",
4,1,107,2,1044,10069,2,1,1020,1000,3,,4,,5,2010,20,4,"BAGS",
4,1,107,2,1044,10069,2,2,1090,,1,,4,,5,2010,20,4,"CUPS",2
4,1,107,2,1044,10069,2,3,1080,,3,,4,,5,2010,300,3,,2
4,1,107,2,1044,10069,3,1,1020,1000,3,,4,,6,2010,25,4,"BAGS",
4,1,107,2,1044,10069,3,2,1080,,3,,4,,6,2010,300,3,,2
4,1,107,2,1044,10070,1,1,1020,700,3,,4,,4,2010,20,4,"BAGS",
4,1,107,2,1044,10070,1,2,1080,,3,,4,,4,2010,300,3,,
4,1,107,2,1044,10070,2,1,1120,1000,1,,4,,4,2010,400,3,,
4,1,107,2,1044,10070,2,2,1020,,3,,4,,4,2010,30,4,"BAGS",
4,1,107,2,1044,10070,2,3,2170,,3,,4,,4,2010,3,4,"SOCKERS",
4,1,107,2,1044,10070,3,1,1020,2000,3,,5,,5,2010,40,4,"BAGS",
4,1,117,2,560,10071,1,1,1020,800,1,,4,,4,2010,1000,1,,
4,1,117,2,560,10071,1,2,1080,200,3,,4,,4,2010,300,3,,
4,1,117,2,560,10071,1,3,1120,100,1,,4,,4,2010,150,3,,
4,1,117,2,560,10071,2,1,1020,800,1,,4,,4,2010,1000,1,,
4,1,117,2,560,10071,2,2,1080,200,3,,4,,4,2010,250,3,,
4,1,117,2,560,10071,3,1,1020,900,1,,4,,4,2010,1100,1,,
4,1,117,2,560,10071,3,2,2140,100,3,,4,,4,2010,30,4,"CUP",
4,1,117,2,560,10071,4,1,3180,,,,,,,,,,,
4,1,117,2,560,10072,1,1,1020,800,1,,4,,4,2010,1000,1,,
4,1,117,2,560,10072,1,2,1080,300,3,,4,,4,2010,700,3,,
4,1,117,2,560,10072,2,1,1020,900,1,,4,,4,2010,1000,1,,
4,1,117,2,560,10072,2,2,1120,100,1,,4,,4,2010,150,3,,
4,1,117,2,560,10073,1,1,1020,100,3,,4,,4,2010,5,4,"BUNDLE",
4,1,117,2,560,10073,1,2,1080,110,3,,4,,4,2010,2,4,"BASIN",2
4,1,117,2,560,10073,1,3,3180,,,,,,,,,,,
4,1,117,2,560,10073,2,1,1020,50,3,,4,,4,2010,3,4,"BASIN",2
4,1,117,2,560,10073,2,2,1080,60,3,,4,,4,2010,2,4,"BASIN",2
4,1,117,2,560,10073,2,3,2193,30,3,,4,,4,2010,4,4,"BUNDLE",2
4,1,117,2,560,10074,1,1,1121,100,1,,4,,3,2010,50,3,,2
4,1,117,2,560,10074,1,2,1020,200,3,,4,,3,2010,6,4,"BASIN",2
4,1,117,2,560,10074,1,3,3180,,,,,,,,,,,
4,1,117,2,560,10074,1,4,3220,,,,,,,,,,,
4,1,117,2,560,10074,3,1,1020,300,3,,4,,4,2010,7,4,"BASIN",2
4,1,117,2,560,10074,3,2,1080,300,3,,4,,4,2010,3,4,"BASIN",2
4,1,117,2,560,10074,3,3,3180,,,,,,,,,,,
4,1,117,2,560,10074,3,4,2170,200,3,,3,,4,2010,8,4,"BUNCH",
4,1,117,2,560,10075,1,1,1020,450,1,,4,,3,2010,225,1,,1
4,1,117,2,560,10075,1,2,1080,66,3,,4,,3,2010,50,3,,1
4,1,117,2,560,10075,1,3,1120,35,1,,4,,3,2010,47,3,,1
4,1,117,2,560,10075,2,1,1020,178,1,,4,,3,2010,89,1,,1
4,1,117,2,560,10076,1,1,1020,884,1,,4,,3,2010,445,1,,
4,1,117,2,560,10076,1,2,1080,51,3,,4,,3,2010,51,3,,
4,1,117,2,560,10076,2,1,1020,1200,1,,4,,4,2010,600,1,,
4,1,117,2,560,10076,3,1,1020,800,1,,4,,3,2010,402,1,,
4,1,117,2,560,10076,3,2,1080,46,3,,4,,3,2010,42,3,,
4,1,117,2,560,10076,4,1,1020,120,1,,4,,3,2010,60,1,,
4,1,117,2,560,10076,4,2,1080,41,1,,4,,3,2010,41,3,,
4,1,117,2,560,10077,1,1,1120,30,1,,4,,5,2010,55,3,,1
4,1,117,2,560,10077,1,2,1080,90,3,,4,,3,2010,90,3,,1
4,1,117,2,560,10077,2,1,1020,60,1,,4,,3,2010,30,1,,1
4,1,117,2,560,10077,2,2,1120,10,1,,4,,3,2010,15,3,,1
4,1,117,2,560,10077,2,3,1080,30,3,,4,,3,2010,30,3,,1
4,1,117,2,560,10078,1,1,1121,2000,1,,4,,4,2010,700,3,,
4,1,117,2,560,10078,1,2,1020,,3,,4,,4,2010,200,4,"BAG",
4,1,117,2,560,10078,1,3,1080,,3,,4,,4,2010,1000,3,,2
4,1,117,2,560,10078,1,4,1040,,1,,4,,4,2010,30,4,"BASIN",
4,1,117,2,560,10078,1,5,2190,,1,,4,,4,2010,50,4,"PIECES",
4,1,117,2,560,10078,2,1,1121,2000,1,,4,,5,2010,400,4,"PIECES",
4,1,117,2,560,10078,2,2,1020,,3,,4,,5,2010,150,4,"BAGS",
4,1,117,2,560,10079,1,1,1121,2000,1,,4,,4,2010,400,3,,
4,1,117,2,560,10079,1,2,1020,,3,,4,,4,2010,210,4,"BAGS",
4,1,117,2,560,10079,1,3,1090,,1,,4,,4,2010,200,4,"CUPS",
4,1,117,2,560,10079,2,1,1020,2000,1,,4,,4,2010,180,4,"BAG",
4,1,117,2,560,10079,2,2,2120,,3,,4,,4,2010,100,3,,
4,1,117,2,560,10079,2,3,1080,,3,,4,,4,2010,500,3,,
4,1,117,2,560,10079,3,1,1020,2000,1,,1,,5,2010,170,4,"BAG",
4,1,117,2,560,10080,1,1,1121,800,1,,4,,4,2010,800,3,,
4,1,117,2,560,10080,1,2,1020,,3,,4,,4,2010,250,4,"BAGS",
4,1,117,2,560,10080,1,3,1080,,3,,4,,4,2010,700,3,,
4,1,117,2,560,10080,2,1,1020,800,3,,4,,5,2010,200,3,,
4,1,117,2,560,10080,2,2,2191,,1,,4,,5,2010,50,3,,
4,1,117,2,560,10080,2,3,2120,,3,,4,,5,2010,60,4,"BASIN",
4,1,117,2,560,10080,3,1,1020,600,1,,4,,5,2010,40,4,"BAGS",
4,1,110,2,76,10081,1,1,1020,586,1,,1,,5,2010,293,1,,1
4,1,110,2,76,10081,2,1,1020,120,1,,1,,3,2010,60,1,,1
4,1,110,2,76,10082,1,1,1020,690,1,,4,,3,2010,75,1,,2
4,1,110,2,76,10082,1,2,1080,60,3,,4,,3,2010,600,3,,2
