"zone","state","lga","sector","ea","pid","sc1q3","sc1q4","sc1q5a","sc1q5b","sc1q6","sc1q7"
1,26,2623,2,1688,7,2,,8,,20,23
1,26,2625,2,926,1,1,,1,,60,51
1,26,2625,2,926,2,1,,2,,57,51
1,26,2625,2,926,3,1,,2,,60,33
1,26,2625,2,926,4,1,,9,,55,51
1,31,3101,2,604,1,1,,1,,29,0
1,31,3101,2,604,2,1,,10,,5,23
1,31,3101,2,604,3,2,,9,,23,23
1,31,3101,2,604,4,1,,11,,36,32
1,31,3101,2,604,5,1,,11,,58,16
1,31,3101,2,604,6,2,,8,,5,41
1,31,3103,2,874,1,1,,1,,28,0
1,31,3103,2,874,2,1,,11,,5,23
1,31,3103,2,874,3,1,,8,,27,23
1,31,3103,2,874,4,1,,9,,2,41
1,31,3103,2,874,5,2,,11,,26,0
1,31,3103,2,874,6,1,,5,,10,23
1,31,3105,1,2914,1,1,,1,,51,0
1,31,3105,1,2914,2,1,,8,,11,41
1,31,3105,1,2914,3,1,,8,,66,0
1,31,3105,1,2914,4,1,,9,,40,14
1,31,3105,1,2914,5,1,,3,,49,0
1,31,3105,1,2914,6,1,,3,,17,14
1,31,3105,1,2914,7,1,,10,,19,41
1,31,3105,1,2914,8,1,,3,,48,0
1,31,3107,1,724,1,1,,1,,15,15
1,31,3107,1,724,2,1,,5,,10,42
1,31,3107,1,724,3,2,,8,,25,0
1,31,3107,1,724,4,1,,3,,7,41
1,31,3107,1,724,5,1,,11,,29,34
1,31,3107,2,1092,1,1,,1,,41,15
1,31,3107,2,1092,2,1,,4,,45,32
1,31,3107,2,1092,3,2,,8,,15,32
1,31,3107,2,1092,4,1,,5,,28,32
1,31,3107,2,1092,5,1,,11,,30,41
1,31,3107,2,1092,6,1,,11,,30,31
1,31,3109,2,1026,1,1,,1,,40,23
1,31,3109,2,1026,2,1,,9,,35,0
1,31,3109,2,1026,3,1,,5,,28,23
1,31,3109,2,1026,4,1,,11,,20,23
1,31,3109,2,1026,5,1,,8,,35,0
1,31,3111,2,2966,1,1,,1,,58,0
1,31,3111,2,2966,2,1,,2,,59,0
1,31,3111,2,2966,3,1,,11,,37,0
1,31,3111,2,2966,4,2,,11,,22,21
1,31,3111,2,2966,5,1,,9,,25,16
1,31,3112,2,350,1,1,,1,,75,13
1,31,3112,2,350,2,1,,3,,35,14
1,31,3112,2,350,3,2,,8,,30,14
1,31,3112,2,350,4,1,,11,,32,0
1,31,3112,2,350,5,1,,11,,62,0
1,31,3112,2,350,6,1,,9,,35,0
1,31,3113,2,332,1,1,,3,,75,0
1,31,3113,2,332,2,1,,4,,45,16
1,31,3113,2,332,3,1,,9,,59,32
1,31,3113,2,332,4,2,,8,,40,32
1,31,3113,2,332,5,1,,11,,30,23
1,31,3113,2,332,6,1,,11,,28,23
1,31,3115,2,680,1,1,,1,,38,28
1,31,3115,2,680,2,1,,7,,8,16
1,31,3115,2,680,3,1,,5,,49,42
1,31,3115,2,680,4,2,,8,,18,41
1,31,3115,2,680,5,1,,11,,77,0
1,31,3116,2,1344,1,1,,1,,48,23
1,31,3116,2,1344,2,1,,9,,1,41
1,31,3116,2,1344,3,1,,5,,2,32
1,31,3116,2,1344,4,1,,5,9,3,41
1,31,3116,2,1344,5,1,,8,,30,0
1,31,3116,2,1344,6,2,,8,,9,21
1,37,3702,1,972,1,1,,1,,22,16
1,37,3702,1,972,2,2,,8,,10,16
1,37,3702,1,972,3,2,,8,,22,61
1,37,3702,1,972,4,2,,11,,20,23
1,37,3702,1,972,5,1,,3,,22,61
1,37,3706,2,6,1,1,,1,,30,0
1,37,3706,2,6,2,1,,8,,9,15
1,37,3706,2,6,3,2,,11,,30,0
1,37,3706,2,6,4,1,,3,,60,0
1,37,3706,1,156,1,1,,1,,45,13
1,37,3706,1,156,2,1,,9,,35,26
1,37,3706,1,156,3,1,,11,,17,26
1,37,3706,1,156,4,1,,3,,52,0
1,37,3706,1,156,5,2,,8,,12,26
1,37,3706,1,4144,1,1,,1,,77,61
1,37,3706,1,4144,2,1,,11,,51,42
1,37,3706,1,4144,3,2,,11,,38,26
1,37,3706,1,4144,4,1,,9,,1,42
1,37,3706,1,4144,5,2,,8,,53,41
2,2,201,2,60,1,1,,1,9,57,0
2,2,201,2,60,2,1,,10,6,55,0
2,2,201,2,60,3,2,,2,9,22,26
2,2,201,2,60,4,2,,,11,26,26
2,2,201,2,60,5,1,,,11,23,25
2,2,201,2,60,6,1,,,11,24,26
2,2,201,2,60,7,1,,,6,31,16
2,2,201,2,60,8,1,,,6,60,0
2,2,203,2,1224,1,1,,,1,30,0
2,2,203,2,1224,2,1,,,11,30,26
2,2,203,2,1224,3,1,,,6,30,16
2,2,203,2,1224,4,2,,,2,30,0
2,2,203,2,1224,5,2,,,2,30,0
2,2,203,2,1224,6,1,,,6,40,0
2,2,203,2,1224,7,1,,,6,30,0
2,2,205,2,712,1,1,,,1,40,26
2,2,205,2,712,2,1,,,6,58,16
2,2,205,2,712,3,1,,,11,22,26
2,2,205,2,712,4,1,,,9,75,26
2,2,205,2,712,5,1,,,9,2,26
2,2,205,2,712,6,1,,,7,47,31
2,2,205,2,712,7,2,,,7,47,16
2,2,205,2,712,8,1,,,8,38,42
2,2,207,2,1302,1,1,,1,1,70,0
2,2,207,2,1302,2,1,,,4,36,26
2,2,207,2,1302,3,1,,,5,55,0
2,2,207,2,1302,4,1,,,3,28,26
2,2,207,2,1302,5,1,,,9,30,26
2,2,207,2,1302,6,1,,,7,20,26
