"zone","state","lga","sector","ea","csource_cd","sc4bq5b","sc4bq6","sc4bq7","sc4bq8","sc4bq9","sc4bq10","sc4bq11","sc4bq12","sc4bq13","sc4bq14","sc4bq15","sc4bq16"
2,35,3501,2,1228,4,1,2,1,6,50,15000,36,50,150000,60,50,150000
2,35,3503,1,54,1,2,,,,,,,,,,,
2,35,3503,1,54,2,2,,,,,,,,,,,
2,35,3503,1,54,3,1,2,1,3,0,10000,,,,,,
2,35,3504,2,1288,1,2,,,,,,,,,,,
2,35,3504,2,1288,2,2,,,,,,,,,,,
2,35,3504,2,1288,3,1,2,1,10,18,11800,10,18,59000,10,18,68000
2,35,3509,2,1310,1,2,,,,,,,,,,,
2,35,3509,2,1310,2,2,,,,,,,,,,,
2,35,3509,2,1310,3,1,2,1,3,0,10000,5,0,50000,10,0,100000
2,35,3509,2,2276,1,1,2,1,10,100,20000,10,100,100000,10,100,200000
2,35,3509,2,2276,2,,,,,,,,,,,,
3,17,1702,2,510,1,2,,,,,,,,,,,
3,17,1702,2,510,2,1,2,2,10,13,11300,10,,,10,,
3,17,1702,2,510,3,1,2,1,6,,10000,6,,,10,,
3,17,1702,2,510,4,1,2,1,6,,10000,12,,,12,,
3,17,1704,2,1080,1,1,1,1,10,3,1000,15,3,3400,24,3,7000
3,17,1704,2,1080,2,1,2,1,10,,1000,12,,4200,,,
3,17,1704,2,1080,3,1,2,1,10,,1000,12,,4200,,,
3,17,1704,2,1080,4,1,2,1,2,,5000,5,,10000,,,
3,17,1704,1,2074,1,1,1,1,12,,1000,12,,5000,,,10000
3,17,1704,1,2074,2,1,2,1,12,,1000,12,,5000,,,10000
3,17,1704,1,2074,3,1,2,1,,,,,,,,,
3,17,1704,1,2074,4,1,2,1,,,,,,,,,
3,17,1706,2,284,1,2,,,,,,,,,,,
3,17,1706,2,284,2,2,,,,,,,,,,,
3,17,1706,2,284,3,2,,,,,,,,,,,
3,17,1706,2,284,4,2,,,,,,,,,,,
3,17,1710,2,546,1,2,,,,,,,,,,,
3,17,1710,2,546,2,2,,,,,,,,,,,
3,17,1710,2,546,3,1,2,1,,,,,,,,,
3,17,1710,2,546,4,1,2,1,6,,10000,6,,50000,6,,100000
3,17,1712,2,794,1,1,2,1,,,,,,,,,
3,17,1712,2,794,2,1,1,2,12,,,12,,,24,,
3,17,1712,2,794,3,1,2,1,6,,10000,6,,50000,6,,100000
3,17,1712,2,794,4,1,2,1,6,,10000,6,,50000,6,,100000
3,17,1713,1,226,1,1,1,1,,,,,,,12,,
3,17,1713,1,226,2,1,1,1,,,,,,,12,,
3,17,1713,1,226,3,1,2,1,12,,10000,6,,50000,12,,100000
3,17,1713,1,226,4,1,2,1,6,,10000,6,,50000,12,,100000
3,17,1715,2,2244,1,1,2,,,,,,,,,,
3,17,1715,2,2244,2,1,2,,,,,,,,,,
3,17,1715,2,2244,3,1,1,1,6,0,10000,12,0,50000,12,0,100000
3,17,1715,2,2244,4,1,1,1,6,0,10000,6,0,50000,6,0,100000
3,17,1716,2,1452,1,2,,,,,,,,,,,
3,17,1716,2,1452,2,2,,,,,,,,,,,
3,17,1716,2,1452,3,2,,,,,,,,,,,
3,17,1716,2,1452,4,1,1,1,4,0,10000,6,0,50000,12,0,100000
3,17,1719,2,1354,1,1,1,1,,,,2,,,,,
3,17,1719,2,1354,2,1,1,1,,,,2,,,,,
3,17,1719,2,1354,3,1,2,1,6,,,,,,,,
3,17,1719,2,1354,4,1,2,1,6,,,,,,,,
3,17,1722,2,96,1,1,1,1,,,,,,,,,
3,17,1722,2,96,2,1,1,1,,,,,,,,,
3,17,1722,2,96,3,1,1,1,,,,,,,,,
3,17,1722,2,96,4,1,2,1,6,0,10000,6,0,50000,6,0,10000
3,17,1724,2,786,1,2,,,,,,,,,,,
3,17,1724,2,786,2,2,,,,,,,,,,,
3,17,1724,2,786,3,1,2,1,6,,10000,12,,50000,12,,50000
3,17,1724,2,786,4,1,2,1,3,,10000,6,,50000,12,,50000
3,17,1727,2,634,1,2,,,,,,,,,,,
3,17,1727,2,634,2,2,,,,,,,,,,,
3,17,1727,2,634,3,1,2,1,12,0,10000,12,0,50000,12,0,100000
