"zone","state","lga","sector","ea","item_cd","sc2q2","sc2q3a","sc2q3b","sc2q3c"
1,7,722,2,234,73,1,20,300,102
1,7,722,2,234,74,1,20,200,102
1,7,722,2,234,75,1,20,50,102
1,7,722,2,234,76,1,20,150,102
1,7,722,2,234,77,1,50,600,102
1,7,722,2,234,80,1,800,2,101
1,7,722,2,234,81,1,600,2,101
1,7,722,2,234,83,1,40,1,105
1,7,722,2,234,84,1,30,1,105
1,7,722,2,234,92,1,400,1,101
1,7,722,2,234,93,1,500,1,101
1,7,722,2,234,101,1,100,250,102
1,7,722,2,234,103,1,200,200,102
1,7,722,2,234,111,1,10,15,102
1,7,722,2,234,121,1,10,15,102
1,7,722,2,234,130,1,10,50,102
1,7,722,2,234,140,1,40,500,102
1,7,722,2,234,151,1,100,330,104
1,7,722,2,234,153,1,50,350,104
1,7,722,2,234,160,1,130,600,104
1,7,722,2,234,161,1,200,2,103
1,7,722,2,234,163,1,180,750,104
1,7,722,2,892,10,1,100,1,6
1,7,722,2,892,13,1,150,1,6
1,7,722,2,892,15,1,130,200,102
1,7,722,2,892,30,1,1000,1,33
1,7,722,2,892,31,1,70,2,101
1,7,722,2,892,32,1,100,800,102
1,7,722,2,892,33,1,150,800,102
1,7,722,2,892,36,1,500,1,32
1,7,722,2,892,40,1,100,1,6
1,7,722,2,892,42,1,200,1,6
1,7,722,2,892,43,1,4000,1,13
1,7,722,2,892,50,1,250,750,104
1,7,722,2,892,52,1,260,750,104
1,7,722,2,892,61,1,4000,1,14
1,7,722,2,892,72,1,20,250,102
1,7,722,2,892,73,1,20,400,102
1,7,722,2,892,74,1,30,200,102
1,7,722,2,892,75,1,20,50,102
1,7,722,2,892,76,1,500,1,21
1,7,722,2,892,80,1,1000,2,101
1,7,722,2,892,83,1,30,1,105
1,7,722,2,892,84,1,30,1,105
1,7,722,2,892,90,1,900,1,101
1,7,722,2,892,92,1,600,1,101
1,7,722,2,892,93,1,700,1,101
1,7,722,2,892,101,1,100,175,102
1,7,722,2,892,103,1,200,200,102
1,7,722,2,892,111,1,15,20,102
1,7,722,2,892,130,1,10,40,102
1,7,722,2,892,140,1,40,500,102
1,7,722,2,892,151,1,10,300,104
1,7,722,2,892,152,1,80,330,104
1,7,722,2,892,153,1,70,350,104
1,7,722,2,892,160,1,130,600,104
1,7,722,2,892,163,1,250,750,104
1,22,2201,2,422,10,1,250,1,6
1,22,2201,2,422,11,1,200,1,6
1,22,2201,2,422,12,1,200,1,6
1,22,2201,2,422,13,1,400,1,6
1,22,2201,2,422,14,1,550,1,6
1,22,2201,2,422,15,1,150,1,106
1,22,2201,2,422,30,1,800,20,11
1,22,2201,2,422,31,1,500,10,101
1,22,2201,2,422,32,1,20,1,2
1,22,2201,2,422,33,1,30,1,2
1,22,2201,2,422,34,1,500,20,11
1,22,2201,2,422,35,1,800,8,42
1,22,2201,2,422,36,1,500,20,11
1,22,2201,2,422,37,1,500,20,11
1,22,2201,2,422,41,1,450,1,6
1,22,2201,2,422,42,1,400,1,6
1,22,2201,2,422,43,1,250,1,6
1,22,2201,2,422,50,1,150,1,106
1,22,2201,2,422,51,1,150,1,106
1,22,2201,2,422,60,1,150,4,106
1,22,2201,2,422,61,1,50,3,106
1,22,2201,2,422,64,1,150,1,106
1,22,2201,2,422,70,1,1200,1,21
1,22,2201,2,422,71,1,250,400,102
1,22,2201,2,422,72,1,300,600,102
1,22,2201,2,422,74,1,70,30,102
1,22,2201,2,422,75,1,50,20,102
1,22,2201,2,422,76,1,50,15,102
1,22,2201,2,422,80,1,1200,1,106
1,22,2201,2,422,81,1,3000,1,106
1,22,2201,2,422,82,1,600,1,106
1,22,2201,2,422,83,1,30,1,106
1,22,2201,2,422,84,1,50,1,106
1,22,2201,2,422,85,1,200,1,106
1,22,2201,2,422,90,1,700,1,101
1,22,2201,2,422,93,1,6000,1,106
1,22,2201,2,422,94,1,100,1,105
1,22,2201,2,422,101,1,250,102,102
1,22,2201,2,422,102,1,200,80,102
1,22,2201,2,422,103,1,50,70,102
1,22,2201,2,422,104,1,150,1,106
1,22,2201,2,422,110,1,50,1,106
1,22,2201,2,422,111,1,700,400,102
1,22,2203,2,266,10,1,200,1,6
1,22,2203,2,266,11,1,200,1,6
1,22,2203,2,266,12,1,120,1,6
1,22,2203,2,266,13,1,25,1,2
1,22,2203,2,266,14,1,50,1,2
1,22,2203,2,266,15,1,50,40,102
1,22,2203,2,266,16,1,200,1,6
1,22,2203,2,266,17,1,150,1,6
1,22,2203,2,266,18,1,100,1,6
1,22,2203,2,266,30,1,300,1,21
1,22,2203,2,266,31,1,700,2,101
1,22,2203,2,266,32,1,15,1,2
