"zone","state","lga","sector","ea","activity_cd","sc3bq2c","sc3bq3","sc3bq4","sc3bq5","sc3bq6","sc3bq7","sc3bq8","sc3bq9","sc3bq10","sc3bq11","sc3bq12"
1,23,2306,1,970,5,1070,1,3,1,1200,2,,1,1200,1,5000
1,23,2307,1,78,8,,1,3,1,1000,2,,1,1000,1,4500
1,23,2307,1,78,3,1120,1,3,1,2000,2,,1,2000,1,12000
1,23,2307,1,78,7,,1,3,1,800,2,,1,500,1,3500
1,23,2307,1,78,1,1120,1,3,1,1000,2,,2,,,
1,23,2307,1,78,2,1020,1,3,1,2000,2,,1,2000,1,12000
1,23,2307,1,78,6,1080,1,3,1,2000,2,,1,2000,1,12000
1,23,2307,1,78,5,1020,1,3,1,1000,2,,2,,,
1,23,2307,1,78,4,1080,1,3,1,1000,2,,2,,,
1,23,2307,1,2316,7,,1,2,1,750,1,500,1,800,1,3000
1,23,2307,1,2316,3,1020,1,2,1,2000,2,,1,2000,1,10000
1,23,2307,1,2316,6,1020,1,2,1,1000,2,,2,,,
1,23,2307,1,2316,4,1080,1,2,1,1000,2,,2,,,
1,23,2307,1,2316,8,,1,2,1,500,2,,1,1000,1,2500
1,23,2307,1,2316,2,1070,1,2,1,2000,2,,1,2000,1,10000
1,23,2307,1,2316,5,1070,1,2,1,1000,2,,2,,,
1,23,2307,1,2316,1,1080,1,2,1,2000,2,,1,2000,1,10000
1,23,2308,1,556,2,1080,1,3,1,1200,2,,2,,2,
1,23,2308,1,556,5,1080,2,,2,,2,,2,,2,
1,23,2308,1,556,7,,2,,2,,2,,2,,2,
1,23,2308,1,556,4,1120,2,,2,,2,,2,,2,
1,23,2308,1,556,3,1070,1,3,1,1200,2,,2,,2,
1,23,2308,1,556,1,1120,1,3,1,1200,2,,2,,2,
1,23,2308,1,556,8,,1,3,1,800,2,,2,,2,
1,23,2308,1,556,6,1070,2,,2,,2,,2,,2,
1,23,2308,1,5180,7,,2,,2,,,,,,,
1,23,2308,1,5180,5,1020,1,3,1,700,2,,2,,1,2500
1,23,2308,1,5180,6,1120,1,3,1,700,2,,2,,1,2500
1,23,2308,1,5180,8,,1,3,1,1000,2,,1,700,1,3000
1,23,2308,1,5180,4,1080,1,3,1,700,2,,2,,1,2500
1,23,2308,1,5180,1,1080,1,3,1,1500,2,,2,,1,5000
1,23,2308,1,5180,3,1120,1,3,1,1500,2,,2,,1,5000
1,23,2308,1,5180,2,1020,1,3,1,1500,2,,2,,1,5000
1,23,2311,2,516,6,1080,1,3,1,500,2,,2,,1,5000
1,23,2311,2,516,8,,1,3,1,500,2,,1,500,1,13000
1,23,2311,2,516,2,1070,1,3,1,1000,2,,2,,1,10000
1,23,2311,2,516,5,1070,1,3,1,800,2,,2,,1,5000
1,23,2311,2,516,1,1120,1,3,1,1000,2,,2,,1,10000
1,23,2311,2,516,3,1080,1,3,1,1000,2,,2,,1,10000
1,23,2311,2,516,7,,2,,2,,,,,,,
1,23,2311,2,516,4,1120,1,3,1,800,2,,2,,1,5000
1,23,2315,2,924,7,,1,,,,2,,1,400,2,
1,23,2315,2,924,1,1120,1,3,1,1000,2,,2,,,
1,23,2315,2,924,3,1080,1,3,1,1000,2,,2,,,
1,23,2315,2,924,2,1020,1,3,1,1000,2,,2,,,
1,23,2315,2,924,5,1020,2,,2,,2,,2,,,
1,23,2315,2,924,6,1080,2,,2,,2,,2,,,
1,23,2315,2,924,8,,1,3,1,600,2,,1,400,1,3500
1,23,2315,2,924,4,1120,2,,2,,2,,2,,,
1,23,2316,1,140,3,1070,1,3,1,500,2,,1,200,1,5000
1,23,2316,1,140,4,1110,1,3,1,500,2,,1,200,1,3500
1,23,2316,1,140,2,1090,1,3,1,500,2,,1,200,1,5000
1,23,2316,1,140,1,1110,1,3,1,500,2,,1,200,1,5000
1,23,2316,1,140,5,1090,1,3,1,500,2,,1,200,1,3500
1,23,2316,1,140,7,,2,,2,,,,,,,
1,23,2316,1,140,6,1070,1,3,1,500,2,,1,200,1,3500
1,23,2316,1,140,8,,1,3,1,500,2,,1,200,1,5000
1,25,2502,2,728,1,1120,1,2,1,700,2,,2,,1,8000
1,25,2502,2,728,2,,1,2,1,500,2,,2,,1,5000
1,25,2504,2,222,5,1080,1,1,1,500,1,500,1,500,1,1500
1,25,2504,2,222,3,1070,1,1,1,2000,1,2000,1,2000,1,3000
1,25,2504,2,222,1,1110,1,1,1,2000,1,2000,1,2000,1,4000
1,25,2504,2,222,4,1110,1,1,1,500,1,500,1,500,1,2000
1,25,2504,2,222,6,1070,1,1,1,500,1,500,1,500,1,1500
1,25,2504,2,222,2,1080,1,1,1,2000,1,2000,1,2000,1,3000
1,25,2507,2,814,3,1070,1,1,1,300,2,,1,250,2,
1,25,2507,2,814,1,1120,1,1,1,300,2,,1,250,1,
1,25,2507,2,814,4,1120,1,1,1,300,2,,1,250,2,
1,25,2507,2,814,2,1080,1,1,1,300,2,,1,250,1,
1,25,2507,2,814,8,,1,1,1,300,2,,1,250,2,
1,25,2507,2,814,6,1070,1,1,1,300,2,,1,250,2,
1,25,2507,2,814,7,,1,1,1,300,2,,1,250,2,
1,25,2507,2,814,5,1080,1,1,1,300,2,,1,250,2,
1,25,2508,1,2788,4,1080,1,1,1,400,2,,2,,1,500
1,25,2508,1,2788,6,1120,1,1,1,400,2,,2,,1,500
1,25,2508,1,2788,7,,1,1,1,700,2,,2,,1,500
1,25,2508,1,2788,3,1120,1,1,1,500,2,,2,,1,2000
1,25,2508,1,2788,8,,1,1,1,1000,2,,2,,1,1000
1,25,2508,1,2788,1,1080,1,1,1,500,2,,2,,1,2000
1,25,2508,1,2788,2,1070,1,1,1,500,2,,2,,1,2000
1,25,2508,1,2788,5,1070,1,1,1,400,2,,2,,1,500
1,25,2509,2,248,4,1090,1,1,1,1000,1,1000,1,500,2,
1,25,2509,2,248,5,1070,1,1,1,1000,1,1000,1,500,2,
1,25,2509,2,248,8,,1,1,1,1000,1,1000,1,1000,2,
1,25,2509,2,248,3,2040,1,1,1,1000,1,1000,1,500,2,
1,25,2509,2,248,6,1080,1,1,1,1000,1,1000,1,500,2,
1,25,2509,2,248,2,1120,1,1,1,1000,1,1000,1,500,2,
1,25,2509,2,248,7,,2,,2,,2,,2,,,
1,25,2509,2,248,1,1070,1,1,1,1000,1,1000,1,500,2,
1,25,2511,2,1424,2,1120,1,1,1,1000,2,,1,1000,1,3000
1,25,2511,2,1424,6,1080,1,1,1,200,2,,1,200,1,2500
1,25,2511,2,1424,1,1091,1,1,1,1000,2,,1,1000,1,3000
1,25,2511,2,1424,4,1091,1,1,1,200,2,,1,200,1,2500
1,25,2511,2,1424,5,1120,1,1,1,200,2,,1,200,1,2500
1,25,2511,2,1424,3,1080,1,1,1,1000,2,,1,1000,1,3000
1,25,2513,2,128,7,,1,3,1,350,1,250,1,200,2,
1,25,2513,2,128,4,2030,1,3,1,350,1,250,1,200,2,
1,25,2513,2,128,3,1010,1,3,1,350,1,250,1,200,1,500
1,25,2513,2,128,2,1080,1,3,1,350,1,250,1,200,1,500
1,25,2513,2,128,1,2030,1,3,1,350,1,250,1,200,1,500
1,25,2513,2,128,5,1020,1,3,1,350,1,250,1,200,2,
1,25,2513,2,128,6,1080,1,3,1,350,1,250,1,200,2,
1,25,2513,2,128,8,,1,3,1,350,1,250,1,200,2,
1,26,2601,2,822,5,2040,1,3,1,500,2,,1,300,,200
1,26,2601,2,822,7,2040,1,3,1,500,2,,1,300,,1500
1,26,2601,2,822,2,1070,1,3,1,500,2,,1,300,,200
1,26,2601,2,822,6,2040,1,3,1,500,2,,1,300,,2000
1,26,2601,2,822,8,2040,1,3,1,500,2,,1,300,,3000
1,26,2601,2,822,3,1010,1,3,1,500,2,,1,300,,200
1,26,2601,2,822,4,2040,1,3,1,500,2,,1,300,,2000
1,26,2601,2,822,1,1080,1,3,1,500,2,,1,300,,2000
1,26,2603,1,658,4,1020,1,1,1,1000,1,800,1,500,1,1000
1,26,2603,1,658,5,1080,1,1,1,1000,1,800,1,500,1,1000
1,26,2603,1,658,3,1100,1,1,1,1000,1,800,1,,1,1000
1,26,2603,1,658,7,,1,1,1,800,1,800,2,,1,1000
1,26,2603,1,658,6,1100,1,1,1,1000,1,800,1,500,1,1000
1,26,2603,1,658,2,1080,1,1,1,1000,1,800,1,,1,1000
1,26,2603,1,658,8,,1,1,1,1000,1,800,2,,1,1000
1,26,2603,1,658,1,1020,1,2,1,1000,1,800,1,,1,1000
1,26,2603,1,1786,8,,1,1,1,700,2,,1,200,1,1000
1,26,2603,1,1786,5,,1,1,1,500,2,,1,200,1,2500
1,26,2603,1,1786,4,,1,1,1,500,2,,1,200,1,2500
1,26,2603,1,1786,2,1090,1,1,1,700,2,,1,200,1,4500
1,26,2603,1,1786,3,1060,1,1,1,700,2,,1,200,1,4500
1,26,2603,1,1786,6,,1,1,1,500,2,,1,200,1,2500
1,26,2603,1,1786,1,1070,1,1,1,700,2,,1,200,1,4500
1,26,2603,1,1786,7,,1,1,1,300,2,,1,150,1,800
1,26,2605,2,594,5,1080,1,1,1,,2,,2,,2,
1,26,2605,2,594,2,1080,1,2,1,3000,2,,1,2000,1,
1,26,2605,2,594,4,1121,1,1,1,,2,,2,,2,
1,26,2605,2,594,3,1070,1,2,1,3000,2,,1,2000,1,
1,26,2605,2,594,1,1120,1,2,1,3000,2,,1,2000,1,
1,26,2605,2,594,6,1070,1,1,1,,2,,2,,2,
1,26,2606,1,516,2,1070,1,3,1,800,2,,2,,1,2000
1,26,2606,1,516,8,,1,3,1,1200,2,,2,,1,8000
1,26,2606,1,516,1,1121,1,3,1,1200,2,,2,,1,3000
1,26,2606,1,516,5,1070,1,3,1,1200,2,,2,,1,3600
1,26,2606,1,516,6,1110,1,3,1,2000,2,,2,,1,10000
1,26,2606,1,516,4,1121,1,3,1,2000,2,,2,,1,20000
1,26,2606,1,516,3,1110,1,3,1,1500,2,,2,,1,5000
1,26,2606,1,516,7,,1,3,1,700,2,,2,,1,1000
1,26,2608,2,820,6,,1,1,1,300,2,,1,20,1,6000
1,26,2608,2,820,4,,1,1,1,300,2,,1,20,1,6000
1,26,2608,2,820,2,1070,1,1,1,300,2,,1,200,1,6500
1,26,2608,2,820,3,1080,1,1,1,300,2,,1,20,1,6500
1,26,2608,2,820,8,,1,1,1,300,2,,1,20,1,6000
1,26,2608,2,820,1,1110,1,1,1,300,2,,1,200,1,6500
1,26,2608,2,820,5,,1,1,1,300,2,,1,20,1,6000
1,26,2608,2,820,7,,1,1,1,300,2,,1,20,1,5000
1,26,2611,2,424,2,1110,1,3,1,900,2,,1,500,1,5000
1,26,2611,2,424,8,,1,3,1,1000,1,500,1,350,1,14000
1,26,2611,2,424,7,,1,3,1,600,2,,1,600,1,1000
1,26,2611,2,424,1,1070,1,3,1,700,2,,1,300,1,3000
1,26,2611,2,424,6,1080,1,3,1,700,1,700,1,500,1,9000
1,26,2611,2,424,5,1110,1,3,1,1200,1,1000,1,500,1,15000
1,26,2611,2,424,4,1070,1,3,1,700,1,700,1,500,1,9000
1,26,2611,2,424,3,1080,1,3,1,700,2,,1,300,1,3000
1,26,2613,2,1462,2,1100,1,3,1,400,2,,1,200,2,
1,26,2613,2,1462,1,1070,1,3,1,400,2,,1,200,2,
1,26,2613,2,1462,6,1010,1,3,1,300,2,,1,150,2,
1,26,2613,2,1462,8,,1,3,1,500,2,,1,300,2,
1,26,2613,2,1462,3,1080,1,3,1,400,2,,1,200,2,
1,26,2613,2,1462,5,1061,1,3,1,300,2,,1,150,2,
1,26,2613,2,1462,4,1110,1,3,1,400,2,,1,200,2,
1,26,2613,2,1462,7,,1,3,1,300,2,,1,300,2,
1,26,2613,2,2248,4,1080,1,1,1,1200,2,,1,100,1,1200
1,26,2613,2,2248,5,1110,1,1,1,1200,2,,1,100,1,1200
1,26,2613,2,2248,8,,1,1,1,1000,2,,1,100,1,400
1,26,2613,2,2248,6,1060,1,1,1,1200,2,,1,100,1,1200
1,26,2613,2,2248,3,1060,1,1,1,2000,2,,1,200,1,2000
1,26,2613,2,2248,2,1110,1,1,1,2000,2,,1,200,1,2000
1,26,2613,2,2248,7,,1,1,1,800,2,,1,100,1,600
1,26,2613,2,2248,1,1080,1,1,1,2000,2,,1,200,1,2000
1,26,2615,2,2178,4,1080,1,3,1,600,2,,1,300,1,2400
1,26,2615,2,2178,3,1060,1,3,1,800,1,500,1,500,1,4000
1,26,2615,2,2178,1,1080,1,3,1,800,1,500,1,500,1,4000
1,26,2615,2,2178,5,1110,1,3,1,900,2,,1,500,1,3500
1,26,2615,2,2178,2,1110,1,3,1,800,1,500,1,500,1,4000
