"zone","state","lga","sector","ea","hhid","plotid","indiv","s11c1q1a","s11c1q1b","s11c1q1c","s11c1q1d_1","s11c1q1d_2","s11c1q1d_3","s11c1q1d_4","s11c1q1d_5","s11c1q1d_6"
4,1,108,2,904,10109,2,1,1,12,4,1,0,0,1,0,0
4,1,108,2,904,10109,2,6,1,8,4,0,1,0,0,0,0
4,1,108,2,904,10109,2,10,2,,,,,,,,
4,1,108,2,904,10110,1,4,1,25,8,1,0,0,1,0,0
4,1,108,2,904,10110,1,1,1,46,5,0,1,1,0,0,0
4,1,108,2,904,10110,1,7,1,24,4,0,1,1,0,0,0
4,1,108,2,904,10110,1,2,1,36,5,0,1,1,0,0,0
4,1,108,2,904,10110,1,8,2,,,,,,,,
4,1,108,2,904,10110,1,6,2,,,,,,,,
4,1,108,2,904,10110,2,6,2,,,,,,,,
4,1,108,2,904,10110,2,2,1,18,4,0,1,1,0,0,0
4,1,108,2,904,10110,2,8,2,,,,,,,,
4,1,108,2,904,10110,2,1,1,24,5,0,1,1,0,0,0
4,1,108,2,904,10110,2,7,1,28,5,0,1,1,0,0,0
4,1,108,2,904,10110,2,4,1,24,8,1,0,0,1,0,0
4,1,102,1,46,19008,1,2,1,15,4,0,1,1,0,1,0
4,1,102,1,46,19008,1,1,1,25,5,1,1,1,0,1,1
4,1,102,1,46,19008,2,1,1,30,5,1,1,1,0,1,1
4,1,102,1,46,19008,2,2,1,20,4,0,1,1,0,1,0
4,1,104,2,412,19038,1,1,1,21,6,0,1,1,0,0,0
4,1,104,2,412,19039,1,1,1,12,2,0,0,1,0,0,0
4,1,104,2,412,19039,1,3,1,45,6,1,0,0,0,0,0
4,1,104,2,412,19039,1,2,2,,,,,,,,
4,1,104,2,412,19039,2,2,2,,,,,,,,
4,1,104,2,412,19039,2,3,1,15,6,0,0,1,0,0,0
4,1,104,2,412,19039,2,1,1,10,4,0,1,1,0,0,0
4,1,104,2,412,19041,1,2,1,5,5,0,0,1,0,0,0
4,1,104,2,412,19041,1,1,1,6,7,1,0,0,0,0,0
4,1,104,2,412,19041,2,1,1,5,5,1,0,0,0,0,0
4,1,104,2,412,19041,2,2,1,5,7,0,0,1,0,0,0
4,1,104,2,412,19043,1,1,1,52,10,1,0,1,0,0,0
4,1,104,2,412,19043,2,1,1,42,8,1,0,1,0,0,0
4,1,104,2,412,19043,3,1,1,32,6,1,0,1,0,1,0
4,1,104,2,412,19043,4,1,1,20,10,1,0,1,0,0,0
4,1,104,2,412,19044,1,1,1,16,7,0,0,1,0,1,1
4,1,104,2,412,19044,2,1,1,12,6,0,1,1,0,0,0
4,1,104,2,412,19045,1,1,1,12,5,1,1,0,0,0,0
4,1,104,2,412,19045,1,2,1,10,5,0,0,1,0,0,0
4,1,104,2,412,19045,2,2,1,12,4,0,0,1,0,0,0
4,1,104,2,412,19045,2,1,1,8,5,1,1,0,0,0,0
4,1,104,2,412,19047,1,2,1,3,8,1,0,1,0,0,0
4,1,104,2,412,19047,1,4,1,2,6,0,1,1,0,0,0
4,1,104,2,412,19047,1,3,1,2,7,1,1,0,0,0,0
4,1,104,2,412,19047,1,1,2,,,,,,,,
4,1,104,2,412,19047,2,2,1,3,8,0,1,1,0,0,0
4,1,104,2,412,19047,2,3,1,2,6,1,1,0,0,0,0
4,1,104,2,412,19047,2,4,1,2,5,0,1,1,0,0,0
4,1,104,2,412,19047,2,1,2,,,,,,,,
4,1,104,2,412,19048,1,1,1,5,6,0,1,0,0,0,0
4,1,104,2,412,19048,1,2,1,4,7,1,0,0,0,0,0
4,1,104,2,412,19048,2,1,1,5,5,0,1,0,0,0,0
4,1,104,2,412,19048,2,2,1,6,5,1,0,0,1,0,0
4,1,104,2,412,19048,3,1,1,4,6,0,1,0,0,0,0
4,1,104,2,412,19048,3,2,1,6,7,0,0,0,1,0,0
4,1,104,2,1020,19049,1,1,1,90,6,1,1,0,0,0,0
4,1,104,2,1020,19049,1,2,1,66,4,0,0,1,0,0,0
4,1,104,2,1020,19049,2,1,1,54,9,1,1,0,0,0,0
4,1,104,2,1020,19049,2,2,1,52,3,0,0,1,0,0,0
4,1,104,2,1020,19051,2,2,1,52,4,1,0,0,0,0,0
4,1,104,2,1020,19051,2,4,2,,,,,,,,
4,1,104,2,1020,19051,2,1,1,12,8,0,0,1,0,0,0
4,1,104,2,1020,19051,2,3,2,,,,,,,,
4,1,104,2,1020,19051,3,3,2,,,,,,,,
4,1,104,2,1020,19051,3,2,1,52,4,1,0,0,0,0,0
4,1,104,2,1020,19051,3,1,1,86,8,0,1,1,0,0,0
4,1,104,2,1020,19051,3,4,2,,,,,,,,
4,1,104,2,1020,19052,1,5,2,,,,,,,,
4,1,104,2,1020,19052,1,3,1,30,4,0,0,0,1,0,0
