"zone","state","lga","sector","ea","hhid","topic_cd","s11l1q1","s11l1q2","s11l1q2_os"
4,1,108,2,904,10109,3,2,,
4,1,108,2,904,10109,4,2,,
4,1,108,2,904,10109,5,2,,
4,1,108,2,904,10109,6,2,,
4,1,108,2,904,10109,7,2,,
4,1,108,2,904,10109,8,2,,
4,1,108,2,904,10109,9,2,,
4,1,108,2,904,10109,10,2,,
4,1,108,2,904,10109,11,2,,
4,1,108,2,904,10109,12,2,,
4,1,108,2,904,10110,1,2,,
4,1,108,2,904,10110,2,2,,
4,1,108,2,904,10110,3,2,,
4,1,108,2,904,10110,4,2,,
4,1,108,2,904,10110,5,2,,
4,1,108,2,904,10110,6,2,,
4,1,108,2,904,10110,7,2,,
4,1,108,2,904,10110,8,2,,
4,1,108,2,904,10110,9,2,,
4,1,108,2,904,10110,10,2,,
4,1,108,2,904,10110,11,2,,
4,1,108,2,904,10110,12,2,,
4,1,102,1,46,19008,1,2,,
4,1,102,1,46,19008,2,2,,
4,1,102,1,46,19008,3,2,,
4,1,102,1,46,19008,4,2,,
4,1,102,1,46,19008,5,2,,
4,1,102,1,46,19008,6,2,,
4,1,102,1,46,19008,7,2,,
4,1,102,1,46,19008,8,2,,
4,1,102,1,46,19008,9,2,,
4,1,102,1,46,19008,10,2,,
4,1,102,1,46,19008,11,2,,
4,1,102,1,46,19008,12,2,,
4,1,102,1,806,19014,1,2,,
4,1,102,1,806,19014,2,2,,
4,1,102,1,806,19014,3,2,,
4,1,102,1,806,19014,4,2,,
4,1,102,1,806,19014,5,2,,
4,1,102,1,806,19014,6,2,,
4,1,102,1,806,19014,7,2,,
4,1,102,1,806,19014,8,2,,
4,1,102,1,806,19014,9,2,,
4,1,102,1,806,19014,10,2,,
4,1,102,1,806,19014,11,2,,
4,1,102,1,806,19014,12,2,,
4,1,104,2,412,19038,1,2,,
4,1,104,2,412,19038,2,2,,
4,1,104,2,412,19038,3,2,,
4,1,104,2,412,19038,4,2,,
4,1,104,2,412,19038,5,2,,
4,1,104,2,412,19038,6,2,,
4,1,104,2,412,19038,7,2,,
4,1,104,2,412,19038,8,2,,
4,1,104,2,412,19038,9,2,,
4,1,104,2,412,19038,10,2,,
4,1,104,2,412,19038,11,2,,
4,1,104,2,412,19038,12,2,,
4,1,104,2,412,19039,1,2,,
4,1,104,2,412,19039,2,2,,
4,1,104,2,412,19039,3,2,,
4,1,104,2,412,19039,4,2,,
4,1,104,2,412,19039,5,2,,
4,1,104,2,412,19039,6,2,,
4,1,104,2,412,19039,7,2,,
4,1,104,2,412,19039,8,2,,
4,1,104,2,412,19039,9,2,,
4,1,104,2,412,19039,10,2,,
4,1,104,2,412,19039,11,2,,
4,1,104,2,412,19039,12,2,,
4,1,104,2,412,19041,1,2,,
4,1,104,2,412,19041,2,1,2,
4,1,104,2,412,19041,3,1,2,
4,1,104,2,412,19041,4,2,,
4,1,104,2,412,19041,5,2,,
4,1,104,2,412,19041,6,2,,
4,1,104,2,412,19041,7,2,,
4,1,104,2,412,19041,8,2,,
4,1,104,2,412,19041,9,2,,
4,1,104,2,412,19041,10,2,,
4,1,104,2,412,19041,11,2,,
4,1,104,2,412,19041,12,2,,
4,1,104,2,412,19043,1,2,,
4,1,104,2,412,19043,2,2,,
4,1,104,2,412,19043,3,2,,
4,1,104,2,412,19043,4,2,,
4,1,104,2,412,19043,5,2,,
4,1,104,2,412,19043,6,2,,
4,1,104,2,412,19043,7,2,,
4,1,104,2,412,19043,8,2,,
4,1,104,2,412,19043,9,2,,
4,1,104,2,412,19043,10,2,,
4,1,104,2,412,19043,11,2,,
4,1,104,2,412,19043,12,2,,
4,1,104,2,412,19044,1,2,,
4,1,104,2,412,19044,2,1,13,
4,1,104,2,412,19044,3,2,,
4,1,104,2,412,19044,4,2,,
4,1,104,2,412,19044,5,2,,
4,1,104,2,412,19044,6,2,,
4,1,104,2,412,19044,7,2,,
4,1,104,2,412,19044,8,2,,
4,1,104,2,412,19044,9,2,,
4,1,104,2,412,19044,10,2,,
4,1,104,2,412,19044,11,2,,
4,1,104,2,412,19044,12,2,,
4,1,104,2,412,19045,1,2,,
4,1,104,2,412,19045,2,2,,
4,1,104,2,412,19045,3,2,,
4,1,104,2,412,19045,4,2,,
4,1,104,2,412,19045,5,1,10,
4,1,104,2,412,19045,6,2,,
4,1,104,2,412,19045,7,2,,
4,1,104,2,412,19045,8,2,,
4,1,104,2,412,19045,9,2,,
4,1,104,2,412,19045,10,2,,
4,1,104,2,412,19045,11,2,,
4,1,104,2,412,19045,12,2,,
4,1,104,2,412,19047,1,1,5,
4,1,104,2,412,19047,2,1,5,
4,1,104,2,412,19047,3,1,5,
4,1,104,2,412,19047,4,2,,
4,1,104,2,412,19047,5,2,,
4,1,104,2,412,19047,6,2,,
4,1,104,2,412,19047,7,2,,
4,1,104,2,412,19047,8,2,,
4,1,104,2,412,19047,9,2,,
4,1,104,2,412,19047,10,2,,
4,1,104,2,412,19047,11,2,,
4,1,104,2,412,19047,12,2,,
4,1,104,2,412,19048,1,2,,
4,1,104,2,412,19048,2,2,,
4,1,104,2,412,19048,3,1,11,
4,1,104,2,412,19048,4,2,,
4,1,104,2,412,19048,5,1,11,
4,1,104,2,412,19048,6,2,,
4,1,104,2,412,19048,7,2,,
4,1,104,2,412,19048,8,2,,
4,1,104,2,412,19048,9,2,,
4,1,104,2,412,19048,10,2,,
4,1,104,2,412,19048,11,2,,
4,1,104,2,412,19048,12,2,,
4,1,104,2,1020,19049,1,2,,
4,1,104,2,1020,19049,2,2,,
4,1,104,2,1020,19049,3,2,,
4,1,104,2,1020,19049,4,2,,
4,1,104,2,1020,19049,5,2,,
4,1,104,2,1020,19049,6,2,,
4,1,104,2,1020,19049,7,2,,
4,1,104,2,1020,19049,8,2,,
4,1,104,2,1020,19049,9,2,,
4,1,104,2,1020,19049,10,2,,
4,1,104,2,1020,19049,11,2,,
4,1,104,2,1020,19049,12,2,,
4,1,104,2,1020,19050,1,2,,
4,1,104,2,1020,19050,2,2,,
4,1,104,2,1020,19050,3,2,,
4,1,104,2,1020,19050,4,2,,
4,1,104,2,1020,19050,5,2,,
4,1,104,2,1020,19050,6,2,,
4,1,104,2,1020,19050,7,2,,
4,1,104,2,1020,19050,8,2,,
4,1,104,2,1020,19050,9,2,,
4,1,104,2,1020,19050,10,2,,
4,1,104,2,1020,19050,11,2,,
4,1,104,2,1020,19050,12,2,,
4,1,104,2,1020,19051,1,2,,
4,1,104,2,1020,19051,2,2,,
4,1,104,2,1020,19051,3,2,,
4,1,104,2,1020,19051,4,2,,
4,1,104,2,1020,19051,5,2,,
4,1,104,2,1020,19051,6,2,,
4,1,104,2,1020,19051,7,2,,
4,1,104,2,1020,19051,8,2,,
4,1,104,2,1020,19051,9,2,,
4,1,104,2,1020,19051,10,2,,
4,1,104,2,1020,19051,11,2,,
4,1,104,2,1020,19051,12,2,,
4,1,104,2,1020,19052,1,2,,
4,1,104,2,1020,19052,2,2,,
4,1,104,2,1020,19052,3,2,,
