"zone","state","lga","sector","ea","cluster_id","InterviewDate"
5,3,316,2,874,"316-874",1/19/2019 04:06:16
5,3,316,2,910,"316-910",1/18/2019 03:02:03
5,3,317,2,586,"317-586",1/21/2019 08:22:02
5,3,318,2,1136,"318-1136",1/14/2019 05:22:07
5,3,318,2,56,"318-56",1/16/2019 07:50:13
5,3,320,2,266,"320-266",1/19/2019 05:28:13
5,32,3203,2,1420,"3203-1420",1/17/2019 04:33:35
5,32,3205,2,846,"3205-846",1/29/2019 04:32:20
5,32,3206,1,1646,"3206-1646",1/15/2019 05:40:33
5,32,3206,2,276,"3206-276",1/14/2019 06:09:51
5,32,3206,1,622,"3206-622",1/16/2019 04:11:05
5,32,3212,2,450,"3212-450",1/19/2019 04:39:27
5,32,3213,2,128,"3213-128",1/9/2019 06:38:03
5,32,3213,2,1358,"3213-1358",1/11/2019 04:24:50
5,32,3213,2,282,"3213-282",1/7/2019 05:30:13
5,32,3215,1,2978,"3215-2978",1/26/2019 05:44:57
5,32,3215,1,4712,"3215-4712",1/28/2019 05:33:40
5,32,3223,2,668,"3223-668",1/22/2019 02:25:01
5,3,323,2,488,"323-488",1/28/2019 03:39:36
5,3,326,2,502,"326-502",1/9/2019 06:00:36
5,3,327,2,196,"327-196",1/23/2019 03:59:17
5,3,327,2,246,"327-246",1/25/2019 05:14:25
5,3,329,2,608,"329-608",1/7/2019 05:04:57
3,33,3302,2,816,"3302-816",1/8/2019 03:22:12
3,33,3304,2,418,"3304-418",1/16/2019 08:51:48
3,33,3305,2,846,"3305-846",1/30/2019 08:00:30
3,33,3313,2,930,"3313-930",1/19/2019 04:08:02
3,33,3318,2,1498,"3318-1498",1/22/2019 03:31:24
3,33,3321,2,118,"3321-118",1/10/2019 03:43:18
3,33,3323,2,92,"3323-92",1/25/2019 10:10:11
2,34,3401,2,370,"3401-370",1/14/2019 04:11:50
2,34,3402,2,72,"3402-72",1/11/2019 01:43:29
2,34,3402,2,768,"3402-768",1/12/2019 05:42:11
2,34,3405,2,456,"3405-456",1/16/2019 06:25:42
2,34,3406,2,728,"3406-728",1/23/2019 06:45:22
2,34,3407,1,64,"3407-64",1/21/2019 03:32:19
2,34,3408,2,870,"3408-870",1/19/2019 05:58:09
2,34,3409,2,500,"3409-500",1/26/2019 02:34:42
2,34,3411,2,1034,"3411-1034",1/8/2019 05:13:45
2,34,3412,2,156,"3412-156",1/24/2019 08:32:15
2,34,3416,2,620,"3416-620",1/18/2019 04:59:15
2,35,3505,2,1726,"3505-1726",1/19/2019 05:50:30
2,35,3506,2,2404,"3506-2404",1/12/2019 04:04:41
2,35,3507,2,596,"3507-596",1/8/2019 06:10:41
2,35,3510,2,550,"3510-550",1/17/2019 04:59:14
2,35,3512,2,478,"3512-478",1/22/2019 10:09:22
2,35,3513,2,576,"3513-576",1/14/2019 04:57:47
2,35,3514,1,1050,"3514-1050",1/26/2019 06:03:19
3,36,3606,2,1956,"3606-1956",1/21/2019 04:35:15
3,36,3608,2,1300,"3608-1300",1/10/2019 04:46:37
3,36,3608,2,2078,"3608-2078",1/7/2019 06:34:06
