"zone","state","lga","sector","ea","cluster_id","amenities_cd","c5q1"
4,1,102,1,806,"102-806",512,5
4,1,102,1,806,"102-806",513,5
4,1,102,1,806,"102-806",514,5
4,1,102,1,806,"102-806",516,5
4,1,102,1,806,"102-806",517,5
4,1,102,1,806,"102-806",518,5
4,1,102,1,806,"102-806",519,5
4,1,102,1,806,"102-806",520,5
4,1,102,1,806,"102-806",522,1
4,1,102,1,806,"102-806",523,1
4,1,102,1,806,"102-806",524,1
4,1,102,1,806,"102-806",525,1
4,1,102,1,806,"102-806",526,3
4,1,102,1,806,"102-806",527,3
4,1,102,1,806,"102-806",528,3
4,1,102,1,806,"102-806",529,3
4,1,102,1,806,"102-806",530,3
4,1,102,1,806,"102-806",531,2
4,1,102,1,806,"102-806",532,3
4,1,102,1,806,"102-806",533,3
4,1,102,1,806,"102-806",534,3
5,10,1022,1,30,"1022-30",501,5
5,10,1022,1,30,"1022-30",502,5
5,10,1022,1,30,"1022-30",503,5
5,10,1022,1,30,"1022-30",505,4
5,10,1022,1,30,"1022-30",506,4
5,10,1022,1,30,"1022-30",507,1
5,10,1022,1,30,"1022-30",508,3
5,10,1022,1,30,"1022-30",509,4
5,10,1022,1,30,"1022-30",510,5
5,10,1022,1,30,"1022-30",512,5
5,10,1022,1,30,"1022-30",513,5
5,10,1022,1,30,"1022-30",514,5
5,10,1022,1,30,"1022-30",516,3
5,10,1022,1,30,"1022-30",517,5
5,10,1022,1,30,"1022-30",518,4
5,10,1022,1,30,"1022-30",519,3
5,10,1022,1,30,"1022-30",520,5
5,10,1022,1,30,"1022-30",522,4
5,10,1022,1,30,"1022-30",523,4
5,10,1022,1,30,"1022-30",524,3
5,10,1022,1,30,"1022-30",525,2
5,10,1022,1,30,"1022-30",526,6
5,10,1022,1,30,"1022-30",527,3
5,10,1022,1,30,"1022-30",528,3
5,10,1022,1,30,"1022-30",529,5
5,10,1022,1,30,"1022-30",530,5
5,10,1022,1,30,"1022-30",531,4
5,10,1022,1,30,"1022-30",532,4
5,10,1022,1,30,"1022-30",533,2
5,10,1022,1,30,"1022-30",534,3
5,10,1022,1,386,"1022-386",501,4
5,10,1022,1,386,"1022-386",502,4
5,10,1022,1,386,"1022-386",503,5
5,10,1022,1,386,"1022-386",505,3
5,10,1022,1,386,"1022-386",506,4
5,10,1022,1,386,"1022-386",507,1
5,10,1022,1,386,"1022-386",508,3
5,10,1022,1,386,"1022-386",509,3
5,10,1022,1,386,"1022-386",510,4
5,10,1022,1,386,"1022-386",512,6
5,10,1022,1,386,"1022-386",513,5
5,10,1022,1,386,"1022-386",514,5
5,10,1022,1,386,"1022-386",516,3
5,10,1022,1,386,"1022-386",517,4
5,10,1022,1,386,"1022-386",518,4
5,10,1022,1,386,"1022-386",519,4
5,10,1022,1,386,"1022-386",520,5
5,10,1022,1,386,"1022-386",522,5
5,10,1022,1,386,"1022-386",523,3
5,10,1022,1,386,"1022-386",524,1
5,10,1022,1,386,"1022-386",525,3
5,10,1022,1,386,"1022-386",526,6
5,10,1022,1,386,"1022-386",527,3
5,10,1022,1,386,"1022-386",528,3
5,10,1022,1,386,"1022-386",529,3
5,10,1022,1,386,"1022-386",530,4
5,10,1022,1,386,"1022-386",531,4
5,10,1022,1,386,"1022-386",532,4
5,10,1022,1,386,"1022-386",533,3
5,10,1022,1,386,"1022-386",534,2
5,10,1023,2,346,"1023-346",501,3
5,10,1023,2,346,"1023-346",502,3
5,10,1023,2,346,"1023-346",503,1
5,10,1023,2,346,"1023-346",505,3
5,10,1023,2,346,"1023-346",506,3
5,10,1023,2,346,"1023-346",507,6
5,10,1023,2,346,"1023-346",508,3
5,10,1023,2,346,"1023-346",509,3
5,10,1023,2,346,"1023-346",510,3
5,10,1023,2,346,"1023-346",512,2
5,10,1023,2,346,"1023-346",513,1
5,10,1023,2,346,"1023-346",514,1
5,10,1023,2,346,"1023-346",516,3
5,10,1023,2,346,"1023-346",517,3
5,10,1023,2,346,"1023-346",518,3
5,10,1023,2,346,"1023-346",519,3
5,10,1023,2,346,"1023-346",520,2
5,10,1023,2,346,"1023-346",522,1
5,10,1023,2,346,"1023-346",523,6
5,10,1023,2,346,"1023-346",524,1
5,10,1023,2,346,"1023-346",525,3
5,10,1023,2,346,"1023-346",526,6
5,10,1023,2,346,"1023-346",527,4
5,10,1023,2,346,"1023-346",528,5
5,10,1023,2,346,"1023-346",529,4
5,10,1023,2,346,"1023-346",530,5
5,10,1023,2,346,"1023-346",531,3
5,10,1023,2,346,"1023-346",532,5
5,10,1023,2,346,"1023-346",533,3
5,10,1023,2,346,"1023-346",534,1
5,10,1025,2,1774,"1025-1774",501,5
5,10,1025,2,1774,"1025-1774",502,5
5,10,1025,2,1774,"1025-1774",503,4
5,10,1025,2,1774,"1025-1774",505,4
5,10,1025,2,1774,"1025-1774",506,4
5,10,1025,2,1774,"1025-1774",507,1
5,10,1025,2,1774,"1025-1774",508,3
5,10,1025,2,1774,"1025-1774",509,3
5,10,1025,2,1774,"1025-1774",510,4
5,10,1025,2,1774,"1025-1774",512,5
5,10,1025,2,1774,"1025-1774",513,5
5,10,1025,2,1774,"1025-1774",514,5
5,10,1025,2,1774,"1025-1774",516,3
5,10,1025,2,1774,"1025-1774",517,5
5,10,1025,2,1774,"1025-1774",518,4
5,10,1025,2,1774,"1025-1774",519,3
5,10,1025,2,1774,"1025-1774",520,5
5,10,1025,2,1774,"1025-1774",522,2
5,10,1025,2,1774,"1025-1774",523,2
5,10,1025,2,1774,"1025-1774",524,2
5,10,1025,2,1774,"1025-1774",525,3
5,10,1025,2,1774,"1025-1774",526,6
5,10,1025,2,1774,"1025-1774",527,3
5,10,1025,2,1774,"1025-1774",528,3
5,10,1025,2,1774,"1025-1774",529,4
5,10,1025,2,1774,"1025-1774",530,3
5,10,1025,2,1774,"1025-1774",531,4
5,10,1025,2,1774,"1025-1774",532,3
5,10,1025,2,1774,"1025-1774",533,2
5,10,1025,2,1774,"1025-1774",534,3
4,1,104,2,1020,"104-1020",501,3
4,1,104,2,1020,"104-1020",502,5
4,1,104,2,1020,"104-1020",503,3
4,1,104,2,1020,"104-1020",505,3
4,1,104,2,1020,"104-1020",506,5
4,1,104,2,1020,"104-1020",507,3
4,1,104,2,1020,"104-1020",508,4
4,1,104,2,1020,"104-1020",509,4
4,1,104,2,1020,"104-1020",510,4
4,1,104,2,1020,"104-1020",512,5
4,1,104,2,1020,"104-1020",513,5
4,1,104,2,1020,"104-1020",514,5
4,1,104,2,1020,"104-1020",516,5
4,1,104,2,1020,"104-1020",517,5
4,1,104,2,1020,"104-1020",518,5
4,1,104,2,1020,"104-1020",519,5
4,1,104,2,1020,"104-1020",520,5
4,1,104,2,1020,"104-1020",522,1
4,1,104,2,1020,"104-1020",523,1
4,1,104,2,1020,"104-1020",524,1
4,1,104,2,1020,"104-1020",525,1
4,1,104,2,1020,"104-1020",526,3
4,1,104,2,1020,"104-1020",527,5
4,1,104,2,1020,"104-1020",528,5
4,1,104,2,1020,"104-1020",529,1
4,1,104,2,1020,"104-1020",530,1
4,1,104,2,1020,"104-1020",531,3
4,1,104,2,1020,"104-1020",532,3
4,1,104,2,1020,"104-1020",533,4
4,1,104,2,1020,"104-1020",534,5
4,1,104,2,412,"104-412",501,5
4,1,104,2,412,"104-412",502,3
4,1,104,2,412,"104-412",503,3
4,1,104,2,412,"104-412",505,3
4,1,104,2,412,"104-412",506,3
4,1,104,2,412,"104-412",507,3
4,1,104,2,412,"104-412",508,3
4,1,104,2,412,"104-412",509,4
4,1,104,2,412,"104-412",510,3
4,1,104,2,412,"104-412",512,4
4,1,104,2,412,"104-412",513,4
4,1,104,2,412,"104-412",514,4
4,1,104,2,412,"104-412",516,4
4,1,104,2,412,"104-412",517,4
4,1,104,2,412,"104-412",518,4
4,1,104,2,412,"104-412",519,5
4,1,104,2,412,"104-412",520,4
4,1,104,2,412,"104-412",522,1
4,1,104,2,412,"104-412",523,1
4,1,104,2,412,"104-412",524,1
