"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iq3","sa3iq4","sa3iq4_os","sa3iq4a1","sa3iq4a2","sa3iq4b","sa3iq4c","sa3iq5","sa3iq6i","sa3iq6ii","sa3iq6_4","sa3iq6_2","sa3iq6_conv","sa3iq6a","sa3iq6b","sa3iq6c1","sa3iq6c2","sa3iq6d1","sa3iq6d2","sa3iq6d4","sa3iq6d2a","sa3iq6d_conv","sa3iq6e_1","sa3iq6e_2","sa3iq6e_3","sa3iq6e_4","sa3iq6e_5","sa3iq6e_6","sa3iq6e_7","sa3iq6e_8"
4,1,105,2,638,10091,1,1090,1,,,8,2018,2,,,3,150,0,2,10.1099996566772,7500,1,11,2018,,,,,,2,,,,,,,
4,1,105,2,638,10091,2,1020,2,9,,,,,,,,,,,,,,,,20,150,1,,28.0330009460449,2,,,,,,,
4,1,105,2,638,10091,2,1080,1,,,6,2018,2,,,8,130,10,1,9,8000,1,9,2018,,,,,,2,,,,,,,
4,1,105,2,638,10091,2,1090,1,,,8,2018,2,,,4,150,0,2,10.1099996566772,10000,1,9,2018,,,,,,2,,,,,,,
4,1,105,2,638,10092,1,1020,2,9,,,,,,,,,,,,,,,,14,130,10,,25,1,,,,,,,
4,1,105,2,638,10092,1,1080,1,,,7,2018,2,,,6,130,10,1,9,6000,1,8,2018,,,,,,1,,,,,,,
4,1,105,2,638,10092,1,1121,1,,,11,2018,2,,,30,211,1,,2.95499992370605,10500,1,11,2018,,,,,,1,,,,,,,
4,1,105,2,638,10092,2,1020,2,9,,,,,,,,,,,,,,,,15,130,10,,25,1,,,,,,,
4,1,105,2,638,10092,2,1080,1,,,7,2018,2,,,7,130,10,1,9,7000,1,8,2018,,,,,,1,,,,,,,
4,1,105,2,638,10092,2,1121,1,,,10,2018,2,,,25,211,1,,2.95499992370605,9000,1,11,2018,,,,,,1,,,,,,,
5,3,322,2,0,10093,2,1020,1,,,10,2018,1,1,75,10,130,12,,100,80000,2,,,3,130,12,,100,2,,,,,,,
5,3,322,2,0,10093,2,1080,1,,,7,2018,2,,,2,150,1,1,6.30000019073486,1800,1,8,2018,,,,,,2,,,,,,,
5,3,322,2,0,10093,2,1090,1,,,7,2018,2,,,2,150,1,2,,15000,1,8,2018,,,,,,2,,,,,,,
5,3,322,2,0,10093,2,2120,1,,,7,2018,2,,,2,11,,,1.70000004768372,3000,1,8,2018,,,,,,2,,,,,,,
5,3,322,2,0,10093,3,1020,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,322,2,0,10093,3,1080,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,322,2,0,10093,4,1020,1,,,10,2018,1,1,75,12,130,12,,100,96000,2,,,4,130,12,,100,2,,,,,,,
5,3,322,2,0,10093,4,1080,1,,,7,2018,2,,,2.5,150,1,1,6.30000019073486,2000,1,8,2018,,,,,,2,,,,,,,
5,3,322,2,0,10093,6,1020,2,9,,,,,,,,,,,,,,,,8,130,12,,100,3,,,,,,,
5,3,322,2,0,10093,6,1080,1,,,7,2018,2,,,1,150,1,1,6.30000019073486,900,1,8,2018,,,,,,3,,,,,,,
5,3,322,2,0,10093,6,1090,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,322,2,0,10093,6,2120,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,322,2,0,10093,7,1020,2,9,,,,,,,,,,,,,,,,5,130,12,,100,2,,,,,,,
5,3,322,2,0,10093,7,1080,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10094,1,1020,2,9,,,,,,,,,,,,,,,,16,130,10,,25,1,,,,,,,
4,1,105,2,638,10094,1,1080,1,,,7,2018,2,,,5,130,10,1,9,5000,1,8,2018,,,,,,1,,,,,,,
4,1,105,2,638,10094,2,1020,2,9,,,,,,,,,,,,,,,,15,130,10,,25,1,,,,,,,
4,1,105,2,638,10094,2,1080,1,,,7,2018,2,,,6,130,10,1,9,6000,1,8,2018,,,,,,1,,,,,,,
4,1,105,2,638,10094,2,1124,2,9,,,,,,,,,,,,,,,,20,211,1,,2.95499992370605,1,,,,,,,
4,1,105,2,638,10096,1,1020,2,9,,,,,,,,,,,,,,,,18,211,0,,0.790000021457672,5,,,,,,,
4,1,105,2,638,10096,1,1080,1,,,7,2018,2,,,2,130,10,1,9,2000,1,7,2018,,,,,,5,,,,,,,
4,1,105,2,638,10096,2,1020,2,9,,,,,,,,,,,,,,,,15,130,10,,25,3,,,,,,,
4,1,105,2,638,10096,2,1080,1,,,7,2018,2,,,1,130,10,1,9,1000,1,7,2018,,,,,,5,,,,,,,
4,1,105,2,638,10097,1,1020,2,9,,,,,,,,,,,,,,,,4,130,10,,25,1,,,,,,,
4,1,105,2,638,10097,1,1080,1,,,6,2018,2,,,2,130,10,2,25,2000,1,7,2018,,,,,,1,,,,,,,
4,1,105,2,638,10097,1,1090,1,,,9,2018,2,,,1,150,0,2,10.1099996566772,2500,1,9,2018,,,,,,1,,,,,,,
4,1,105,2,638,10097,2,1020,2,9,,,,,,,,,,,,,,,,1,130,10,,25,1,,,,,,,
4,1,105,2,638,10097,2,1121,1,,,12,2018,2,,,40,211,1,,2.95499992370605,10000,1,12,2018,,,,,,1,,,,,,,
4,1,105,2,638,10097,2,1124,1,,,12,2018,2,,,30,211,1,,2.95499992370605,5000,1,12,2018,,,,,,1,,,,,,,
4,1,105,2,638,10097,3,1020,2,9,,,,,,,,,,,,,,,,3,130,10,,25,1,,,,,,,
4,1,105,2,638,10097,3,1080,1,,,7,2018,2,,,2,130,10,2,25,2000,1,7,2018,,,,,,1,,,,,,,
4,1,105,2,638,10099,1,1020,2,9,,,,,,,,,,,,,,,,2,130,10,,25,1,,,,,,,
4,1,105,2,638,10099,1,1080,1,,,7,2018,2,,,1,130,10,1,9,1000,1,10,2018,,,,,,1,,,,,,,
4,1,105,2,638,10100,1,1020,2,9,,,,,,,,,,,,,,,,8,130,10,,25,2,,,,,,,
4,1,105,2,638,10100,1,1080,1,,,7,2018,2,,,2,130,10,1,9,2000,1,8,2018,,,,,,2,,,,,,,
4,1,105,2,638,10100,2,1020,2,9,,,,,,,,,,,,,,,,3,130,10,,25,2,,,,,,,
4,1,105,2,638,10100,2,1080,1,,,7,2018,2,,,2,130,10,1,9,2000,1,8,2018,,,,,,2,,,,,,,
4,1,105,2,638,10100,3,1020,2,9,,,,,,,,,,,,,,,,8,130,10,,25,2,,,,,,,
4,1,105,2,638,10100,3,1090,1,,,7,2018,2,,,1,150,0,2,10.1099996566772,2500,1,8,2018,,,,,,2,,,,,,,
4,1,108,2,904,10102,1,1020,2,9,,,,,,,,,,,,,,,,15,130,10,,25,1,,,,,,,
4,1,108,2,904,10102,1,1080,1,,,7,2018,2,,,5,130,10,1,9,5000,1,9,2018,,,,,,1,,,,,,,
4,1,108,2,904,10102,1,1090,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10102,2,1020,2,9,,,,,,,,,,,,,,,,15,130,10,,25,1,,,,,,,
4,1,108,2,904,10102,2,1080,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10102,2,1124,1,,,12,2018,2,,,5,150,1,,34.9799995422363,4000,1,12,2018,,,,,,1,,,,,,,
4,1,108,2,904,10103,1,1020,2,9,,,,,,,,,,,,,,,,30,130,11,,50,1,,,,,,,
4,1,108,2,904,10103,1,1080,1,,,8,2018,2,,,10,130,11,1,18,10000,1,8,2018,,,,,,1,,,,,,,
4,1,108,2,904,10103,1,2120,1,,,9,2018,2,,,2,150,0,,3.34999990463257,1500,1,10,2018,,,,,,1,,,,,,,
4,1,108,2,904,10103,2,1020,2,9,,,,,,,,,,,,,,,,20,130,11,,50,1,,,,,,,
4,1,108,2,904,10103,2,1121,1,,,11,2018,2,,,15,211,1,,2.95499992370605,6000,1,11,2018,,,,,,1,,,,,,,
4,1,108,2,904,10104,1,1020,2,9,,,,,,,,,,,,,,,,20,130,11,,50,1,,,,,,,
4,1,108,2,904,10104,1,1080,1,,,8,2018,2,,,5,130,11,1,18,5000,1,9,2018,,,,,,1,,,,,,,
4,1,108,2,904,10105,1,1020,2,9,,,,,,,,,,,,,,,,25,130,10,,25,1,,,,,,,
4,1,108,2,904,10105,1,1080,1,,,8,2018,2,,,6,10,,1,2.10924005508423,3200,1,9,2018,,,,,,1,,,,,,,
4,1,108,2,904,10105,2,1020,2,9,,,,,,,,,,,,,,,,20,130,10,,25,1,,,,,,,
4,1,108,2,904,10105,2,1080,1,,,8,2018,2,,,3,10,,1,2.10924005508423,1800,1,8,2018,,,,,,1,,,,,,,
4,1,108,2,904,10105,2,1121,1,,,12,2018,2,,,35,211,1,,2.95499992370605,20000,1,12,2018,,,,,,1,,,,,,,
4,1,108,2,904,10106,1,1020,2,9,,,,,,,,,,,,,,,,12,130,11,,50,1,,,,,,,
4,1,108,2,904,10106,1,1080,1,,,7,2018,2,,,2,130,11,1,18,7000,1,7,2018,,,,,,1,,,,,,,
4,1,108,2,904,10106,1,1090,1,,,10,2018,2,,,2,150,0,2,10.1099996566772,12000,1,10,2018,,,,,,1,,,,,,,
4,1,108,2,904,10106,2,1020,2,9,,,,,,,,,,,,,,,,8,130,11,,50,1,,,,,,,
4,1,108,2,904,10106,2,1080,1,,,6,2018,2,,,3,130,11,1,18,10500,1,7,2018,,,,,,1,,,,,,,
4,1,108,2,904,10106,3,1020,2,9,,,,,,,,,,,,,,,,15,130,11,,50,1,,,,,,,
4,1,108,2,904,10106,3,1080,1,,,7,2018,2,,,3,130,11,1,18,12800,1,7,2018,,,,,,1,,,,,,,
4,1,108,2,904,10106,3,1121,1,,,12,2018,2,,,80,211,1,,2.95499992370605,30000,1,12,2018,,,,,,1,,,,,,,
4,1,108,2,904,10107,2,1020,2,9,,,,,,,,,,,,,,,,15,130,10,,25,1,,,,,,,
4,1,108,2,904,10107,2,1080,1,,,8,2018,2,,,6,130,10,1,9,4500,1,9,2018,,,,,,1,,,,,,,
4,1,108,2,904,10108,1,1020,2,9,,,,,,,,,,,,,,,,20,130,11,,50,4,,,,,,,
4,1,108,2,904,10108,1,1080,1,,,8,2018,2,,,8,130,11,1,18,8000,1,8,2018,,,,,,4,,,,,,,
4,1,108,2,904,10109,1,1020,2,9,,,,,,,,,,,,,,,,10,130,10,,25,1,,,,,,,
4,1,108,2,904,10109,1,1080,1,,,9,2018,2,,,2,150,1,1,6.99228000640869,1500,1,9,2018,,,,,,1,,,,,,,
4,1,108,2,904,10109,2,1020,2,9,,,,,,,,,,,,,,,,12,130,10,,25,1,,,,,,,
4,1,108,2,904,10109,2,1080,1,,,8,2018,2,,,3,150,1,1,6.99228000640869,3000,1,9,2018,,,,,,1,,,,,,,
4,1,108,2,904,10109,2,1121,1,,,11,2018,1,1,50,3,150,1,,34.9799995422363,12000,2,,,1,150,1,,34.9799995422363,1,,,,,,,
4,1,108,2,904,10110,1,1020,2,10,,,,,,,,,,,,,,,,25,130,11,,50,1,,,,,,,
4,1,108,2,904,10110,1,1124,2,10,,,,,,,,,,,,,,,,6,150,1,,34.9799995422363,1,,,,,,,
4,1,108,2,904,10110,2,1010,1,,,12,2018,2,,,1,130,11,1,50,20000,1,12,2018,,,,,,1,,,,,,,
4,1,108,2,904,10110,2,1020,2,9,,,,,,,,,,,,,,,,20,130,11,,50,1,,,,,,,
4,1,102,1,46,19008,1,1020,2,9,,,,,,,,,,,,,,,,3,130,11,,50,1,,,,,,,
4,1,102,1,46,19008,1,1080,1,,,6,2018,2,,,1,150,1,1,6.99228000640869,700,1,8,2018,,,,,,1,,,,,,,
4,1,102,1,46,19008,2,1020,2,9,,,,,,,,,,,,,,,,3,130,11,,50,1,,,,,,,
