"zone","state","lga","sector","ea","hhid","s11eq12","s11eq19"
5,3,301,1,1198,30106,,
5,3,301,1,1198,30107,,
5,3,301,1,1198,30108,100,100
5,3,301,1,1198,30109,,
5,3,301,1,1198,30110,,
5,3,305,2,1542,30121,,4500
5,3,305,2,1542,30122,,5000
5,3,305,2,1542,30123,,
5,3,305,2,1542,30124,,150
5,3,305,2,1542,30125,,350
5,3,305,2,1542,30126,,
5,3,305,2,1542,30127,,500
5,3,305,2,1542,30128,,
5,3,305,2,1542,30129,100,
5,3,305,2,1542,30130,,100
5,3,311,2,20,30131,,
5,3,311,2,20,30132,,100
5,3,311,2,20,30133,,200
5,3,311,2,20,30134,100,300
5,3,311,2,20,30135,100,1000
5,3,311,2,20,30137,,
5,3,311,2,20,30138,,
5,3,311,2,20,30139,,
5,3,311,2,20,30140,,
5,3,302,2,302,39003,,
5,3,302,2,302,39005,,1200
5,3,302,2,302,39007,,3500
5,3,302,2,302,39009,,
5,3,302,2,302,39010,,
5,3,305,2,1164,39012,500,60000
5,3,305,2,1164,39013,,
5,3,305,2,1164,39014,500,1500
5,3,305,2,1164,39016,,7600
5,3,305,2,1164,39017,,200
5,3,305,2,1164,39018,,
5,3,305,2,1164,39020,,600
5,3,305,2,1164,39021,500,200
5,3,305,2,1164,39022,350,
5,3,308,2,102,39023,,250
5,3,308,2,102,39028,,1500
5,3,308,2,102,39031,,
5,3,309,2,698,39036,,
5,3,309,2,698,39037,,3000
5,3,309,2,698,39039,,4000
5,3,309,2,698,39040,,5000
5,3,309,2,698,39041,,400
5,3,309,2,698,39042,,250
5,3,309,2,698,39043,,
5,3,309,2,698,39044,,
5,3,309,2,698,39045,,
5,3,316,2,910,39048,,1000
5,3,316,2,910,39057,100,
5,3,317,2,586,39059,,200
5,3,317,2,586,39061,500,500
5,3,317,2,586,39064,600,
5,3,317,2,586,39066,300,
5,3,317,2,586,39068,,
5,3,317,2,586,39069,,
5,3,317,2,586,39070,,
5,3,318,2,56,39071,,300
5,3,318,2,56,39072,,500
5,3,318,2,56,39074,,2500
5,3,318,2,56,39077,,1000
5,3,318,2,56,39079,,1600
5,3,318,2,56,39080,150,150
5,3,318,2,56,39081,100,200
5,3,318,2,56,39082,200,
5,3,304,2,10,39083,,
5,3,304,2,10,39084,,
5,3,304,2,10,39087,,
5,3,304,2,10,39088,,
5,3,304,2,10,39089,,
5,3,304,2,10,39090,200,300
5,3,304,2,10,39091,,100
5,3,304,2,10,39092,800,
5,3,304,2,10,39093,,400
5,3,304,2,184,39096,,10000
5,3,304,2,184,39098,,
5,3,304,2,184,39101,,1500
5,3,304,2,184,39102,,
5,3,304,2,184,39103,,100
5,3,304,2,184,39104,,500
5,3,304,2,184,39105,500,500
5,3,304,2,184,39106,,400
5,3,320,2,266,39107,,100
5,3,320,2,266,39108,,100
5,3,320,2,266,39110,,100
5,3,320,2,266,39111,,
5,3,320,2,266,39112,800,200
5,3,320,2,266,39114,1200,3000
5,3,320,2,266,39115,,
5,3,320,2,266,39116,,100
5,3,320,2,266,39118,,500
5,3,323,2,488,39119,500,
5,3,323,2,488,39120,200,1500
5,3,323,2,488,39125,300,
5,3,323,2,488,39127,,200
5,3,323,2,488,39128,,100
5,3,323,2,488,39130,,200
5,3,326,2,502,39132,,1800
5,3,326,2,502,39133,800,450
5,3,326,2,502,39135,,500
5,3,326,2,502,39136,400,300
5,3,326,2,502,39137,150,800
5,3,326,2,502,39138,,1600
5,3,326,2,502,39139,200,300
5,3,326,2,502,39140,,1500
5,3,326,2,502,39141,100,
5,3,326,2,502,39142,,2000
5,3,327,2,196,39143,,
5,3,327,2,196,39144,,100
5,3,327,2,196,39146,,150
5,3,327,2,196,39147,100,100
5,3,327,2,196,39149,,
5,3,327,2,196,39150,0,400
5,3,327,2,196,39151,,400
5,3,327,2,196,39152,,
5,3,327,2,196,39153,,700
5,3,327,2,196,39154,,
5,3,327,2,246,39155,,0
5,3,327,2,246,39156,,0
5,3,327,2,246,39157,,
5,3,327,2,246,39158,,
5,3,327,2,246,39159,,
5,3,327,2,246,39160,200,2000
5,3,327,2,246,39161,,500
5,3,327,2,246,39162,,
5,3,327,2,246,39165,,
5,3,327,2,246,39166,,200
5,3,329,2,608,39167,,3000
5,3,329,2,608,39169,,
5,3,329,2,608,39170,,
5,3,329,2,608,39171,,
5,3,329,2,608,39174,,
5,3,329,2,608,39175,,15000
5,3,329,2,608,39176,,
5,3,329,2,608,39177,100,200
5,3,329,2,608,39178,500,500
5,3,316,2,910,39186,,
5,3,317,2,586,39188,,
5,3,318,2,56,39190,,
5,3,304,2,184,39193,,500
5,3,323,2,488,39198,,
4,4,417,1,678,40011,,200
4,4,417,1,678,40015,,1000
4,4,421,1,800,40172,,
4,4,421,1,0,40173,,0
4,4,421,1,800,40174,,420
4,4,421,1,800,40175,,
4,4,421,1,0,40176,200,800
4,4,421,1,800,40177,,300
4,4,421,1,800,40178,0,400
4,4,402,2,1080,40202,,4000
4,4,402,2,1080,40206,400,400
4,4,402,2,1080,40207,,1500
4,4,402,2,1080,40208,,1500
4,4,402,2,1080,40209,,
4,4,402,2,874,49001,,1000
4,4,402,2,874,49003,0,0
4,4,402,2,874,49004,,
4,4,402,2,874,49005,,
4,4,402,2,874,49006,,1000
4,4,402,2,874,49007,,2700
4,4,402,2,874,49008,400,450
4,4,402,2,874,49009,,1200
4,4,402,2,874,49010,,300
4,4,402,2,874,49011,,500
4,4,405,2,716,49013,,
4,4,405,2,716,49015,,8000
4,4,405,2,716,49017,,200
4,4,405,2,716,49018,,300
4,4,405,2,716,49019,,1000
4,4,405,2,716,49023,,100
4,4,405,2,716,49024,,200
