"zone","state","lga","ea","sector","hhid","plotid","s11aq4aa","s11aq4b","s11aq4a","s11aq4b1","s11aq4b1_os","s11aq4b2","s11aq4c","s11b1q27","s11aq6a","s11aq6b","s11aq6c","s11aq6d"
4,1,107,10,2,19070,1,400,1,1,,,,918.32,1,1,2,,
4,1,107,10,2,19070,2,200,1,1,,,,278.65,1,1,2,,
4,1,107,10,2,19070,3,350,1,2,4,,,,1,1,2,,
4,1,107,10,2,19070,4,175,1,2,4,,,,1,1,2,,
4,1,107,10,2,19070,5,652.4,7,,,,,,2,,,,
4,1,107,10,2,19071,1,230,1,1,,,,426.9,1,1,2,,
4,1,107,10,2,19071,2,400,1,2,1,,,,1,1,2,,
4,1,107,10,2,19071,3,200,1,2,4,,,,1,1,2,,
4,1,107,10,2,19071,4,468.7,7,,,,,,2,,,,
4,1,107,10,2,19072,1,850,1,2,4,,,,1,1,2,5,
4,1,107,10,2,19072,2,650,1,2,4,,,,1,1,2,5,
4,1,107,10,2,19072,3,147.3,7,1,,,,147.3,1,1,2,5,
4,1,107,10,2,19072,4,2000,1,1,,,,1093.4,1,1,2,5,
4,1,107,10,2,19072,5,2000,1,2,4,,,,1,1,2,5,
4,1,107,10,2,19072,6,650,7,,,,,,2,,,,
4,1,107,10,2,19072,7,1800,1,1,,,,2474,1,1,2,5,
4,1,107,1322,2,19073,1,350,1,2,1,,,,1,1,,,
4,1,107,1322,2,19073,3,200,1,1,,,,1349.9,1,1,2,,
4,1,107,1322,2,19073,4,300,1,1,,,,1402.3,1,1,,,
4,1,107,1322,2,19075,1,80,1,1,,,,452.31,1,1,2,,
4,1,107,1322,2,19075,2,200,1,1,,,,1235.1,1,1,2,,
4,1,107,1322,2,19076,1,80,1,1,,,,178.39,1,2,,,
4,1,107,1322,2,19076,2,100,1,1,,,,117.07,1,2,,,
4,1,107,1322,2,19077,1,222.11,7,1,,,,222.11,1,1,,,
4,1,107,1322,2,19077,2,823.55,7,1,,,,823.55,1,1,,,
