"zone","state","lga","sector","ea","hhid","plotid","cropcode","s11fq0","s11fq1","s11fq2a","s11fq3d_1","s11fq3d_2","s11fq3d_2_os","s11fq3d_3","s11fq3b","s11fq3aa","s11fq3c","s11fq3e","s11fq3f","s11fq3_1","s11fq3_2","s11fq4aa","s11fq4","s11fq5aa","s11fq6","s11fq7","s11fq7a","s11fq8aa","s11fq8a","s11fq8b","s11fq8c","s11fq8d","s11fq9","s11fq10","s11fq10_os","s11fq11a","s11fq11b","s11fq11b_os","s11fq11c","s11fq11d","s11fq12a","s11fq12b","s11fq12b_os","s11fq12c","s11fq12d","s11fq13"
4,1,105,2,638,10091,1,1020,1,100,2,8,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,25,170,,,,1
4,1,105,2,638,10091,1,1080,1,50,2,2,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,25,90,,1,1,1
4,1,105,2,638,10091,1,1090,1,25,2,2,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,30,13,,,1,1
4,1,105,2,638,10091,2,1020,1,100,2,5,100,,2,2,,,,,5,2018,,,,,,,2,,,,,,,,,,,,,30,170,,,,1
4,1,105,2,638,10091,2,1080,1,50,2,3,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,30,170,,,1,1
4,1,105,2,638,10091,2,1090,1,33,2,1,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,30,13,,,1,1
4,1,105,2,638,10092,1,1020,1,100,2,8,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,30,170,,,,1
4,1,105,2,638,10092,1,1080,1,50,2,3,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,20,90,,1,1,1
4,1,105,2,638,10092,1,1121,1,25,2,20,211,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,30,211,,,,1
4,1,105,2,638,10092,2,1020,1,100,2,8,100,,1,2,,,,,5,2018,,,,,,,2,,,,,,,,,,,,,30,170,,,,1
4,1,105,2,638,10092,2,1080,1,33,2,3,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,35,80,,1,1,1
4,1,105,2,638,10092,2,1121,1,25,2,20,211,,,2,,,,,5,2018,,,,,,,,,,,,,,,,,,,,30,211,,,,1
5,3,322,2,0,10093,2,1020,1,100,2,5,100,,1,1,1,"give me chance",2,3,3,2018,,,,,,,2,,,,,,,,,,,,,7,130,,10,,1
5,3,322,2,0,10093,2,1080,1,100,2,1,280,"METRIC CUP",,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,1,130,,10,1,1
5,3,322,2,0,10093,2,1090,1,100,2,1,40,,1,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,1,130,,10,1,1
5,3,322,2,0,10093,2,2120,1,100,2,1,40,,1,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,1,10,,,,1
5,3,322,2,0,10093,3,1020,1,100,2,5,100,,1,1,1,"give me chance",2,3,3,2018,,,,,,,2,,,,,,,,,,,,,8,130,,10,,1
5,3,322,2,0,10093,3,1080,1,100,2,1,280,"METRIC CUP",,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,1,130,,10,1,2
5,3,322,2,0,10093,4,1020,1,100,2,5,100,,1,1,1,"give me chance",2,3,3,2018,,,,,,,2,,,,,,,,,,,,,5,130,,10,,1
5,3,322,2,0,10093,4,1080,1,100,2,1,280,"METRIC CUP",,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,1,130,,10,1,1
5,3,322,2,0,10093,6,1020,1,100,2,7,100,,2,1,1,"give me chance",2,3,3,2018,,,,,,,2,,,,,,,,,,,,,15,130,,10,,1
5,3,322,2,0,10093,6,1080,1,100,2,2,280,"METRIC CUP",,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,1,130,,10,1,1
5,3,322,2,0,10093,6,1090,1,100,2,2,280,"METRIC CUP",,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,2,150,,1,1,1
5,3,322,2,0,10093,6,2120,1,100,2,1,40,,1,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,1,10,,,,1
5,3,322,2,0,10093,7,1020,1,100,2,5,100,,1,1,1,"give me chance",2,3,3,2018,,,,,,,2,,,,,,,,,,,,,6,130,,10,,1
5,3,322,2,0,10093,7,1080,1,100,2,1,280,"METRIC CUP",,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,1,130,,10,1,2
4,1,105,2,638,10094,1,1020,1,100,2,3,100,,2,1,1,"509",1,,4,2018,,,,,,,2,,,,,,,,,,,,,20,170,,,,1
4,1,105,2,638,10094,1,1080,1,50,2,2,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,20,140,,2,1,1
4,1,105,2,638,10094,2,1020,1,100,2,10,100,,1,1,1,"509",1,,3,2018,,,,,,,2,,,,,,,,,,,,,40,170,,,,1
4,1,105,2,638,10094,2,1080,1,33,2,4,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,20,10,,,1,1
4,1,105,2,638,10094,2,9999,1,33,2,25,80,,1,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,30,80,,2,,1
4,1,105,2,638,10096,1,1020,1,100,2,8,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,18,130,,10,,1
4,1,105,2,638,10096,1,1080,1,100,2,6,12,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,8,150,,1,1,1
4,1,105,2,638,10096,2,1020,1,100,2,6,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,12,130,,10,,2
