"zone","state","lga","sector","ea","hhid","livestock_cd","s11jq1a","s11jq2_1","s11jq2_2","s11jq2_3","s11jq2_4","s11jq2_5","s11jq2_6","s11jq2_7","s11jq2_8","s11jq2_9","s11jq2_10","s11jq2_11","s11jq2_os","s11jq3","s11jq4","s11jq5_1","s11jq5_2","s11jq5_3","s11jq5_4","s11jq5_5","s11jq5_6","s11jq5_7","s11jq5_8","s11jq5_9","s11jq5_10","s11jq5_11","s11jq5_os","s11jq6","s11jq7","s11jq8","s11jq11","s11jq11_os","s11jq12","s11jq13","s11jq14","s11jq15_1","s11jq15_2","s11jq15_3","s11jq15_4","s11jq15_5","s11jq15_6","s11jq15_7","s11jq15_8","s11jq15_9","s11jq15_10","s11jq16","s11jq17","s11jq18","s11jq19","s11jq20","s11jq21","s11jq22","s11jq23"
2,2,203,2,1224,20044,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,2,6,,,,,,,,,,2,,2,,2,,2,
2,2,203,2,1224,20045,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,203,2,1224,20045,5,1,1,0,0,0,0,0,0,0,0,0,0,,15,1,1,0,0,0,0,0,0,0,0,0,0,,500,2,,7,,2,,2,1,2,4,7,,,,,,,2,,2,,2,,2,
2,2,203,2,1224,20046,3,1,0,0,0,0,0,0,0,0,1,0,0,,1,1,0,0,0,0,0,0,0,0,1,0,0,,500,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,203,2,1224,20047,1,2,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,0,,5000,1,1500,3,,2,,2,1,,,,,,,,,,1,8000,2,,2,,1,1800
2,2,203,2,1224,20047,3,2,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,1,1,0,0,,2000,1,500,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,203,2,1224,20047,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,203,2,1224,20048,1,2,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,,200,1,150,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,203,2,1224,20048,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,500,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,203,2,1224,20049,1,1,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,,500,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,203,2,1224,20049,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,200,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,203,2,1224,20050,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,210,2,1300,20061,1,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,210,2,1300,20061,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,210,2,1300,20063,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,,5000,1,10000,7,,2,,2,1,,,,,,,,,,1,9000,2,,2,,2,
2,2,210,2,1300,20063,5,2,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,,1000,1,500,5,,2,,4,1,,,,,,,,,,1,1500,2,,2,,2,
2,2,210,2,1300,20065,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,6,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,210,2,1300,20066,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,210,2,1300,20068,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,4,2,7,,,,,,,,,2,,2,,2,,2,
2,2,210,2,1300,20069,3,1,0,0,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,,5000,2,,2,,2,,2,2,,,,,,,,,,1,2500,2,,2,,2,
2,2,210,2,1300,20070,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,2,,4,3,,,,,,,,,,2,,2,,2,,2,
