"zone","state","lga","sector","ea","cluster_id","item_cd","c7q1","c7q1_os","c7q2","c7q2_os","c7q3","c7q4__1","c7q4__2","c7q4__3","c7q4__4","c7q4__5","c7q4__6","c7q4__7","c7q4__8","c7q4__9","c7q4__10","c7q4_os"
5,10,1018,1,634,"1018-634",714,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",715,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",701,1,,1,,1,0,0,0,0,0,0,0,0,0,1,"INDIVIDUALS AND MEMBERS OF LANDLORD ASSOCIATION"
4,1,102,1,1690,"102-1690",702,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",703,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",704,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",705,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",706,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",707,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",708,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",709,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",710,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",711,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",712,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",713,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",714,2,,,,,,,,,,,,,,,
4,1,102,1,1690,"102-1690",715,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",701,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",702,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",703,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",704,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",705,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",706,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",707,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",708,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",709,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",710,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",711,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",712,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",713,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",714,2,,,,,,,,,,,,,,,
4,1,102,1,2486,"102-2486",715,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",701,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",702,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",703,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",704,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",705,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",706,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",707,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",708,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",709,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",710,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",711,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",712,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",713,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",714,2,,,,,,,,,,,,,,,
4,1,102,1,46,"102-46",715,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",701,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",702,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",703,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",704,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",705,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",706,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",707,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",708,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",709,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",710,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",711,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",712,2,,,,,,,,,,,,,,,
4,1,102,1,806,"102-806",713,2,,,,,,,,,,,,,,,
