"zone","state","lga","sector","ea","hhid","s9q29a_1","s9q29a_2","s9q29a_3","s9q29a_os","s9q29_1","s9q29_2","s9q29_3","s9q29_os","s9q30a","s9q30_1","s9q30_2","s9q30_3","s9q30_os"
4,1,102,1,806,19244,5,10,,,5,10,4,,,,,,
4,1,102,1,2486,19245,4,,,,8,,,,,,,,
4,1,104,2,1020,19250,,,,,,,,,1,4,,,
4,1,107,2,1322,19254,10,11,4,,11,8,10,,,,,,
4,1,112,2,266,19266,1,3,8,,1,4,8,,,,,,
4,1,113,2,6,19269,3,4,7,,4,3,8,,,,,,
4,1,115,1,550,19277,,,,,,,,,2,,,,
4,1,115,1,550,19278,1,8,11,,1,4,8,,,,,,
4,1,117,2,800,19279,12,,,,12,1,8,,,,,,
4,1,117,2,800,19280,,,,,,,,,2,,,,
4,1,102,1,806,19284,4,,,,4,8,12,,,,,,
2,2,209,2,1040,20001,,,,,,,,,2,,,,
2,2,209,2,1040,20002,,,,,,,,,1,4,8,,
2,34,3401,2,0,20003,3,6,7,,3,6,7,,,,,,
2,2,209,2,1040,20005,,,,,,,,,1,3,7,4,
2,2,209,2,1040,20006,,,,,,,,,2,,,,
2,2,209,2,1040,20007,4,7,8,,8,4,7,,,,,,
2,2,209,2,1040,20008,,,,,,,,,2,,,,
2,34,209,2,0,20009,,,,,,,,,2,,,,
2,2,209,2,1040,20010,4,8,12,,3,4,7,,,,,,
2,2,203,2,1224,20041,,,,,,,,,2,,,,
2,2,203,2,1224,20042,,,,,,,,,1,4,7,8,
2,2,203,2,1224,20043,,,,,,,,,2,,,,
2,2,203,2,1224,20044,3,8,6,,6,3,8,,,,,,
2,2,203,2,1224,20045,3,8,10,,3,4,8,,,,,,
2,2,203,2,1224,20046,7,8,3,,3,8,10,,,,,,
2,2,203,2,1224,20047,3,4,7,,3,4,8,,,,,,
2,2,203,2,1224,20048,3,8,,,3,4,7,,,,,,
2,2,203,2,1224,20049,5,10,,,4,10,,,,,,,
2,2,203,2,1224,20050,3,4,8,,3,5,,,,,,,
2,2,210,2,1300,20061,4,10,12,,12,8,13,,,,,,
2,2,210,2,1300,20062,12,5,8,,3,8,12,,,,,,
2,2,210,2,1300,20063,,,,,,,,,2,,,,
2,2,210,2,1300,20064,,,,,,,,,2,,,,
2,2,210,2,1300,20065,,,,,,,,,2,,,,
2,2,210,2,1300,20066,,,,,,,,,2,,,,
2,2,210,2,1300,20068,4,8,,,4,8,,,,,,,
2,2,210,2,1300,20069,3,5,12,,3,12,14,,,,,,
2,2,210,2,1300,20070,,,,,,,,,2,,,,
2,2,207,2,1302,20091,,,,,,,,,1,8,,,
2,2,207,2,1302,20092,,,,,,,,,2,,,,
2,2,207,2,1302,20093,,,,,,,,,2,,,,
2,2,207,2,1302,20094,,,,,,,,,2,,,,
2,2,207,2,1302,20095,,,,,,,,,2,,,,
2,2,207,2,1302,20096,,,,,,,,,2,,,,
2,2,207,2,1302,20097,,,,,,,,,2,,,,
2,2,207,2,1302,20098,,,,,,,,,2,,,,
2,2,207,2,1302,20099,,,,,,,,,2,,,,
2,2,207,2,1302,20100,,,,,,,,,2,,,,
2,2,205,2,712,20101,,,,,,,,,2,,,,
2,2,205,2,712,20102,,,,,,,,,2,,,,
2,2,205,2,712,20103,,,,,,,,,2,,,,
2,2,205,2,712,20104,,,,,,,,,2,,,,
2,2,205,2,712,20105,,,,,,,,,2,,,,
2,2,205,2,712,20106,8,5,,,7,8,1,,,,,,
2,2,205,2,712,20107,,,,,,,,,1,8,,,
2,2,205,2,712,20108,,,,,,,,,2,,,,
2,2,205,2,712,20110,4,7,8,,8,4,3,,,,,,
2,2,204,2,144,29001,3,14,8,,7,6,3,,,,,,
2,2,204,2,144,29002,,,,,,,,,2,,,,
2,2,204,2,144,29003,4,8,,,4,9,,,,,,,
2,2,204,2,144,29004,8,13,5,,4,8,,,,,,,
2,2,204,2,144,29005,,,,,,,,,2,,,,
2,2,204,2,144,29006,2,3,6,,2,3,6,,,,,,
2,2,204,2,144,29007,2,3,6,,2,3,6,,,,,,
2,2,204,2,144,29008,8,12,10,,8,10,,,,,,,
2,2,204,2,144,29009,,,,,,,,,2,,,,
2,2,204,2,144,29010,6,7,8,,3,12,14,,,,,,
2,2,205,2,206,29013,,,,,,,,,2,,,,
2,2,205,2,206,29014,,,,,,,,,1,4,7,13,
2,2,205,2,206,29017,,,,,,,,,2,,,,
2,2,205,2,206,29018,,,,,,,,,2,,,,
