"zone","state","lga","sector","ea","cluster_id","farmer_id","activity_cd","crop_code","c9q5","c9q6","c9q7","c9q8","c9q9","c9q10"
4,1,104,2,412,"104-412",2,2,,1,1000,1,1300,1,1200
4,1,104,2,412,"104-412",2,4,,1,1000,1,1500,1,800
4,1,104,2,412,"104-412",2,6,1020,2,,1,1000,1,800
4,1,105,2,638,"105-638",1,1,,1,1500,2,,1,800
4,1,105,2,638,"105-638",1,2,,1,2000,2,,1,1500
4,1,105,2,638,"105-638",1,4,,2,,1,1000,2,
4,1,105,2,638,"105-638",1,6,1121,1,1200,1,1000,1,800
4,1,105,2,638,"105-638",2,1,,1,1500,2,,2,
4,1,105,2,638,"105-638",2,2,,1,2000,2,,2,
4,1,105,2,638,"105-638",2,4,,2,,1,1000,2,
4,1,107,2,10,"107-10",1,1,,1,1500,2,,1,1500
4,1,107,2,10,"107-10",1,2,,1,1500,2,,1,1500
4,1,107,2,10,"107-10",1,4,,1,1200,1,1200,1,1200
4,1,107,2,10,"107-10",1,5,1020,1,1500,1,1500,1,1200
4,1,107,2,10,"107-10",2,1,,1,1500,2,,1,1500
4,1,107,2,10,"107-10",2,2,,1,1500,2,,1,1500
4,1,107,2,10,"107-10",2,4,,1,1200,1,1200,1,1200
4,1,107,2,10,"107-10",2,5,1020,1,1500,1,1500,1,1500
4,1,107,2,1044,"107-1044",1,1,,1,1500,2,,1,1500
4,1,107,2,1044,"107-1044",1,2,,1,1500,2,,1,1500
4,1,107,2,1044,"107-1044",1,4,,1,1200,1,1200,1,1200
4,1,107,2,1044,"107-1044",1,5,1020,1,1500,1,1500,1,1200
4,1,107,2,1044,"107-1044",2,1,,1,1500,2,,1,1500
4,1,107,2,1044,"107-1044",2,2,,1,1500,2,,1,1500
4,1,107,2,1044,"107-1044",2,4,,1,1200,1,1200,1,1200
4,1,107,2,1044,"107-1044",2,5,1020,1,1200,1,1200,1,1200
4,1,107,2,1322,"107-1322",1,1,,1,1500,2,,1,1500
4,1,107,2,1322,"107-1322",1,2,,1,1500,2,,1,1500
4,1,107,2,1322,"107-1322",1,4,,1,1200,1,1200,1,1200
4,1,107,2,1322,"107-1322",1,5,1020,1,1500,1,1500,1,1500
4,1,107,2,1322,"107-1322",2,1,,1,1500,2,,1,1500
4,1,107,2,1322,"107-1322",2,2,,1,1500,2,,1,1500
4,1,107,2,1322,"107-1322",2,4,,1,1200,1,1200,1,1200
4,1,107,2,1322,"107-1322",2,5,1020,1,1500,1,1500,1,1500
4,1,108,2,904,"108-904",1,1,,1,1500,2,,2,
4,1,108,2,904,"108-904",1,2,,1,2000,2,,1,1200
4,1,108,2,904,"108-904",1,5,1121,1,1500,2,,2,
4,1,108,2,904,"108-904",2,1,,1,1500,2,,2,
4,1,108,2,904,"108-904",2,2,,1,2000,2,,1,1000
4,1,108,2,904,"108-904",2,4,,2,,1,1000,2,
4,1,109,2,1214,"109-1214",1,1,,1,1800,2,,1,1500
4,1,109,2,1214,"109-1214",1,2,,1,1800,2,,1,1500
4,1,109,2,1214,"109-1214",1,4,,1,1200,1,1200,1,1000
4,1,109,2,1214,"109-1214",1,5,1020,1,1500,1,1500,1,1200
4,1,109,2,1214,"109-1214",2,1,,1,1800,2,,1,1500
4,1,109,2,1214,"109-1214",2,2,,1,1500,2,,1,1200
4,1,109,2,1214,"109-1214",2,4,,1,1200,1,1200,1,1200
4,1,109,2,1214,"109-1214",2,5,1020,1,1500,1,1500,1,1500
4,1,109,2,1792,"109-1792",1,1,,1,1800,2,,2,
4,1,109,2,1792,"109-1792",1,2,,1,1800,2,,1,1500
4,1,109,2,1792,"109-1792",1,4,,2,,1,1500,2,
4,1,109,2,1792,"109-1792",1,5,1020,1,1500,1,1500,1,1500
4,1,109,2,1792,"109-1792",2,1,,1,1800,2,,2,
4,1,109,2,1792,"109-1792",2,2,,1,1800,2,,2,
4,1,109,2,1792,"109-1792",2,4,,2,,1,1500,2,
4,1,109,2,1792,"109-1792",2,5,1020,1,1500,1,1500,1,1500
4,1,109,2,1996,"109-1996",1,1,,1,1500,2,,2,
4,1,109,2,1996,"109-1996",1,2,,1,1500,1,1500,1,1500
4,1,109,2,1996,"109-1996",1,4,,1,1500,1,1500,1,1500
4,1,109,2,1996,"109-1996",1,5,1121,1,1500,2,,2,
4,1,109,2,1996,"109-1996",2,1,,1,1500,2,,1,1500
4,1,109,2,1996,"109-1996",2,2,,1,1500,1,1500,1,1500
4,1,109,2,1996,"109-1996",2,4,,1,1500,1,1500,2,
4,1,109,2,1996,"109-1996",2,5,1020,2,,1,1500,2,
4,1,110,2,338,"110-338",1,1,,1,1000,2,,2,
4,1,110,2,338,"110-338",1,2,,1,2000,2,,1,1500
4,1,110,2,338,"110-338",1,4,,2,,1,800,2,
4,1,110,2,338,"110-338",1,5,1121,1,1000,2,,2,
4,1,110,2,338,"110-338",1,6,1121,1,1000,1,800,1,600
4,1,110,2,338,"110-338",2,1,,1,1000,2,,2,
4,1,110,2,338,"110-338",2,2,,1,2000,2,,1,1800
4,1,110,2,338,"110-338",2,4,,2,,1,800,2,
4,11,1101,2,154,"1101-154",1,1,,2,,1,1000,2,
4,11,1101,2,154,"1101-154",1,2,,1,2500,2,,2,
4,11,1101,2,154,"1101-154",1,4,,2,,1,1000,2,
4,11,1101,2,154,"1101-154",1,5,1121,1,2000,1,1500,2,
4,11,1101,2,154,"1101-154",1,6,1121,1,1000,1,1000,2,
4,11,1101,2,154,"1101-154",2,1,,2,,1,1000,2,
4,11,1101,2,154,"1101-154",2,2,,1,2500,2,,2,
4,11,1101,2,154,"1101-154",2,4,,2,,1,1000,2,
4,11,1101,2,154,"1101-154",2,5,1020,1,2000,1,1500,2,
4,11,1101,2,154,"1101-154",2,6,1020,1,1000,1,1000,2,
4,11,1102,2,936,"1102-936",1,1,,1,2500,1,1500,2,
4,11,1102,2,936,"1102-936",1,2,,1,3500,2,,2,
4,11,1102,2,936,"1102-936",1,3,,1,2000,2,,2,
4,11,1102,2,936,"1102-936",1,4,,2,,1,1500,2,
4,11,1102,2,936,"1102-936",1,5,1121,1,2500,1,1500,2,
4,11,1102,2,936,"1102-936",1,6,1121,1,2500,1,1500,2,
4,11,1102,2,936,"1102-936",1,7,1121,1,2500,1,1500,2,
4,11,1102,2,936,"1102-936",2,1,,1,2500,1,1500,2,
4,11,1102,2,936,"1102-936",2,2,,1,2500,2,,2,
4,11,1102,2,936,"1102-936",2,4,,2,,1,1500,2,
4,11,1102,2,936,"1102-936",2,5,1020,1,2500,1,1500,2,
4,11,1102,2,936,"1102-936",2,6,1020,2,,1,1500,2,
4,11,1102,2,936,"1102-936",2,7,1020,1,2500,1,1500,2,
4,11,1104,2,1610,"1104-1610",1,1,,1,1500,1,1000,2,
4,11,1104,2,1610,"1104-1610",1,2,,1,2500,2,,2,
4,11,1104,2,1610,"1104-1610",1,4,,2,,1,1000,2,
4,11,1104,2,1610,"1104-1610",1,5,1121,1,1500,1,1000,2,
4,11,1104,2,1610,"1104-1610",1,6,1121,1,1000,1,100,2,
4,11,1104,2,1610,"1104-1610",2,1,,1,1000,1,1000,2,
4,11,1104,2,1610,"1104-1610",2,2,,1,1000,2,,2,
4,11,1104,2,1610,"1104-1610",2,4,,2,,1,100,2,
4,11,1104,2,1610,"1104-1610",2,5,1020,1,1500,1,100,2,
4,11,1104,2,1610,"1104-1610",2,6,1020,1,1000,1,1000,2,
4,11,1104,1,2028,"1104-2028",1,1,,1,2000,1,1500,2,
4,11,1104,1,2028,"1104-2028",1,2,,1,2500,2,,2,
4,11,1104,1,2028,"1104-2028",1,4,,2,,1,1000,2,
4,11,1104,1,2028,"1104-2028",1,5,1121,1,1500,1,1000,2,
4,11,1104,1,2028,"1104-2028",1,6,1121,1,1500,1,1000,2,
4,11,1104,1,2028,"1104-2028",2,1,,1,2000,1,1500,2,
4,11,1104,1,2028,"1104-2028",2,2,,1,2500,2,,2,
4,11,1104,1,2028,"1104-2028",2,4,,2,,1,1000,2,
4,11,1104,1,2028,"1104-2028",2,5,1020,1,1500,1,1000,2,
4,11,1104,1,2028,"1104-2028",2,6,1020,1,1500,1,1000,2,
4,11,1104,2,434,"1104-434",1,1,,1,3500,2,,2,
4,11,1104,2,434,"1104-434",1,4,,2,,1,1500,1,1000
4,11,1104,2,434,"1104-434",1,5,1121,1,500,2,,2,
4,11,1104,2,434,"1104-434",1,6,1121,1,2000,2,,2,
4,11,1104,2,434,"1104-434",2,4,,2,,1,1000,2,
4,11,1104,2,434,"1104-434",2,5,1121,1,500,2,,2,
4,11,1104,2,434,"1104-434",2,6,1121,1,2000,2,,2,
4,11,1104,2,914,"1104-914",1,1,,1,1500,2,,2,
4,11,1104,2,914,"1104-914",1,2,,1,2000,2,,2,
4,11,1104,2,914,"1104-914",1,3,,1,2000,2,,2,
4,11,1104,2,914,"1104-914",1,4,,2,,1,1000,1,800
4,11,1104,2,914,"1104-914",1,6,1121,1,1500,1,1000,1,300
4,11,1104,2,914,"1104-914",2,1,,1,1500,1,1000,2,
4,11,1104,2,914,"1104-914",2,2,,1,2000,2,,2,
4,11,1104,2,914,"1104-914",2,4,,2,,1,1000,1,800
4,11,1104,2,914,"1104-914",2,5,1020,1,2000,1,1500,2,
4,11,1104,2,914,"1104-914",2,6,1020,2,,1,1000,1,800
4,11,1104,2,914,"1104-914",2,7,1020,2,,1,1000,2,
4,11,1105,2,1092,"1105-1092",1,1,,1,1500,1,1000,2,
4,11,1105,2,1092,"1105-1092",1,2,,1,2000,2,,2,
4,11,1105,2,1092,"1105-1092",1,5,1121,1,2000,1,1500,2,
4,11,1105,2,1092,"1105-1092",1,6,1121,1,2000,1,1500,2,
4,11,1105,2,1092,"1105-1092",2,1,,1,2000,1,1500,2,
4,11,1105,2,1092,"1105-1092",2,2,,1,2000,2,,2,
4,11,1105,2,1092,"1105-1092",2,4,,2,,1,1500,1,1000
4,11,1105,2,1092,"1105-1092",2,5,1020,2,,1,1500,1,1000
4,11,1105,2,1092,"1105-1092",2,6,1020,1,2000,1,1500,1,1000
4,11,1105,2,1092,"1105-1092",2,7,1020,2,,1,1500,2,
4,11,1106,2,1366,"1106-1366",1,1,,2,,1,1000,2,
4,11,1106,2,1366,"1106-1366",1,2,,1,2500,2,,2,
4,11,1106,2,1366,"1106-1366",1,4,,2,,1,1000,2,
4,11,1106,2,1366,"1106-1366",1,5,1121,1,2500,1,1000,2,
4,11,1106,2,1366,"1106-1366",1,6,1121,1,2000,1,1000,2,
4,11,1106,2,1366,"1106-1366",2,1,,2,,1,1000,2,
4,11,1106,2,1366,"1106-1366",2,2,,1,2500,2,,2,
4,11,1106,2,1366,"1106-1366",2,4,,2,,1,1000,2,
4,11,1106,2,1366,"1106-1366",2,5,1020,2,,1,1000,2,
4,11,1106,2,1366,"1106-1366",2,6,1020,1,1500,1,1000,2,
4,11,1106,2,1366,"1106-1366",2,7,1020,2,,1,1000,2,
4,11,1109,2,1556,"1109-1556",1,1,,1,2000,1,1500,1,1000
4,11,1109,2,1556,"1109-1556",1,2,,1,2000,2,,1,1000
4,11,1109,2,1556,"1109-1556",1,4,,2,,1,1500,1,1000
4,11,1109,2,1556,"1109-1556",1,5,1121,1,2000,2,,2,
4,11,1109,2,1556,"1109-1556",1,6,1121,1,2000,1,1500,1,1000
4,11,1109,2,1556,"1109-1556",2,1,,1,2000,1,1500,2,
4,11,1109,2,1556,"1109-1556",2,2,,1,2000,2,,2,
4,11,1109,2,1556,"1109-1556",2,4,,2,,1,1500,2,
4,11,1109,2,1556,"1109-1556",2,5,1020,2,,1,1500,2,
4,11,1109,2,1556,"1109-1556",2,6,1020,1,2000,1,1500,1,1000
4,11,1109,2,1556,"1109-1556",2,7,1020,2,,1,1500,1,1000
4,1,111,1,1146,"111-1146",1,1,,1,1500,2,,2,
4,1,111,1,1146,"111-1146",1,2,,1,1500,2,,1,800
4,1,111,1,1146,"111-1146",1,4,,2,,1,700,2,
4,1,111,1,1146,"111-1146",1,5,1121,1,1500,1,700,2,
4,1,111,1,1146,"111-1146",2,1,,1,1500,2,,2,
