"zone","state","lga","sector","ea","cluster_id","farmer_id","c9q1","c9q4","c9q2b"
3,17,1712,2,126,"1712-126",1,1,3,1100
3,17,1712,2,126,"1712-126",2,-92,,
3,17,1715,2,3064,"1715-3064",1,1,3,1100
3,17,1715,2,3064,"1715-3064",2,-92,,
3,17,1716,2,1344,"1716-1344",1,1,3,1100
3,17,1716,2,1344,"1716-1344",2,-92,,
3,17,1716,2,1452,"1716-1452",1,1,3,1100
3,17,1716,2,1452,"1716-1452",2,1,3,1100
3,17,1717,2,378,"1717-378",1,1,2,1100
3,17,1717,2,378,"1717-378",2,2,,
3,17,1721,1,1272,"1721-1272",1,1,3,1100
3,17,1721,1,1272,"1721-1272",2,-92,,
3,17,1722,2,96,"1722-96",1,1,3,1110
3,17,1722,2,96,"1722-96",2,-92,,
3,17,1723,1,668,"1723-668",1,1,3,1100
3,17,1723,1,668,"1723-668",2,1,3,1100
3,17,1725,2,200,"1725-200",1,1,2,1100
3,17,1725,2,200,"1725-200",2,2,,
3,18,1802,2,1040,"1802-1040",1,1,2,1080
3,18,1802,2,1040,"1802-1040",2,1,2,1060
3,18,1802,2,1554,"1802-1554",1,2,,
3,18,1802,2,1554,"1802-1554",2,2,,
3,18,1802,1,3204,"1802-3204",1,1,3,1080
3,18,1802,1,3204,"1802-3204",2,1,3,1080
3,18,1803,2,840,"1803-840",1,1,1,1080
3,18,1803,2,840,"1803-840",2,1,1,1080
3,18,1804,1,2690,"1804-2690",1,1,1,1080
3,18,1804,1,2690,"1804-2690",2,1,1,1080
3,18,1805,2,674,"1805-674",1,1,1,1080
3,18,1805,2,674,"1805-674",2,1,1,1080
3,18,1805,2,792,"1805-792",1,1,3,1080
3,18,1805,2,792,"1805-792",2,1,3,1080
3,18,1807,2,1754,"1807-1754",1,2,,
3,18,1807,2,1754,"1807-1754",2,2,,
3,18,1809,1,1098,"1809-1098",1,1,2,1080
3,18,1809,1,1098,"1809-1098",2,1,2,1080
3,18,1809,1,1756,"1809-1756",1,1,2,1080
3,18,1809,1,1756,"1809-1756",2,1,2,1110
3,18,1810,1,540,"1810-540",1,1,2,1080
3,18,1810,1,540,"1810-540",2,1,1,1080
3,18,1812,2,42,"1812-42",1,2,,
3,18,1812,2,42,"1812-42",2,2,,
3,18,1813,2,522,"1813-522",1,1,3,1080
3,18,1813,2,522,"1813-522",2,1,3,1080
3,18,1816,1,378,"1816-378",1,1,1,1080
3,18,1816,1,378,"1816-378",2,1,1,1080
3,18,1817,2,572,"1817-572",1,1,3,1080
3,18,1817,2,572,"1817-572",2,1,3,1080
3,18,1817,2,726,"1817-726",1,1,3,1080
3,18,1817,2,726,"1817-726",2,1,3,1080
3,18,1817,2,880,"1817-880",1,1,1,1080
3,18,1817,2,880,"1817-880",2,1,1,1080
3,18,1818,2,76,"1818-76",1,1,1,1110
3,18,1818,2,76,"1818-76",2,1,1,1110
3,18,1819,1,818,"1819-818",1,1,1,1080
3,18,1819,1,818,"1819-818",2,1,3,1080
3,18,1820,2,450,"1820-450",1,1,1,1080
3,18,1820,2,450,"1820-450",2,1,3,1080
3,18,1821,2,24,"1821-24",1,1,3,1080
3,18,1821,2,24,"1821-24",2,1,3,1080
3,18,1822,2,1898,"1822-1898",1,1,1,1080
3,18,1822,2,1898,"1822-1898",2,1,1,1010
3,19,1909,2,1684,"1909-1684",1,1,3,1070
3,19,1909,2,1684,"1909-1684",2,1,3,1070
3,19,1910,2,808,"1910-808",1,1,3,1100
3,19,1910,2,808,"1910-808",2,1,3,1010
3,19,1912,1,1510,"1912-1510",1,2,,
3,19,1912,1,1510,"1912-1510",2,-92,,
3,19,1914,2,934,"1914-934",1,1,3,1070
3,19,1914,2,934,"1914-934",2,1,3,1070
3,19,1919,2,366,"1919-366",1,1,3,1070
3,19,1919,2,366,"1919-366",2,2,,
3,19,1919,2,596,"1919-596",1,1,3,1080
3,19,1919,2,596,"1919-596",2,1,3,1080
3,19,1921,1,842,"1921-842",1,2,,
3,19,1921,1,842,"1921-842",2,2,,
3,19,1923,2,284,"1923-284",1,1,3,1070
3,19,1923,2,284,"1923-284",2,2,,
3,19,1924,2,356,"1924-356",1,1,1,1070
3,19,1924,2,356,"1924-356",2,1,1,1070
3,19,1927,2,622,"1927-622",1,1,3,1110
3,19,1927,2,622,"1927-622",2,1,3,1110
3,19,1928,2,526,"1928-526",1,1,1,1070
3,19,1928,2,526,"1928-526",2,1,1,1070
3,19,1929,2,108,"1929-108",1,1,3,1100
3,19,1929,2,108,"1929-108",2,-92,,
3,19,1933,2,330,"1933-330",1,1,3,1070
3,19,1933,2,330,"1933-330",2,2,,
3,19,1940,2,648,"1940-648",1,1,3,1070
3,19,1940,2,648,"1940-648",2,1,3,2220
3,19,1941,2,1112,"1941-1112",1,1,3,1080
3,19,1941,2,1112,"1941-1112",2,1,3,1080
3,20,2003,2,1390,"2003-1390",1,1,3,1100
3,20,2003,2,1390,"2003-1390",2,1,3,1100
3,20,2009,2,144,"2009-144",1,1,1,1080
3,20,2009,2,144,"2009-144",2,-92,,
3,20,2010,2,946,"2010-946",1,1,2,1100
3,20,2010,2,946,"2010-946",2,-92,,
3,20,2012,1,844,"2012-844",1,1,3,1100
3,20,2012,1,844,"2012-844",2,-92,,
3,20,2015,2,1746,"2015-1746",1,1,1,1070
3,20,2015,2,1746,"2015-1746",2,-92,,
3,20,2016,2,2102,"2016-2102",1,1,1,1100
3,20,2016,2,2102,"2016-2102",2,1,1,1100
3,20,2016,1,408,"2016-408",1,1,3,1100
3,20,2016,1,408,"2016-408",2,1,3,1100
3,20,2018,2,1134,"2018-1134",1,1,3,1100
3,20,2018,2,1134,"2018-1134",2,1,3,1100
3,20,2021,1,2086,"2021-2086",1,1,3,1100
3,20,2021,1,2086,"2021-2086",2,-92,,
3,20,2021,1,2556,"2021-2556",1,1,2,1100
3,20,2021,1,2556,"2021-2556",2,-92,,
3,20,2025,2,2222,"2025-2222",1,1,3,1070
3,20,2025,2,2222,"2025-2222",2,1,3,1070
