"zone","state","lga","sector","ea","hhid","cropcode","phl_q02_1","phl_q03_1","phl_q04_1","phl_q05_1","phl_q06_1","phl_q07__1_1","phl_q07__2_1","phl_q07__3_1","phl_q07__4_1","phl_q02_2","phl_q03_2","phl_q04_2","phl_q05_2","phl_q06_2","phl_q07__1_2","phl_q07__2_2","phl_q07__3_2","phl_q07__4_2","phl_q02_3","phl_q03_3","phl_q04_3","phl_q05_3","phl_q06_3","phl_q07__1_3","phl_q07__2_3","phl_q07__3_3","phl_q07__4_3","phl_q08__1","phl_q09_1","phl_q10_1","phl_q11_1","phl_q12__1_1","phl_q12__2_1","phl_q12__3_1","phl_q12__4_1","phl_q08__2","phl_q09_2","phl_q10_2","phl_q11_2","phl_q12__1_2","phl_q12__2_2","phl_q12__3_2","phl_q12__4_2","phl_q08__3","phl_q09_3","phl_q10_3","phl_q11_3","phl_q12__1_3","phl_q12__2_3","phl_q12__3_3","phl_q12__4_3"
4,1,107,2,10,19069,1020,2,,,,,,,,,1,1,3,5,1000,1,0,1,0,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,10,19069,1080,2,,,,,,,,,1,1,2,5,1000,1,1,0,1,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,10,19069,2190,2,,,,,,,,,1,1,2,5,1000,1,0,1,0,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,10,19070,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,10,19070,2190,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,10,19070,3030,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,10,19071,1080,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,10,19071,2142,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,10,19071,2190,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,10,19072,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
