"zone","state","lga","sector","ea","hhid","lid","s4cq2b","s4cq2b_os","s4cq18_1","s4cq18_2","s4cq18_3","s4cq4","s4cq4_os","s4cq19","s4cq20","s4cq21a","s4cq21b","s4cq22","s4cq23_1","s4cq23_2","s4cq23_3","s4cq23_os","s4cq24","s4cq25a","s4cq25b","s4cq26","s4cq7","s4cq8","s4cq8b","s4cq9","s4cq27a","s4cq27b","s4cq10","s4cq10b","s4cq11"
2,5,520,2,1756,50161,1,7,,1,,,3,,20000,1,5,3,2,,,,,1,5,3,20000,1,6,2018,2,,,10,2018,20000
2,5,520,2,1756,50166,1,7,,1,,,2,,32000,1,0,,2,,,,,1,0,,32000,1,6,2018,2,,,10,2018,32000
2,5,520,2,1756,50167,1,6,,1,,,2,,50000,1,0,,2,,,,,1,0,,50000,1,7,2017,2,,,9,2018,50000
2,5,520,2,1756,50168,1,6,,1,,,2,,40000,1,7,1,2,,,,,1,10,1,40000,2,4,2018,2,,,11,2018,44000
2,5,520,2,1756,50170,1,6,,1,,,2,,20000,1,0,,2,,,,,1,0,,20000,1,5,2018,1,6,2018,,,20000
2,5,502,1,562,59009,1,4,,1,,,5,,1500000,1,20,1,2,,,,,1,0,,1500000,1,1,2018,2,,,12,2018,1750000
2,5,503,2,246,59022,1,1,,1,,,4,,10000,1,0,,2,,,,,1,0,,10000,2,3,2018,2,,,12,2018,10000
2,5,504,2,1162,59048,1,6,,1,,,12,,10000,1,0,,2,,,,,1,0,,10000,2,1,2018,1,5,2018,,,10000
2,5,505,2,1716,59066,1,6,,1,,,2,,60000,1,0,,2,,,,,1,0,,60000,1,6,2018,2,,,11,2018,60000
2,5,505,2,1716,59068,1,6,,1,,,2,,15000,1,0,,2,,,,,1,0,,15000,1,6,2018,2,,,11,2018,15000
2,5,505,2,1716,59068,2,6,,1,,,12,,55000,1,0,,2,,,,,1,0,,55000,1,5,2018,2,,,11,2018,55000
2,5,505,2,1716,59070,1,7,,1,,,2,,6000,1,0,,2,,,,,1,0,,6000,2,6,2018,2,,,10,2018,6000
2,5,507,2,230,59085,1,7,,1,,,12,,5000,1,0,,2,,,,,1,0,,5000,1,11,2017,1,1,2018,,,5000
2,5,507,2,230,59086,1,6,,1,,,2,,14000,1,0,,2,,,,,1,0,,14000,1,5,2018,1,7,2018,,,14000
