"zone","state","lga","sector","ea","hhid","s12q8a","s12q8b","s12q8c","s12q8d","s12q8e","s12q8f","s12q8g","s12q8h","s12q8i","s12q8j","s12q2a","s12q2b1","s12q2b","s12q5","s12q6__1","s12q6__2","s12q6__3","s12q6__4","s12q6__5","s12q6__6","s12q6__7","s12q6__8","s12q6__9","s12q6__10","s12q6__11","s12q6__12","s12q6__13","s12q6__14","s12q6__15","s12q7_1","s12q7_2","s12q7_3","s12q7_os","Sec12_resp"
4,1,102,1,806,19017,1,1,1,1,1,1,2,2,1,2,2,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,,,,2
4,1,102,1,806,19018,1,1,1,1,1,1,1,2,1,2,3,4,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,102,1,806,19019,1,1,1,1,1,1,2,2,2,2,3,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,,,,1
4,1,102,1,806,19020,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,806,19023,1,1,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,806,19024,2,2,2,2,2,2,2,2,2,2,2,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,2486,19025,2,2,2,2,2,2,2,2,2,2,3,3,0,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,2486,19026,1,1,1,1,1,2,1,2,1,2,2,,,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,12,,,,6
4,1,102,1,2486,19029,1,2,2,2,2,2,2,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,2486,19031,1,2,2,2,1,2,2,2,2,2,3,,4,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,2486,19032,2,2,2,2,2,2,2,2,2,2,2,2,,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,2486,19033,1,1,1,2,1,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,2486,19034,1,1,1,1,1,2,2,2,1,2,3,3,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,12,,,2
4,1,102,1,2486,19035,1,1,1,2,2,2,1,2,2,2,2,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,2486,19036,1,1,1,1,1,1,1,2,1,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,2
4,1,104,2,412,19037,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,5
4,1,104,2,412,19038,2,2,2,2,2,2,2,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,104,2,412,19039,1,1,1,1,1,1,1,1,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,104,2,412,19040,1,1,1,1,1,1,2,2,2,2,3,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,104,2,412,19041,1,1,1,1,1,1,2,2,1,2,3,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,104,2,412,19043,1,1,1,1,1,1,1,1,2,1,2,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,,,,1
4,1,104,2,412,19044,1,1,1,1,1,1,1,2,2,2,1,,,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,12,,,,1
4,1,104,2,412,19045,1,1,1,2,2,1,2,2,2,2,3,,4,2,,,,,,,,,,,,,,,,,,,,2
4,1,104,2,412,19047,1,1,1,1,1,1,2,2,2,2,3,,3,2,,,,,,,,,,,,,,,,,,,,4
4,1,104,2,412,19048,2,2,2,2,1,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,104,2,1020,19049,1,1,1,1,1,2,2,2,1,2,3,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,,,,2
4,1,104,2,1020,19050,2,2,2,2,2,2,2,2,2,2,3,3,4,2,,,,,,,,,,,,,,,,,,,,2
4,1,104,2,1020,19051,1,1,1,1,1,1,1,2,1,2,3,5,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,104,2,1020,19052,1,1,1,2,1,1,2,2,1,2,3,5,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,104,2,1020,19054,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,104,2,1020,19055,2,2,1,2,2,1,2,2,2,2,3,4,,2,,,,,,,,,,,,,,,,,,,,1
4,1,104,2,1020,19056,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,104,2,1020,19058,1,1,1,2,1,1,2,2,2,2,3,3,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,,,,2
4,1,104,2,1020,19060,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,107,2,10,19061,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,107,2,10,19062,1,1,1,1,1,1,1,2,1,2,3,,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,9,,"MUCH RAIN DURUNG THE RAINING SEASON",4
4,1,107,2,10,19063,1,1,1,2,2,2,1,1,1,1,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,107,2,10,19064,1,1,1,1,1,1,1,2,2,1,2,2,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,12,5,,,1
4,1,107,2,10,19066,1,1,1,1,1,1,1,2,1,2,2,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,,,,2
