"zone","state","lga","sector","ea","hhid","inputid","s11c3q2","s11c3q3_1","s11c3q3_2","s11c3q3_3","s11c3q4a","s11c3q4b","s11c3q4_conv","s11c3q5","s11c3q6","s11c3q6b","s11c3q6b_os","s11c3q7","s11c3q8a","s11c3q8b","s11c2q29","s11c3q10"
4,1,111,2,118,19138,1,1,1,,,1,12,50,2500,1,6,,0,0,,,
4,1,111,2,118,19138,2,1,1,,,2,12,50,12000,2,6,,0,,,,
4,1,111,2,118,19138,6,1,1,,,1,3,1,1500,1,6,,0,,,,
4,1,111,2,118,19139,2,1,1,,,1,12,50,6000,1,2,,0,,,,
4,1,111,2,118,19139,3,1,1,,,1,12,50,5700,1,2,,0,,,,
4,1,111,2,118,19140,2,1,1,,,1,11,25,2500,1,1,,2,,,,
4,1,111,2,118,19141,1,1,1,,,12,12,50,60000,10,1,,2,0,,,
4,1,111,2,118,19141,2,1,1,,,9,13,100,45000,2,6,,2,,,,
4,1,111,2,118,19141,5,1,1,,,6,3,1,8400,6,1,,2,,,,
4,1,111,2,118,19141,6,1,1,,,4,3,1,6800,4,1,,2,,,,
4,1,111,2,118,19143,2,1,1,,,1,12,50,6500,1,6,,0,,,,
4,1,111,2,118,19144,2,1,1,,,0.25,12,50,3000,0.25,6,,0,,,,
4,1,112,2,556,19159,2,1,2,,,1,12,50,8000,1,6,,7,,,,
4,1,112,2,556,19160,3,1,1,,,2,11,25,7000,2,6,,7,,,,
4,1,112,2,556,19161,2,1,1,,,1,12,50,8500,1,6,,7,,,,
4,1,112,2,556,19163,2,1,1,,,0.75,10,10,1200,0.75,6,,3,,,,
4,1,112,2,556,19163,3,1,1,,,0.75,10,10,1050,0.75,6,,3,,,,
4,1,112,2,556,19166,1,1,1,,,1,12,50,1500,1,6,,0,1,12,,
4,1,112,2,556,19166,2,1,1,,,1,12,50,9000,1,6,,1,,,,
4,1,112,2,556,19168,2,1,1,,,4,12,50,34000,4,6,,7,,,,
4,1,113,2,284,19193,3,1,1,,,5,12,50,32500,5,6,,6,,,,
4,1,115,1,176,19209,1,2,,,,,,,,,,,,5,12,,
4,1,117,2,800,19230,1,1,2,,,7,11,25,3500,7,6,,2,0,,,
4,1,117,2,800,19230,2,1,1,,,2,12,50,10000,2,6,,2,,,,
4,1,117,2,800,19231,2,1,1,,,4,11,25,12000,2,6,,2,,,,
4,1,117,2,800,19232,1,1,1,,,8,11,25,9600,8,1,,20,0,,,
4,1,117,2,800,19238,2,1,1,,,8,12,50,48000,8,2,,0,,,,
4,1,117,2,800,19238,3,1,1,,,4,12,50,24000,4,2,,0,,,,
4,1,117,2,800,19239,1,1,1,,,3,12,50,1500,3,4,,0,0,,,
4,1,104,2,1020,19250,5,1,1,,,1,3,1,1500,1,6,,0,,,,
4,1,107,2,1322,19254,1,1,1,,,1,11,25,400,1,6,,0,0,,,
4,1,107,2,1322,19254,3,1,1,2,,1,12,50,7500,1,6,,0,,,,
4,1,112,2,266,19266,2,1,2,,,1,11,25,4500,1,6,,1,,,,
4,1,117,2,800,19280,1,1,2,,,50,1,1,800,50,6,,2,0,,,
4,1,117,2,800,19280,2,2,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,6,1,4,,,5,3,1,6000,5,6,,4,,,,
2,2,209,2,1040,20001,7,,,,,,,,,,,,,,,2,
2,2,209,2,1040,20001,8,,,,,,,,,,,,,,,2,
2,2,209,2,1040,20002,2,1,4,,,3,12,50,22500,3,6,,0,,,,
2,2,209,2,1040,20002,3,1,4,,,2,12,50,16000,2,6,,0,,,,
2,2,209,2,1040,20002,6,1,4,,,5,3,1,7500,5,6,,0,,,,
2,2,209,2,1040,20002,7,,,,,,,,,,,,,,,1,7500
2,2,209,2,1040,20002,8,,,,,,,,,,,,,,,2,
2,34,3401,2,0,20003,5,1,6,,,3,3,1,4200,3,6,,0,,,,
2,34,3401,2,0,20003,6,1,6,,,1,3,1,1400,1,6,,0,,,,
2,2,209,2,1040,20006,2,1,4,,,1,11,25,4500,1,6,,1,,,,
2,2,209,2,1040,20006,3,1,4,,,1,12,50,8000,1,6,,1,,,,
2,2,209,2,1040,20006,6,1,4,,,5,3,1,6100,5,6,,1,,,,
2,2,209,2,1040,20007,6,1,1,,,4,3,1,6000,4,6,,0,,,,
2,2,209,2,1040,20008,3,1,1,,,2,12,50,11000,2,6,,0,,,,
2,2,209,2,1040,20008,6,1,1,,,2,3,1,3000,2,6,,0,,,,
2,34,209,2,0,20009,1,1,12,,,2,12,50,16000,2,6,,0,0,,,
2,34,209,2,0,20009,2,1,12,,,1,12,50,8000,1,6,,0,,,,
2,34,209,2,0,20009,3,1,12,,,1,12,50,8000,1,6,,0,,,,
2,34,209,2,0,20009,6,2,,,,,,,,,,,,,,,
2,2,203,2,1224,20041,6,1,2,,,3,3,1,4500,0,6,,2,,,,
2,2,203,2,1224,20042,6,1,1,,,5,3,1,7500,5,6,,2,,,,
2,2,203,2,1224,20043,6,1,1,,,6,3,1,7200,6,6,,10,,,,
2,2,203,2,1224,20043,7,,,,,,,,,,,,,,,2,
2,2,203,2,1224,20043,8,,,,,,,,,,,,,,,2,
2,2,203,2,1224,20044,6,1,6,,,1,3,1,1500,1,6,,10,,,,
2,2,203,2,1224,20044,7,,,,,,,,,,,,,,,2,
2,2,203,2,1224,20044,8,,,,,,,,,,,,,,,2,
2,2,203,2,1224,20045,6,1,1,,,7,3,1,14000,7,6,,0,,,,
2,2,203,2,1224,20046,3,1,1,,,1,31,1.79999995231628,350,1,2,,0,,,,
2,2,203,2,1224,20046,5,1,1,,,1,3,1,1500,1,6,,0,,,,
2,2,203,2,1224,20046,6,1,1,2,,9,3,1,11500,9,6,,0,,,,
2,2,203,2,1224,20047,2,1,1,,,3,12,50,21000,3,6,,15,,,,
2,2,203,2,1224,20047,6,1,1,,,18,3,1,20250,18,6,,15,,,,
2,2,203,2,1224,20047,7,,,,,,,,,,,,,,,1,25000
2,2,203,2,1224,20047,8,,,,,,,,,,,,,,,2,
2,2,203,2,1224,20048,3,1,1,,,1,12,50,7000,1,6,,15,,,,
2,2,203,2,1224,20048,6,1,1,,,10,3,1,12000,10,6,,15,,,,
2,2,203,2,1224,20049,1,1,15,,,1,11,25,4000,1,6,,15,0,,,
2,2,203,2,1224,20049,2,1,15,,,1,12,50,8000,1,6,,15,,,,
2,2,203,2,1224,20049,3,1,15,,,1,31,1.79999995231628,400,1,6,,15,,,,
2,2,203,2,1224,20049,5,1,15,,,1,1,1,2000,1,6,,15,,,,
2,2,203,2,1224,20049,6,1,15,,,3,3,1,3600,3,6,,15,,,,
2,2,210,2,1300,20061,2,1,1,,,1,12,50,5500,1,1,,0,,,,
2,2,210,2,1300,20061,3,1,1,,,2,12,50,11000,2,1,,0,,,,
2,2,210,2,1300,20061,6,1,1,,,9,3,1,9900,9,1,,0,,,,
2,2,210,2,1300,20062,2,1,1,,,1,12,50,6000,1,1,,19,,,,
2,2,210,2,1300,20062,3,1,1,,,1,12,50,6000,1,1,,19,,,,
2,2,210,2,1300,20062,5,1,1,2,,2,3,1,4000,2,1,,19,,,,
2,2,210,2,1300,20062,6,1,1,2,,8,3,1,12000,8,1,,19,,,,
2,2,210,2,1300,20063,1,1,1,,,2,12,50,4500,2,1,,30,0,,,
2,2,210,2,1300,20063,2,1,1,,,1,12,50,9000,1,1,,30,,,,
2,2,210,2,1300,20063,5,2,,,,,,,,,,,,,,,
2,2,210,2,1300,20063,6,1,1,,,6,3,1,10000,6,1,,30,,,,
2,2,210,2,1300,20065,1,1,1,,,10,12,50,4000,10,2,,0,0,,,
2,2,210,2,1300,20065,6,1,1,,,7,3,1,14000,7,6,,0,,,,
2,2,210,2,1300,20066,5,2,,,,,,,,,,,,,,,
2,2,210,2,1300,20066,6,1,1,,,3,3,1,4500,3,6,,1,,,,
2,2,210,2,1300,20066,7,,,,,,,,,,,,,,,2,
2,2,210,2,1300,20066,8,,,,,,,,,,,,,,,2,
2,2,210,2,1300,20068,6,1,2,,,4,3,1,5000,4,6,,5,,,,
2,2,210,2,1300,20069,3,1,1,,,3,12,50,29500,3,6,,7,,,,
2,2,210,2,1300,20069,6,1,1,,,8,3,1,9200,8,6,,7,,,,
2,2,210,2,1300,20070,2,1,11,,,1,12,50,5700,1,2,,0,,,,
2,2,210,2,1300,20070,6,1,11,,,3,3,1,4500,3,6,,9,,,,
2,2,207,2,1302,20091,3,1,1,,,2,12,50,16000,2,6,,6,,,,
2,2,207,2,1302,20091,5,1,1,,,16,3,1,16800,14,6,,0,,,,
2,2,207,2,1302,20091,6,1,1,,,14,3,1,16800,14,6,,0,,,,
2,2,207,2,1302,20092,5,2,,,,,,,,,,,,,,,
2,2,207,2,1302,20092,6,1,1,,,21,3,1,29400,21,6,,0,,,,
2,2,207,2,1302,20093,2,2,,,,,,,,,,,,,,,
2,2,207,2,1302,20093,3,1,2,,,1.5,12,50,11500,1.5,1,,9,,,,
2,2,207,2,1302,20093,6,1,2,,,2,3,1,2400,2,1,,9,,,,
2,2,207,2,1302,20094,6,1,4,,,4,3,1,5000,4,6,,9,,,,
2,2,207,2,1302,20095,2,1,1,,,2,12,50,13000,2,6,,0,,,,
2,2,207,2,1302,20095,5,2,,,,,,,,,,,,,,,
2,2,207,2,1302,20095,6,1,1,,,7,3,1,8400,7,6,,2,,,,
2,2,207,2,1302,20096,1,1,1,,,2,12,50,14000,2,1,,9,2,12,,
2,2,207,2,1302,20096,2,1,1,,,2,12,50,14000,2,1,,4,,,,
2,2,207,2,1302,20096,6,1,1,,,1,3,1,1300,1,1,,9,,,,
2,2,207,2,1302,20097,3,1,1,,,1,12,50,7500,1,6,,9,,,,
2,2,207,2,1302,20097,6,1,1,,,8,3,1,9800,8,6,,9,,,,
2,2,207,2,1302,20098,2,1,1,,,4,12,50,18000,4,1,,9,,,,
2,2,207,2,1302,20098,3,1,1,,,4,12,50,26000,4,1,,9,,,,
