"zone","state","lga","sector","ea","hhid","livestock_cd","animal_cd","s11k3q1","s11k3q2","s11k3q2a","s11k3q3","s11k3q4","s11k3q4a","s11k3q5","s11k3q6","s11k3q7_1","s11k3q7_2","s11k3q7_3","s11k3q8"
4,4,402,2,1080,40208,5,114,1,5,2,16,3,25,2,,,,,
4,4,402,2,1080,40209,5,114,1,3,2,7,3,18,2,,,,,
4,4,402,2,874,49001,5,114,1,1,2,5,1,10,2,,,,,
4,4,402,2,874,49004,5,114,1,2,2,15,2,18,2,,,,,
4,4,402,2,874,49005,5,113,1,6,2,500,150,6000,1,580,1,,,29000
4,4,402,2,874,49006,5,114,1,1,1,6,0,6,,,,,,
4,4,402,2,874,49007,5,114,1,2,1,7,1,7,2,,,,,
4,4,402,2,874,49008,5,114,2,,,,,,,,,,,
4,4,402,2,874,49010,5,114,2,,,,,,,,,,,
4,4,405,2,716,49017,5,114,2,,,,,,,,,,,
4,4,405,2,716,49018,5,114,1,4,1,4,2,12,2,,,,,
4,4,405,2,716,49019,5,114,1,3,2,2,2,19,2,,,,,
4,4,405,2,716,49019,5,117,,,,,,,,,,,,
4,4,408,2,630,49027,5,114,1,2,2,12,2,16,2,,,,,
4,4,408,2,630,49030,5,114,1,2,1,10,2,12,2,,,,,
4,4,408,2,630,49035,5,114,1,4,1,5,2,14,2,,,,,
4,4,412,1,1562,49037,5,114,1,3,3,6,2,12,1,12,2,,,1200
4,4,412,1,1562,49041,5,114,2,,,,,,,,,,,
4,4,412,1,1562,49043,5,117,1,1,2,30,1,30,2,,,,,
4,4,412,1,1562,49045,5,114,1,2,1,3,1,14,2,,,,,
4,4,412,1,1562,49046,5,113,2,,,,,,,,,,,
4,4,412,1,1562,49046,5,114,1,4,1,6,5,45,2,,,,,
4,4,412,1,1562,49046,5,117,2,,,,,,,,,,,
4,4,412,1,1562,49046,5,118,2,,,,,,,,,,,
4,4,416,1,372,49055,5,114,2,,,,,,,,,,,
4,4,416,1,730,49071,5,114,1,6,1,2,1,21,2,,,,,
4,4,419,1,1006,49091,5,117,2,,,,,,,,,,,
4,4,419,1,1006,49093,5,114,1,2,1,7,1,7,2,,,,,
4,4,419,1,1006,49094,5,114,1,2,1,5,1,5,2,,,,,
4,4,420,1,1296,49100,5,114,1,3,4,3,1,12,2,,,,,
4,4,420,1,1296,49102,5,114,1,3,3,10,2,10,2,,,,,
4,4,420,1,1296,49108,5,114,1,1,1,6,1,13,2,,,,,
4,4,405,2,716,49111,5,114,2,,,,,,,,,,,
4,4,408,2,630,49114,5,114,2,,,,,,,,,,,
4,4,407,1,680,49126,5,114,2,,,,,,,,,,,
4,4,407,1,680,49129,5,114,1,2,2,10,1,10,1,5,2,,,500
4,4,407,1,680,49130,5,114,1,6,2,5,4,18,2,,,,,
4,4,407,1,680,49131,5,114,1,2,2,15,2,15,2,,,,,
4,4,407,1,680,49132,5,114,1,2,2,10,2,10,2,,,,,
4,4,407,1,680,49133,5,114,2,,,,,,,,,,,
4,4,407,1,680,49134,5,114,1,1,3,3,2,15,2,,,,,
4,4,407,1,680,49135,5,114,2,,,,,,,,,,,
4,4,407,1,680,49136,5,114,1,5,1,3,1,9,2,,,,,
2,5,506,2,830,50003,5,114,2,,,,,,,,,,,
2,5,506,2,830,50004,5,114,2,,,,,,,,,,,
2,5,506,2,830,50004,5,117,,,,,,,,,,,,
2,5,506,2,830,50006,5,114,2,,,,,,,,,,,
2,5,506,2,830,50007,5,114,1,2,2,4,1,13,2,,,,,
2,5,506,2,830,50007,5,118,1,1,2,2,1,10,2,,,,,
2,5,506,2,830,50008,5,114,1,3,2,4,0,,,,,,,
2,5,502,2,3878,50031,5,114,2,,,,,,,,,,,
2,5,502,2,3878,50034,5,114,2,,,,,,,,,,,
2,5,502,2,0,50037,5,114,1,4,2,4,1,12,2,,,,,
2,5,502,2,0,50037,5,118,2,,,,,,,,,,,
2,5,513,2,348,50053,5,114,1,3,2,4,6,0,2,,,,,
2,5,513,2,348,50054,5,114,1,3,1,7,1,12,2,,,,,
2,5,513,2,348,50058,5,114,2,,,,,,,,,,,
2,5,513,2,348,50058,5,120,2,,,,,,,,,,,
2,5,513,2,348,50059,5,114,2,,,,,,,,,,,
2,5,513,2,348,50059,5,118,2,,,,,,,,,,,
2,5,508,2,984,50098,5,114,1,2,3,3,1,11,2,,,,,
2,5,508,2,984,50100,5,114,1,2,3,3,2,10,2,,,,,
2,5,518,2,1588,50131,5,114,1,2,2,4,1,9,2,,,,,
2,5,518,2,1588,50131,5,118,2,,,,,,,,,,,
2,5,518,2,1588,50137,5,114,2,,,,,,,,,,,
2,5,518,2,1304,50157,5,114,2,,,,,,,,,,,
2,5,520,2,1756,50161,5,114,2,,,,,,,,,,,
2,5,520,2,1756,50162,5,113,1,3,2,7,3,30,2,,,,,
2,5,520,2,1756,50163,5,114,1,1,2,3,1,5,2,,,,,
2,5,520,2,1756,50164,5,114,1,3,2,7,4,48,2,,,,,
2,5,520,2,1756,50165,5,114,1,1,2,10,2,12,2,,,,,
2,5,520,2,1756,50166,5,114,1,2,2,10,2,15,2,,,,,
2,5,520,2,1756,50167,5,114,1,2,3,15,2,20,2,,,,,
2,5,520,2,1756,50168,5,114,1,3,2,7,2,20,2,,,,,
2,5,520,2,1756,50169,5,114,1,3,2,7,2,22,2,,,,,
2,5,520,2,1756,50170,5,114,1,3,2,5,2,23,2,,,,,
2,5,502,1,562,59007,5,114,1,3,2,10,2,20,2,,,,,
2,5,502,1,562,59010,5,114,1,2,4,10,2,20,2,,,,,
2,5,503,2,246,59015,5,114,1,2,3,7,3,45,2,,,,,
2,5,503,2,246,59016,5,114,2,,,,,,,,,,,
2,5,503,2,246,59021,5,114,1,3,2,7,1,8,2,,,,,
2,5,503,2,246,59022,5,114,1,3,3,4,1,15,2,,,,,
2,5,503,2,246,59023,5,114,1,4,2,28,1,8,2,,,,,
2,5,503,2,246,59024,5,114,1,2,2,11,3,18,2,,,,,
2,5,504,2,406,59025,5,114,1,2,2,5,3,20,2,,,,,
2,5,504,2,406,59025,5,118,2,,,,,,,,,,,
2,5,504,2,406,59026,5,114,1,3,2,7,2,14,2,,,,,
2,5,504,2,406,59026,5,120,2,,,,,,,,,,,
2,5,504,2,406,59027,5,114,2,,,,,,,,,,,
2,5,504,2,406,59028,5,114,1,3,2,7,2,24,2,,,,,
2,5,504,2,406,59028,5,120,2,,,,,,,,,,,
2,5,504,2,406,59030,5,114,1,3,2,7,1,14,2,,,,,
2,5,504,2,406,59031,5,114,1,3,2,7,2,23,2,,,,,
2,5,504,2,406,59032,5,114,1,3,2,7,3,32,2,,,,,
2,5,504,2,406,59034,5,114,1,1,2,10,1,10,2,,,,,
2,5,504,2,406,59036,5,114,1,3,2,6,2,20,2,,,,,
2,5,504,2,1162,59039,5,114,1,1,2,7,1,7,2,,,,,
2,5,504,2,1162,59040,5,114,1,3,2,4,2,16,2,,,,,
2,5,504,2,1162,59040,5,118,1,1,2,6,1,6,2,,,,,
2,5,504,2,1162,59041,5,114,1,3,2,7,5,35,2,,,,,
2,5,504,2,1162,59047,5,114,1,3,2,7,2,23,2,,,,,
2,5,505,2,1292,59049,5,114,1,3,2,3,2,6,2,,,,,
2,5,505,2,1292,59050,5,114,1,3,2,3,3,5,2,,,,,
2,5,505,2,1292,59050,5,120,1,3,2,4,2,5,2,,,,,
2,5,505,2,1292,59052,5,114,1,3,2,3,2,5,2,,,,,
2,5,505,2,1292,59052,5,120,1,3,2,4,1,10,2,,,,,
2,5,505,2,1292,59054,5,114,2,,,,,,,,,,,
2,5,505,2,1292,59056,5,114,1,3,2,7,4,84,1,40,1,,,1000
2,5,505,2,1292,59057,5,114,2,,,,,,,,,,,
2,5,505,2,1292,59058,5,114,1,3,2,7,2,26,2,,,,,
2,5,505,2,1292,59059,5,114,1,3,2,7,2,27,2,,,,,
2,5,505,2,1716,59064,5,114,1,3,2,3,2,5,2,,,,,
2,5,505,2,1716,59066,5,114,1,3,2,7,2,15,2,,,,,
2,5,505,2,1716,59068,5,114,2,,,,,,,,,,,
2,5,506,2,696,59073,5,114,2,,,,,,,,,,,
2,5,506,2,696,59075,5,114,2,,,,,,,,,,,
2,5,506,2,696,59076,5,114,2,,,,,,,,,,,
2,5,506,2,696,59078,5,114,2,,,,,,,,,,,
2,5,506,2,696,59080,5,114,2,,,,,,,,,,,
2,5,506,2,696,59080,5,120,2,,,,,,,,,,,
2,5,506,2,696,59081,5,114,2,,,,,,,,,,,
2,5,506,2,696,59083,5,114,1,2,2,4,0,,,,,,,
2,5,506,2,696,59084,5,114,1,3,2,5,0,,,,,,,
2,5,506,2,696,59084,5,118,2,,,,,,,,,,,
2,5,506,2,696,59084,5,120,2,,,,,,,,,,,
2,5,507,2,230,59085,5,114,1,2,2,22,2,32,2,,,,,
2,5,507,2,230,59086,5,114,1,3,2,6,2,24,2,,,,,
2,5,507,2,230,59086,5,120,1,2,2,7,4,35,2,,,,,
2,5,507,2,230,59087,5,114,1,3,2,15,2,15,2,,,,,
2,5,507,2,230,59088,5,114,1,3,2,7,3,21,2,,,,,
2,5,507,2,230,59088,5,120,2,,,,,,,,,,,
2,5,507,2,230,59089,5,114,1,3,2,7,3,25,2,,,,,
2,5,507,2,230,59089,5,120,2,,,,,,,,,,,
2,5,507,2,230,59090,5,114,1,3,2,7,5,35,2,,,,,
2,5,507,2,230,59090,5,120,2,,,,,,,,,,,
2,5,507,2,230,59092,5,114,1,3,2,8,3,24,2,,,,,
2,5,507,2,230,59093,5,114,1,3,2,4,2,10,2,,,,,
2,5,507,2,230,59094,5,114,1,2,2,6,2,24,2,,,,,
2,5,507,2,230,59094,5,120,1,1,2,5,1,8,2,,,,,
2,5,507,2,230,59095,5,114,1,3,2,5,4,20,2,,,,,
2,5,507,2,230,59095,5,118,1,1,2,4,1,8,2,,,,,
2,5,507,2,230,59095,5,120,1,3,2,20,3,60,1,40,1,,,1200
2,5,509,2,1064,59104,5,114,1,3,2,7,84,84,1,50,1,,,1250
2,5,509,2,1064,59105,5,114,1,3,2,7,2,24,2,,,,,
2,5,508,2,2196,59110,5,114,1,3,2,4,3,10,2,,,,,
2,5,508,2,2196,59112,5,114,1,3,2,3,3,20,2,,,,,
2,5,508,2,2196,59113,5,114,1,3,2,7,2,74,2,,,,,
2,5,508,2,2196,59113,5,118,2,,,,,,,,,,,
2,5,508,2,2196,59115,5,114,1,3,2,7,2,54,2,,,,,
2,5,508,2,2196,59117,5,114,1,3,2,7,1,14,2,,,,,
2,5,508,2,2196,59118,5,114,1,3,2,7,2,24,2,,,,,
2,5,508,2,2196,59119,5,114,1,3,2,7,3,42,2,,,,,
2,5,508,2,2196,59120,5,114,1,3,4,7,3,48,2,,,,,
2,5,511,2,796,59121,5,114,1,2,2,3,2,12,2,,,,,
2,5,511,2,796,59121,5,120,2,,,,,,,,,,,
2,5,511,2,796,59130,5,114,1,3,2,7,3,38,2,,,,,
2,5,511,2,796,59132,5,114,1,3,2,7,4,43,2,,,,,
2,5,514,2,1964,59135,5,114,1,3,2,7,1,10,2,,,,,
2,5,514,2,1964,59135,5,120,2,,,,,,,,,,,
2,5,514,2,1964,59138,5,114,2,,,,,,,,,,,
2,5,516,2,134,59149,5,114,1,3,2,7,21,21,2,,,,,
2,5,516,2,134,59150,5,114,2,,,,,,,,,,,
2,5,516,2,134,59151,5,114,2,,,,,,,,,,,
2,5,516,2,134,59153,5,114,2,,,,,,,,,,,
2,5,516,2,134,59156,5,114,1,3,2,7,3,38,2,,,,,
2,5,517,2,1424,59157,5,114,2,,,,,,,,,,,
2,5,517,2,1424,59159,5,114,2,,,,,,,,,,,
2,5,517,2,1424,59159,5,117,2,,,,,,,,,,,
2,5,517,2,1424,59165,5,118,1,2,2,3,0,,,,,,,
2,5,518,2,1788,59171,5,114,2,,,,,,,,,,,
2,5,518,2,1788,59173,5,114,2,,,,,,,,,,,
2,5,518,2,1788,59175,5,114,2,,,,,,,,,,,
2,5,518,2,2802,59182,5,114,2,,,,,,,,,,,
2,5,518,2,2802,59184,5,114,2,,,,,,,,,,,
2,5,518,2,2802,59184,5,117,2,,,,,,,,,,,
2,5,518,2,2802,59185,5,114,2,,,,,,,,,,,
2,5,518,2,2802,59186,5,114,2,,,,,,,,,,,
2,5,518,2,2802,59187,5,114,2,,,,,,,,,,,
2,5,518,2,2802,59188,5,114,2,,,,,,,,,,,
2,5,518,2,2802,59191,5,113,1,3,4,28,300,25200,1,25000,1,2,,550000
5,6,602,2,1356,60002,5,114,1,4,3,15,2,15,2,,,,,
5,6,605,2,162,60051,5,118,2,,,,,,,,,,,
1,7,708,2,754,70011,5,114,2,,,,,,,,,,,
1,7,708,2,754,70012,5,114,1,1,1,15,2,30,2,,,,,
1,7,708,2,754,70013,5,114,1,1,1,6,0,,,,,,,
1,7,708,2,754,70015,5,113,1,3,2,3,2,15,2,,,,,
1,7,708,2,754,70015,5,118,1,3,1,2,1,15,2,,,,,
1,7,708,2,754,70016,5,114,1,2,2,2,3,6,2,,,,,
1,7,708,2,754,70017,5,114,1,3,3,3,3,12,1,5,1,,,200
1,7,708,2,754,70018,5,114,2,,,,,,,,,,,
1,7,708,2,754,70020,5,114,2,,,,,,,,,,,
1,7,711,2,2532,70063,5,114,1,4,1,10,3,30,2,,,,,
1,7,711,2,2532,70064,5,114,1,5,2,5,5,15,2,,,,,
1,7,711,2,2532,70066,5,114,1,3,3,1,3,10,2,,,,,
1,7,711,2,2532,70067,5,114,1,2,2,5,2,15,2,,,,,
1,7,711,2,2532,70068,5,114,2,,,,,,,,,,,
1,7,709,2,1226,70071,5,114,2,,,,,,,,,,,
1,7,709,2,1226,70072,5,114,1,1,1,12,1,24,2,,,,,
1,7,709,2,1226,70073,5,114,2,,,,,,,,,,,
1,7,709,2,1226,70074,5,114,1,2,1,3,2,15,2,,,,,
1,7,709,2,1226,70075,5,114,1,3,1,10,3,12,2,,,,,
1,7,709,2,1226,70078,5,114,1,2,3,1,1,9,2,,,,,
1,7,709,2,1226,70079,5,114,1,3,2,5,5,15,2,,,,,
1,7,709,2,1226,70079,5,118,1,3,4,1,2,8,2,,,,,
1,7,709,2,1226,70080,5,114,2,,,,,,,,,,,
1,7,718,2,1640,70121,5,114,2,,,,,,,,,,,
1,7,718,2,1640,70122,5,114,2,,,,,,,,,,,
1,7,718,2,1640,70123,5,114,2,,,,,,,,,,,
1,7,718,2,1640,70124,5,114,2,,,,,,,,,,,
1,7,718,2,1640,70125,5,114,2,,,,,,,,,,,
1,7,718,2,1640,70126,5,114,2,,,,,,,,,,,
1,7,718,2,1640,70127,5,114,2,,,,,,,,,,,
1,7,715,2,780,70131,5,114,2,,,,,,,,,,,
1,7,715,2,780,70133,5,114,2,,,,,,,,,,,
1,7,715,2,780,70134,5,114,2,,,,,,,,,,,
1,7,715,2,780,70139,5,114,2,,,,,,,,,,,
1,7,715,2,780,70140,5,114,2,,,,,,,,,,,
1,25,2503,2,0,70152,5,114,1,2,2,4,2,15,2,,,,,
1,25,2503,2,0,70152,5,118,2,,,,,,,,,,,
1,7,713,2,304,70153,5,114,1,3,1,10,5,30,2,,,,,
1,7,713,2,304,70154,5,114,2,,,,,,,,,,,
1,7,713,2,304,70154,5,118,1,1,1,20,1,20,2,,,,,
1,7,713,2,304,70155,5,114,1,1,4,12,1,12,2,,,,,
1,7,713,2,304,70156,5,114,1,1,4,25,3,25,2,,,,,
1,7,713,2,304,70160,5,114,2,,,,,,,,,,,
1,7,701,2,104,79002,5,114,2,,,,,,,,,,,
1,7,701,2,104,79005,5,114,2,,,,,,,,,,,
1,7,701,2,104,79007,5,114,2,,,,,,,,,,,
