"zone","state","lga","sector","ea","hhid","cropcode","indiv","phl_q01b","phl_q01c","phl_q01d__1","phl_q01d__2","phl_q01d__3","phl_q01d__4"
2,2,210,2,1300,20069,1070,4,3,4,1,0,0,0
2,2,210,2,1300,20069,1070,1,3,4,1,0,0,0
2,2,210,2,1300,20069,1070,3,1,5,0,0,1,0
2,2,210,2,1300,20069,1070,2,3,5,0,0,1,0
2,2,210,2,1300,20069,1080,5,3,3,1,0,1,0
2,2,210,2,1300,20069,1080,3,5,4,0,0,1,0
2,2,210,2,1300,20069,1080,1,5,5,1,0,1,0
2,2,210,2,1300,20070,1060,11,5,5,1,0,0,0
2,2,210,2,1300,20070,1060,3,5,5,1,0,0,0
2,2,210,2,1300,20070,1080,3,3,4,1,0,0,0
2,2,210,2,1300,20070,1080,11,3,4,1,0,0,0
2,2,207,2,1302,20091,1080,1,4,4,1,0,0,0
2,2,207,2,1302,20092,1070,3,1,5,1,0,1,0
2,2,207,2,1302,20092,1070,1,1,5,1,0,1,0
2,2,207,2,1302,20092,1070,2,1,5,1,0,1,0
2,2,207,2,1302,20092,1080,2,1,5,1,0,1,0
2,2,207,2,1302,20092,1080,3,1,5,1,0,1,0
2,2,207,2,1302,20092,1080,1,1,5,1,0,1,0
2,2,207,2,1302,20092,1110,1,2,8,1,0,1,0
2,2,207,2,1302,20092,1110,2,2,8,1,0,1,0
2,2,207,2,1302,20092,1110,3,2,5,1,0,1,0
2,2,207,2,1302,20093,1060,6,7,5,1,0,0,0
2,2,207,2,1302,20093,1060,7,7,4,1,0,0,0
2,2,207,2,1302,20093,1080,7,5,5,1,0,0,0
2,2,207,2,1302,20093,1080,5,5,4,1,0,0,0
2,2,207,2,1302,20093,1080,6,14,5,1,0,0,0
2,2,207,2,1302,20096,1070,1,7,4,1,0,0,0
2,2,207,2,1302,20096,1080,1,4,6,1,0,0,0
2,2,207,2,1302,20097,1080,1,3,5,1,0,0,0
2,2,207,2,1302,20097,1080,4,5,3,0,0,1,1
2,2,207,2,1302,20097,1080,2,2,2,0,0,1,1
2,2,207,2,1302,20098,1080,4,1,6,1,0,0,0
2,2,207,2,1302,20098,1080,1,1,6,1,0,0,0
2,2,207,2,1302,20098,1080,3,1,6,1,0,0,0
2,2,207,2,1302,20098,1080,6,1,6,1,0,0,0
2,2,207,2,1302,20098,1080,2,1,6,1,0,0,0
2,2,207,2,1302,20099,1060,1,3,4,0,0,1,0
2,2,207,2,1302,20099,1080,1,1,2,1,0,0,0
2,2,207,2,1302,20100,1060,1,15,5,1,0,0,0
2,2,207,2,1302,20100,1070,7,6,5,0,0,1,0
2,2,207,2,1302,20100,1070,1,10,4,1,0,0,0
2,2,207,2,1302,20100,1080,1,7,3,1,0,0,0
2,2,207,2,1302,20100,1080,7,2,2,1,0,0,0
2,2,205,2,712,20101,1060,2,2,4,1,1,1,0
2,2,205,2,712,20101,1060,5,3,4,1,1,1,0
2,2,205,2,712,20101,1070,2,2,3,1,1,0,0
2,2,205,2,712,20101,1070,5,2,3,1,1,1,0
2,2,205,2,712,20102,1070,8,3,3,1,0,1,0
2,2,205,2,712,20102,1070,11,1,3,0,0,1,0
2,2,205,2,712,20102,1070,7,2,3,0,0,0,1
2,2,205,2,712,20102,1080,1,6,3,1,0,0,0
2,2,205,2,712,20102,1080,7,2,3,1,0,0,0
2,2,205,2,712,20102,1080,2,6,3,1,0,0,0
2,2,205,2,712,20102,1080,6,6,3,1,0,0,0
2,2,205,2,712,20104,1060,1,5,4,1,1,1,0
2,2,205,2,712,20104,1060,2,5,4,1,1,1,0
2,2,205,2,712,20104,1070,1,5,4,1,1,0,0
2,2,205,2,712,20104,1070,2,5,4,1,0,1,0
2,2,205,2,712,20106,1080,4,3,4,1,0,0,0
2,2,205,2,712,20106,1080,1,3,4,1,0,0,0
2,2,205,2,712,20106,1080,8,3,4,1,0,0,0
2,2,205,2,712,20107,1070,2,12,6,1,0,0,0
2,2,205,2,712,20107,1070,1,12,6,1,0,0,0
2,2,205,2,712,20107,1080,2,10,6,1,0,0,0
2,2,205,2,712,20107,1080,1,10,5,1,0,0,0
2,2,205,2,712,20108,1060,1,6,4,1,0,0,0
2,2,205,2,712,20108,1080,1,4,3,1,0,0,0
2,2,205,2,712,20108,1110,1,3,2,1,0,0,0
2,2,205,2,712,20110,1070,2,5,2,1,0,0,0
2,2,205,2,712,20110,1070,8,4,3,1,0,0,0
2,2,205,2,712,20110,1080,8,7,3,1,0,0,0
2,2,205,2,712,20110,1080,2,7,4,1,0,0,0
2,2,205,2,712,20110,1080,1,9,2,1,0,0,0
2,2,204,2,144,29001,1080,1,5,2,1,0,0,0
2,2,204,2,144,29001,1110,1,2,2,1,0,0,0
2,2,204,2,144,29002,1080,5,20,2,1,0,0,1
2,2,204,2,144,29002,1080,1,50,2,1,0,0,1
2,2,204,2,144,29002,1080,3,20,2,1,0,0,1
2,2,204,2,144,29003,1070,5,2,1,1,0,0,0
2,2,204,2,144,29003,1070,8,1,1,1,0,0,0
2,2,204,2,144,29003,1070,7,5,6,1,0,0,1
2,2,204,2,144,29003,1070,2,4,3,1,0,0,1
2,2,204,2,144,29003,1070,6,4,3,1,0,0,0
2,2,204,2,144,29003,1070,4,3,2,1,0,0,0
2,2,204,2,144,29003,1070,3,3,2,1,0,0,0
2,2,204,2,144,29003,1070,9,2,2,1,0,0,0
2,2,204,2,144,29003,1070,1,3,3,1,0,0,1
2,2,204,2,144,29003,1080,4,7,4,1,1,1,0
2,2,204,2,144,29003,1080,1,5,7,1,0,0,1
2,2,204,2,144,29003,1080,3,4,4,1,1,0,0
2,2,204,2,144,29003,1080,9,3,1,0,1,0,0
2,2,204,2,144,29003,1080,6,5,4,1,1,1,0
2,2,204,2,144,29003,1080,8,4,3,1,1,1,0
2,2,204,2,144,29003,1080,5,22,2,0,0,1,0
2,2,204,2,144,29003,1080,2,5,5,1,0,0,1
2,2,204,2,144,29003,1080,7,12,8,1,1,1,1
2,2,204,2,144,29004,1060,6,8,5,1,0,0,0
2,2,204,2,144,29004,1060,1,8,4,1,0,0,0
2,2,204,2,144,29004,1080,6,3,4,1,0,0,0
2,2,204,2,144,29004,1080,1,4,3,1,0,0,0
2,2,204,2,144,29005,1080,1,2,2,1,0,0,0
2,2,204,2,144,29006,1010,3,2,4,1,0,0,0
2,2,204,2,144,29006,1010,1,2,4,1,0,0,0
2,2,204,2,144,29006,1080,1,3,5,1,1,0,0
2,2,204,2,144,29006,1080,4,3,5,1,1,0,0
2,2,204,2,144,29007,1010,1,6,2,1,1,0,0
2,2,204,2,144,29007,1080,1,3,2,1,0,0,0
2,2,204,2,144,29008,1070,1,3,5,1,0,0,0
2,2,204,2,144,29008,1110,1,15,6,1,0,0,0
2,2,204,2,144,29009,1070,1,3,5,1,0,0,1
2,2,204,2,144,29010,1080,1,2,3,1,0,0,0
2,2,204,2,144,29010,1080,2,2,3,1,0,0,0
2,2,205,2,206,29013,1070,1,2,3,1,0,0,0
2,2,205,2,206,29013,1070,2,2,1,1,0,0,0
2,2,205,2,206,29013,1080,1,2,3,1,0,0,0
2,2,205,2,206,29013,1080,2,2,3,1,0,0,0
2,2,205,2,206,29014,1060,1,4,3,1,0,0,0
2,2,205,2,206,29014,1060,2,4,3,1,0,0,0
2,2,205,2,206,29014,1070,2,2,3,1,0,0,0
2,2,205,2,206,29014,1070,1,2,3,1,0,0,0
2,2,205,2,206,29018,1060,3,2,2,1,1,0,0
2,2,205,2,206,29018,1060,1,4,2,1,1,0,0
2,2,205,2,206,29018,1080,1,2,2,1,0,0,0
2,2,205,2,206,29019,1060,6,2,2,1,1,0,0
2,2,205,2,206,29019,1060,1,3,2,1,0,0,0
2,2,205,2,206,29019,1060,5,2,2,1,0,0,0
2,2,205,2,206,29019,1060,4,2,2,1,0,0,0
2,2,205,2,206,29019,1070,1,2,1,1,0,0,0
2,2,205,2,206,29019,1070,4,2,1,1,0,0,0
2,2,205,2,206,29019,1070,5,2,1,1,0,0,0
2,2,205,2,206,29019,1070,6,2,1,1,0,0,0
2,2,205,2,206,29019,1080,4,2,1,1,0,0,0
2,2,205,2,206,29019,1080,6,2,1,1,0,0,0
2,2,205,2,206,29019,1080,1,3,1,1,0,0,0
2,2,205,2,206,29019,1080,5,2,1,1,0,0,0
2,2,205,2,206,29020,1060,3,18,1,0,1,0,0
2,2,205,2,206,29020,1060,2,18,1,0,1,0,0
2,2,205,2,206,29020,1060,1,20,2,1,0,0,0
2,2,205,2,206,29020,1080,3,20,1,0,1,0,0
2,2,205,2,206,29020,1080,1,26,2,1,0,0,0
2,2,205,2,206,29020,1080,2,20,1,0,1,0,0
2,2,205,2,206,29021,1060,1,2,3,1,0,0,0
2,2,205,2,206,29021,1060,4,2,3,1,0,0,0
2,2,205,2,206,29021,1080,1,2,3,1,0,0,0
2,2,205,2,206,29021,1080,4,2,3,1,0,0,0
2,2,205,2,206,29021,1110,1,2,4,1,0,0,0
2,2,205,2,206,29021,1110,4,2,3,1,0,0,0
2,2,205,2,206,29022,1060,1,1,4,1,0,0,0
