"zone","state","lga","sector","ea","hhid","fishid","sa9aq1","sa9aq2","sa9aq3a","sa9aq3b","sa9aq4","sa9aq5","sa9aq6a","sa9aq6b","sa9aq7","sa9aq8a","sa9aq8b"
6,29,2920,2,1628,290177,2,2,,,,,,,,,,
6,29,2920,2,1628,290178,1,1,20,6,81,2,,,,,6,81
6,29,2920,2,1628,290178,2,2,,,,,,,,,,
4,16,1624,,0,320010,1,2,,,,,,,,,,
4,16,1624,,0,320010,2,1,,4000,81,1,,3000,81,,100,81
5,32,3206,2,276,320076,1,1,12,3,140,1,3,2,140,15000,1,140
5,32,3206,2,276,320076,2,2,,,,,,,,,,
5,32,3206,2,276,320081,1,1,40,10,3,1,40,9,3,6000,1,3
5,32,3206,2,276,320081,2,2,,,,,,,,,,
5,32,3206,2,276,320082,1,1,48,36,141,1,48,26,141,130000,10,141
5,32,3206,2,276,320082,2,2,,,,,,,,,,
5,32,3205,2,846,329013,1,1,48,4,141,1,48,3,141,4000,1,141
5,32,3205,2,846,329013,2,2,,,,,,,,,,
5,32,3205,2,846,329016,1,1,48,2,140,1,36,1,140,2500,1,140
5,32,3205,2,846,329016,2,2,,,,,,,,,,
5,32,3205,2,846,329018,1,1,48,2,140,1,48,2,140,12000,3,81
5,32,3205,2,846,329018,2,2,,,,,,,,,,
5,32,3205,2,846,329020,1,1,48,2,141,1,12,1,141,8000,1,141
5,32,3205,2,846,329020,2,2,,,,,,,,,,
5,32,3206,1,622,329029,1,2,,,,,,,,,,
5,32,3206,1,622,329029,2,1,,500,81,1,,300,81,,30,82
5,32,3206,1,622,329031,1,1,45,50,141,1,45,30,141,180000,20,141
5,32,3206,1,622,329031,2,2,,,,,,,,,,
5,32,3206,1,622,329036,1,1,46,184,140,1,44,3,140,4000,1,140
5,32,3206,1,622,329036,2,2,,,,,,,,,,
5,32,3206,1,1646,329040,1,1,48,30,141,1,48,20,141,100000,10,141
5,32,3206,1,1646,329040,2,2,,,,,,,,,,
5,32,3206,1,1646,329041,1,1,45,40,141,1,40,35,141,210000,5,141
5,32,3206,1,1646,329041,2,2,,,,,,,,,,
5,32,3223,2,668,329090,1,2,,,,,,,,,,
5,32,3223,2,668,329090,2,1,,7000,81,1,,6500,81,,500,81
3,33,3323,2,92,330035,1,1,16,3,140,2,,,,,2,140
3,33,3323,2,92,330035,2,2,,,,,,,,,,
2,34,3405,2,456,340037,1,1,12,6,140,1,6,1,140,8000,3,140
2,34,3405,2,456,340037,2,2,,,,,,,,,,
2,34,3406,2,728,349038,1,2,,,,,,,,,,
2,34,3406,2,728,349038,2,1,,150,81,1,,100,81,,0,
2,34,3407,1,64,349055,1,1,24,10,141,1,24,2,141,20000,1,150
2,34,3407,1,64,349055,2,2,,,,,,,,,,
2,34,3407,1,64,349059,1,1,2,2,140,1,12,2,140,22000,2,140
2,34,3407,1,64,349059,2,1,,7,140,1,,6,140,,1,140
2,35,3513,2,576,350069,1,2,,,,,,,,,,
2,35,3513,2,576,350069,2,1,,2,4,1,,2,4,,2,4
2,35,3507,2,596,359031,1,2,,,,,,,,,,80
2,35,3507,2,596,359031,2,2,,,,,,,,,,
2,35,3512,2,478,359049,1,1,2,6,141,1,6,5,141,7000,1,140
2,35,3512,2,478,359049,2,2,,,,,,,,,,
1,37,3705,2,32,379079,1,1,22,35,81,1,3,20,81,4500,15,81
1,37,3705,2,32,379079,2,2,,,,,,,,,,
1,37,3705,2,32,379080,1,1,2,1,1,2,,,,,1,1
1,37,3705,2,32,379080,2,2,,,,,,,,,,
1,37,3705,2,32,379084,1,1,30,10,82,1,20,6,82,4500,4,81
1,37,3705,2,32,379084,2,2,,,,,,,,,,
1,37,3706,1,1376,379138,1,2,,,,,,,,,,
1,37,3706,1,1376,379138,2,1,,50,82,1,,92,82,,13,82
