"zone","state","lga","sector","ea","cluster_id","tenure_cd","c4q1","c4q2","c4q3"
4,11,1109,2,1556,"1109-1556",2,1,1,1
4,11,1109,2,1556,"1109-1556",3,0,,
4,11,1109,2,1556,"1109-1556",4,0,,
4,11,1109,2,1556,"1109-1556",5,1,3,1
4,11,1109,2,1556,"1109-1556",6,1,1,2
4,11,1109,2,1556,"1109-1556",7,1,3,1
4,1,111,1,1146,"111-1146",1,0,,
4,1,111,1,1146,"111-1146",2,0,,
4,1,111,1,1146,"111-1146",3,0,,
4,1,111,1,1146,"111-1146",4,0,,
4,1,111,1,1146,"111-1146",5,1,3,1
4,1,111,1,1146,"111-1146",6,0,,
4,1,111,1,1146,"111-1146",7,1,1,1
4,1,111,2,118,"111-118",1,0,,
4,1,111,2,118,"111-118",2,0,,
4,1,111,2,118,"111-118",3,0,,
4,1,111,2,118,"111-118",4,0,,
4,1,111,2,118,"111-118",5,1,1,1
4,1,111,2,118,"111-118",6,1,1,2
4,1,111,2,118,"111-118",7,1,1,2
4,11,1112,2,78,"1112-78",1,1,3,2
4,11,1112,2,78,"1112-78",2,1,1,2
4,11,1112,2,78,"1112-78",3,1,3,2
4,11,1112,2,78,"1112-78",4,0,,
4,11,1112,2,78,"1112-78",5,1,1,2
4,11,1112,2,78,"1112-78",6,1,1,2
4,11,1112,2,78,"1112-78",7,1,3,2
4,11,1113,2,954,"1113-954",1,1,3,1
4,11,1113,2,954,"1113-954",2,1,1,1
4,11,1113,2,954,"1113-954",3,0,,
4,11,1113,2,954,"1113-954",4,0,,
4,11,1113,2,954,"1113-954",5,1,1,1
4,11,1113,2,954,"1113-954",6,1,1,2
4,11,1113,2,954,"1113-954",7,1,1,2
4,1,112,2,266,"112-266",1,1,3,1
4,1,112,2,266,"112-266",2,0,,
4,1,112,2,266,"112-266",3,0,,
4,1,112,2,266,"112-266",4,0,,
4,1,112,2,266,"112-266",5,0,,
4,1,112,2,266,"112-266",6,1,3,1
4,1,112,2,266,"112-266",7,1,3,2
4,1,112,2,556,"112-556",1,0,,
4,1,112,2,556,"112-556",2,1,1,1
4,1,112,2,556,"112-556",3,0,,
4,1,112,2,556,"112-556",4,0,,
4,1,112,2,556,"112-556",5,1,1,1
4,1,112,2,556,"112-556",6,0,,
4,1,112,2,556,"112-556",7,1,1,2
4,1,113,2,284,"113-284",1,1,3,2
4,1,113,2,284,"113-284",2,1,1,1
4,1,113,2,284,"113-284",3,0,,
4,1,113,2,284,"113-284",4,0,,
4,1,113,2,284,"113-284",5,1,1,1
4,1,113,2,284,"113-284",6,1,1,2
4,1,113,2,284,"113-284",7,1,1,2
4,1,113,2,44,"113-44",1,0,,
4,1,113,2,44,"113-44",2,1,1,1
4,1,113,2,44,"113-44",3,0,,
4,1,113,2,44,"113-44",4,0,,
4,1,113,2,44,"113-44",5,1,3,1
4,1,113,2,44,"113-44",6,1,1,2
4,1,113,2,44,"113-44",7,1,1,2
4,1,113,2,6,"113-6",1,0,,
4,1,113,2,6,"113-6",2,1,1,1
4,1,113,2,6,"113-6",3,0,,
4,1,113,2,6,"113-6",4,0,,
4,1,113,2,6,"113-6",5,1,3,1
4,1,113,2,6,"113-6",6,1,3,2
4,1,113,2,6,"113-6",7,1,2,2
4,1,115,1,176,"115-176",1,1,3,1
4,1,115,1,176,"115-176",2,0,,
4,1,115,1,176,"115-176",3,0,,
4,1,115,1,176,"115-176",4,0,,
4,1,115,1,176,"115-176",5,1,2,1
4,1,115,1,176,"115-176",6,0,,
4,1,115,1,176,"115-176",7,1,1,1
4,1,115,1,550,"115-550",1,1,2,1
4,1,115,1,550,"115-550",2,0,,
4,1,115,1,550,"115-550",3,0,,
4,1,115,1,550,"115-550",4,0,,
4,1,115,1,550,"115-550",5,1,2,1
4,1,115,1,550,"115-550",6,0,,
4,1,115,1,550,"115-550",7,1,1,1
4,1,115,1,670,"115-670",1,1,1,1
4,1,115,1,670,"115-670",2,0,,
4,1,115,1,670,"115-670",3,0,,
4,1,115,1,670,"115-670",4,0,,
4,1,115,1,670,"115-670",5,0,,
4,1,115,1,670,"115-670",6,1,1,1
4,1,115,1,670,"115-670",7,1,1,1
4,1,117,2,560,"117-560",1,0,,
4,1,117,2,560,"117-560",2,0,,
4,1,117,2,560,"117-560",3,1,1,1
4,1,117,2,560,"117-560",4,0,,
4,1,117,2,560,"117-560",5,1,3,1
4,1,117,2,560,"117-560",6,1,2,2
4,1,117,2,560,"117-560",7,1,1,1
4,1,117,2,800,"117-800",1,0,,
4,1,117,2,800,"117-800",2,0,,
4,1,117,2,800,"117-800",3,0,,
4,1,117,2,800,"117-800",4,0,,
4,1,117,2,800,"117-800",5,1,3,1
4,1,117,2,800,"117-800",6,1,1,2
4,1,117,2,800,"117-800",7,1,1,1
5,12,1201,2,320,"1201-320",1,1,3,1
5,12,1201,2,320,"1201-320",2,1,1,1
5,12,1201,2,320,"1201-320",3,1,2,1
5,12,1201,2,320,"1201-320",4,1,3,1
5,12,1201,2,320,"1201-320",5,1,3,1
5,12,1201,2,320,"1201-320",6,1,1,1
5,12,1201,2,320,"1201-320",7,1,3,1
5,12,1203,1,334,"1203-334",1,1,1,1
5,12,1203,1,334,"1203-334",2,1,1,1
5,12,1203,1,334,"1203-334",3,1,3,1
5,12,1203,1,334,"1203-334",4,1,2,1
5,12,1203,1,334,"1203-334",5,1,1,1
