"zone","state","lga","sector","ea","hhid","livestock_cd","animal_cd","s11k2q1","s11k2q4","s11k2q2","s11k2q3","s11k2q5","s11k2q6_1","s11k2q6_2","s11k2q6_3","s11k2q6_4","s11k2q7_1","s11k2q7_2","s11k2q7_3","s11k2q7_4","s11k2q7_99","s11k2q8","s11k2q10","s11k2q11","s11k2q12","s11k2q13","s11k2q14"
4,4,419,1,1006,49095,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49111,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49112,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49112,3,111,2,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49113,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,407,1,680,49126,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,407,1,680,49129,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,407,1,680,49130,1,105,2,,,,,,,,,,,,,,,,,,,
4,4,407,1,680,49130,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,407,1,680,49131,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,407,1,680,49132,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,407,1,680,49134,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,407,1,680,49134,3,111,2,,,,,,,,,,,,,,,,,,,
4,4,407,1,680,49137,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,506,2,830,50001,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,506,2,830,50002,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,506,2,830,50004,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,506,2,830,50004,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,506,2,830,50005,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,506,2,830,50006,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,506,2,830,50008,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,506,2,830,50009,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,506,2,830,50009,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50031,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50032,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50033,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50034,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50035,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50036,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,0,50037,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50038,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50039,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50040,1,105,2,,,,,,,,,,,,,,,,,,,
2,5,502,2,3878,50040,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50051,1,105,1,2,3,24,4,2,6,7,,1,0,1,0,0,4,,,4,,
2,5,513,2,348,50051,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50051,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50052,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50052,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50053,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50054,1,105,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50054,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50054,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50055,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50057,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50058,1,105,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50058,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50059,1,105,1,4,4,7,4,1,2,11,12,1,0,1,0,0,7,,,7,,
2,5,513,2,348,50059,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,513,2,348,50059,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50091,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50091,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50092,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50093,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50094,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50095,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50097,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50097,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50098,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50099,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50099,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50100,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,508,2,984,50100,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,518,2,1588,50131,3,110,2,,,,,,,,,,,,,,,,,,,
2,5,518,2,1588,50131,3,111,2,,,,,,,,,,,,,,,,,,,
2,5,518,2,1588,50132,3,110,2,,,,,,,,,,,,,,,,,,,
