"zone","state","lga","sector","ea","cluster_id","resource_cd","c4q1","c4q1_os","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4_os","c4q5a","c4q5b","c4q5c","c4q5_os"
4,1,104,2,412,"104-412",407,1,,1,1,4,,,,1,,,
4,1,104,2,412,"104-412",408,2,,,,,,,,,,,
4,1,105,2,638,"105-638",401,2,,,,,,,,,,,
4,1,105,2,638,"105-638",402,1,,1,1,1,,,,1,,,
4,1,105,2,638,"105-638",403,2,,,,,,,,,,,
4,1,105,2,638,"105-638",405,2,,,,,,,,,,,
4,1,105,2,638,"105-638",406,2,,,,,,,,,,,
4,1,105,2,638,"105-638",407,1,,1,1,4,,,,1,,,
4,1,105,2,638,"105-638",408,2,,,,,,,,,,,
4,1,107,2,10,"107-10",401,1,,1,1,4,,,,8,,,
4,1,107,2,10,"107-10",402,2,,,,,,,,,,,
4,1,107,2,10,"107-10",403,2,,,,,,,,,,,
4,1,107,2,10,"107-10",405,2,,,,,,,,,,,
4,1,107,2,10,"107-10",406,2,,,,,,,,,,,
4,1,107,2,10,"107-10",407,1,,2,1,4,,,,8,,,
4,1,107,2,10,"107-10",408,2,,,,,,,,,,,
4,1,107,2,1044,"107-1044",401,1,,1,1,1,3,2,,1,3,5,
4,1,107,2,1044,"107-1044",402,2,,,,,,,,,,,
4,1,107,2,1044,"107-1044",403,2,,,,,,,,,,,
4,1,107,2,1044,"107-1044",405,2,,,,,,,,,,,
4,1,107,2,1044,"107-1044",406,2,,,,,,,,,,,
4,1,107,2,1044,"107-1044",407,2,,,,,,,,,,,
4,1,107,2,1044,"107-1044",408,2,,,,,,,,,,,
4,1,107,2,1322,"107-1322",401,1,,1,1,3,,,,1,,,
4,1,107,2,1322,"107-1322",402,2,,,,,,,,,,,
4,1,107,2,1322,"107-1322",403,2,,,,,,,,,,,
4,1,107,2,1322,"107-1322",405,2,,,,,,,,,,,
4,1,107,2,1322,"107-1322",406,2,,,,,,,,,,,
4,1,107,2,1322,"107-1322",407,2,,,,,,,,,,,
4,1,107,2,1322,"107-1322",408,2,,,,,,,,,,,
4,1,108,2,904,"108-904",401,2,,,,,,,,,,,
4,1,108,2,904,"108-904",402,1,,1,1,4,,,,1,,,
4,1,108,2,904,"108-904",403,2,,,,,,,,,,,
4,1,108,2,904,"108-904",405,2,,,,,,,,,,,
4,1,108,2,904,"108-904",406,2,,,,,,,,,,,
4,1,108,2,904,"108-904",407,1,,1,1,4,,,,1,,,
4,1,108,2,904,"108-904",408,2,,,,,,,,,,,
4,1,109,2,1214,"109-1214",401,1,,1,1,4,,,,8,,,
4,1,109,2,1214,"109-1214",402,2,,,,,,,,,,,
4,1,109,2,1214,"109-1214",403,2,,,,,,,,,,,
4,1,109,2,1214,"109-1214",405,2,,,,,,,,,,,
4,1,109,2,1214,"109-1214",406,2,,,,,,,,,,,
4,1,109,2,1214,"109-1214",407,2,,,,,,,,,,,
4,1,109,2,1214,"109-1214",408,2,,,,,,,,,,,
4,1,109,2,1792,"109-1792",401,1,,1,1,1,3,,,1,5,,
4,1,109,2,1792,"109-1792",402,2,,,,,,,,,,,
4,1,109,2,1792,"109-1792",403,2,,,,,,,,,,,
4,1,109,2,1792,"109-1792",405,2,,,,,,,,,,,
4,1,109,2,1792,"109-1792",406,2,,,,,,,,,,,
4,1,109,2,1792,"109-1792",407,2,,,,,,,,,,,
4,1,109,2,1792,"109-1792",408,2,,,,,,,,,,,
4,1,109,2,1996,"109-1996",401,1,,1,1,1,3,,,1,2,,
4,1,109,2,1996,"109-1996",402,1,,1,1,4,,,,8,,,
4,1,109,2,1996,"109-1996",403,2,,,,,,,,,,,
4,1,109,2,1996,"109-1996",405,2,,,,,,,,,,,
4,1,109,2,1996,"109-1996",406,2,,,,,,,,,,,
4,1,109,2,1996,"109-1996",407,2,,,,,,,,,,,
4,1,109,2,1996,"109-1996",408,2,,,,,,,,,,,
4,1,110,2,338,"110-338",401,2,,,,,,,,,,,
4,1,110,2,338,"110-338",402,1,,1,1,1,,,,1,,,
4,1,110,2,338,"110-338",403,2,,,,,,,,,,,
4,1,110,2,338,"110-338",405,2,,,,,,,,,,,
4,1,110,2,338,"110-338",406,2,,,,,,,,,,,
4,1,110,2,338,"110-338",407,1,,1,1,1,,,,1,,,
4,1,110,2,338,"110-338",408,2,,,,,,,,,,,
4,11,1101,2,154,"1101-154",401,1,,1,1,1,,,,1,,,
4,11,1101,2,154,"1101-154",402,1,,1,1,1,,,,1,,,
4,11,1101,2,154,"1101-154",403,2,,,,,,,,,,,
4,11,1101,2,154,"1101-154",405,2,,,,,,,,,,,
4,11,1101,2,154,"1101-154",406,2,,,,,,,,,,,
4,11,1101,2,154,"1101-154",407,1,,2,1,4,,,,8,,,
4,11,1101,2,154,"1101-154",408,2,,,,,,,,,,,
4,11,1102,2,936,"1102-936",401,1,,1,1,1,,,,1,,,
