"zone","state","lga","sector","ea","hhid","sec11_resp","s11q1b","s11q1b_os","s11q1","s11q2","s11q3a","s11q3b","s11q4a","s11q4b","s11q5a","s11q5a_os","s11q5b","s11q5c_1","s11q5c_2","s11q5c_3","s11q5c_4","s11q5c_5","s11q5c_6","s11q5c_7","s11q5c_8","s11q5c_9","s11q5","s11q6","s11q6_os","s11q7","s11q7b","s11q8","s11q8b","s11q9","s11q40","s11q40_os","s11q41","s11q41_os","s11q42","s11q43_1","s11q43_2","s11q43_os","s11q44_1","s11q44_2","s11q45","s11q46_1","s11q46_2","s11q46_3","s11q46_os","s11q47","s11q48__1","s11q48__2","s11q48__3","s11q48__4","s11q48__5","s11q48__6","s11q48__7","s11q48_os","s11q49","s11q50","s11q51","s11q52","s11q53","s11q54","s11q33b","s11q33b_os","s11q55","s11q55_os","s11q56","s11q57a","s11q57b","s11q58","s11q59","s11q60","s11q60_os","s11q61","s11q62","s11q63a","s11q63b","s11q64","s11q65","s11q66","s11q67__1","s11q67__2","s11q67__3","s11q67__4","s11q67__5","s11q67__6","s11q67__7","s11q67_os","s11q68","s11q68_os","s11q69","s11q36","s11q36_os","s11q70","s11q71","s11q71_os","s11q72","s11q73","s11q74","s11q38","s11q38b","s11q75a","s11q75b"
4,1,105,2,638,10091,2,1,,1,5000000,,,,,6,,,,,,,,,,,,2008,5,,6,,3,,5,2,,1,,2,4,,,800,,2,,,,,1,1,0,1,0,0,0,0,,3,3,4,,,2,5,,5,,2,,,,2,,,,,,,,2,2,,,,,,,,,5,,300,2,,2,,,1,2,,5,,,
4,1,105,2,638,10092,1,1,,1,8000000,,,,,6,,,,,,,,,,,,2017,5,,2,,3,,3,3,,1,,2,4,,,700,,2,,,,,1,1,0,0,0,0,0,0,,1,2,3,5,4,2,5,,5,,3,30,1,6,2,,,,,,,,2,2,,,,,,,,,5,,200,2,,2,,,1,2,,5,,,
5,3,322,2,0,10093,2,1,,1,200000,,,,,6,,,,,,,,,,,,2008,5,,2,,3,,5,3,,3,,2,4,,,0,,2,,,,,1,1,0,1,0,0,0,0,,1,0,0,1,168,2,5,,1,,3,2,1,20,2,,,,,,,,2,2,,,,,,,,,5,,0,7,,2,,,2,1,2,4,,,
4,1,105,2,638,10094,1,4,,3,,2000,1,,,6,,,,,,,,,,,,9999,1,,2,,3,,2,2,,1,,2,4,,,800,,2,,,,,1,1,0,1,0,0,0,0,,3,3,4,,,2,5,,5,,2,,,,2,,,,,,,,2,2,,,,,,,,,5,,300,2,,2,,,2,2,,5,,,
4,1,105,2,638,10096,5,4,,1,1000000,,,,,6,,,,,,,,,,,,1978,5,,4,,3,,4,2,,2,,2,4,,,500,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,0,0,2,5,,5,,3,15,1,4,2,,,,,,,,2,2,,,,,,,,,5,,0,7,,2,,,3,2,,5,,,
4,1,105,2,638,10097,2,1,,1,1000000,,,,,6,,,,,,,,,,,,1980,5,,4,,3,,4,2,,2,,2,4,,,500,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,0,0,2,5,,5,,3,15,1,4,2,,,,,,,,2,2,,,,,,,,,5,,0,8,,2,,,3,2,,5,,,
4,1,105,2,638,10098,2,1,,1,1000000,,,,,6,,,,,,,,,,,,9999,5,,6,,3,,1,6,,3,,2,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,0,0,2,5,,5,,3,10,1,3,2,,,,,,,,2,2,,,,,,,,,5,,0,7,,2,,,3,2,,5,,,
4,1,105,2,638,10099,1,1,,3,,1500,1,,,6,,,,,,,,,,,,9999,5,,6,,3,,1,2,,3,,2,4,,,0,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,0,0,2,5,,5,,3,15,1,3,1,5,,5,3,15,1,4,2,2,,,,,,,,,5,,0,7,,2,,,3,1,1,5,,,
4,1,105,2,638,10100,2,4,,1,1000000,,,,,6,,,,,,,,,,,,1981,5,,2,,3,,3,2,,3,,2,4,,,300,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,7,0,2,5,,5,,1,,,,2,,,,,,,,2,2,,,,,,,,,5,,0,7,,2,,,3,2,,5,,,
4,1,108,2,904,10102,1,1,,1,350000,,,,,6,,,,,,,,,,,,9999,5,,6,,3,,1,2,,3,,2,4,,,200,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,0,0,2,10,,,,1,,,,1,8,,,3,15,1,3,2,2,,,,,,,,,8,,350,7,,2,,,3,2,,5,,,
4,1,108,2,904,10103,1,4,,1,2000000,,,,,6,,,,,,,,,,,,9999,5,,4,,3,,3,2,,2,,2,4,,,1200,,2,,,,,1,1,0,1,0,0,0,0,,1,2,2,3,0,2,5,,2,,3,25,1,5,2,,,,,,,,2,2,,,,,,,,,5,,500,7,,2,,,3,2,,5,,,
4,1,108,2,904,10104,1,4,,1,2000000,,,,,6,,,,,,,,,,,,9999,5,,2,,3,,2,2,,3,,2,4,,,500,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,0,0,2,5,,2,,2,,,,2,,,,,,,,2,2,,,,,,,,,5,,200,7,,1,3,,3,2,,5,,,
4,1,108,2,904,10105,1,4,,1,1000000,,,,,6,,,,,,,,,,,,9999,5,,4,,3,,1,2,,3,,2,4,,,500,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,0,0,2,5,,2,,3,15,1,3,2,,,,,,,,2,2,,,,,,,,,5,,200,7,,2,,,3,1,99,5,,,
4,1,108,2,904,10106,3,4,,1,4000000,,,,,6,,,,,,,,,,,,1973,5,,2,,3,,3,1,,3,,2,4,,,1200,,2,,,,,1,1,0,1,0,0,0,0,,1,0,0,0,0,2,5,,2,,1,,,,2,,,,,,,,1,2,,,,,,,,,5,,200,7,,1,3,,3,2,,5,,,
4,1,108,2,904,10107,1,1,,1,8000000,,,,,6,,,,,,,,,,,,2010,5,,2,,5,,7,5,,3,,2,14,,,4500,,2,,,,,1,1,0,1,0,0,0,0,,3,3,4,,,2,5,,5,,3,20,1,3,2,,,,,,,,2,2,,,,,,,,,10,,1200,2,,2,,,1,2,,4,,,
4,1,108,2,904,10108,2,1,,1,2000000,,,,,6,,,,,,,,,,,,2003,5,,2,,3,,3,2,,3,,2,4,,,800,,2,,,,,1,1,0,1,0,0,0,0,,3,3,4,,,2,5,,5,,3,25,1,3,2,,,,,,,,1,2,,,,,,,,,10,,500,2,,2,,,1,2,,4,,,
4,1,108,2,904,10109,7,1,,1,8000000,,,,,6,,,,,,,,,,,,2015,5,,2,,5,,6,6,,1,,2,1,,,,,2,,,,,1,1,0,1,0,0,0,0,,3,3,4,,,-99,5,,5,,2,,,,2,,,,,,,,2,2,,,,,,,,,5,,2000,2,,2,,,1,2,,5,,,
4,1,108,2,904,10110,1,4,,1,600000,,,,,6,,,,,,,,,,,,1982,1,,2,,2,,4,2,,3,,2,4,,,1000,,2,,,,,1,1,0,1,0,0,0,0,,3,3,4,,,2,5,,5,,3,20,1,5,2,,,,,,,,2,2,,,,,,,,,5,,600,7,,2,,,3,2,,4,,,
4,1,102,1,46,19001,1,4,,3,,4000,1,,,6,,,,,,,,,,,,9999,5,,2,,3,,1,6,,1,,1,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,6,1,15,7,2,5,,5,,3,20,1,2,2,,,,,,,,2,2,,,,,,,,,5,,840,3,,1,1,,2,1,5,2,,100,2
4,1,102,1,46,19002,1,4,,3,,12000,1,,,6,,,,,,,,,,,,1961,5,,2,,3,,3,6,,1,,2,1,,,,,2,,,,,1,1,0,1,0,0,0,0,,1,4,1,15,6,2,5,,5,,3,9,1,14,2,,,,,,,,2,2,,,,,,,,,5,,2000,2,,1,1,,2,1,5,2,,300,2
4,1,102,1,46,19005,2,3,,5,,,,10000,1,5,,1,1,,,,,,,,,9999,5,,2,,3,,4,6,,1,,2,1,,,,,2,,,,,1,1,0,1,0,0,0,0,,1,5,2,14,7,2,5,,5,,3,15,1,4,2,,,,,,,,2,2,,,,,,,,,5,,3000,3,,2,,,1,2,,5,,,
4,1,102,1,46,19006,2,4,,5,,,,3000,1,4,,1,1,,,,,,,,,9999,5,,2,,3,,1,6,,4,,,1,,,,,2,,,,,1,1,0,1,0,0,0,0,,1,5,3,7,10,2,5,,5,,2,,,,2,,,,,,,,1,1,1,0,0,0,0,0,0,,10,,300,2,,3,,,2,1,7,4,,,
4,1,102,1,46,19007,1,4,,3,,3000,1,,,6,,,,,,,,,,,,9999,5,,2,,3,,1,6,,4,,,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,4,3,8,10,2,5,,5,,2,,,,2,,,,,,,,1,2,,,,,,,,,5,,200,2,,3,,,2,1,7,4,,,
