"zone","state","lga","sector","ea","hhid","ent_id","indiv","s9q13b__0","s9q13b__1","s9q13b__2","s9q13b__3","s9q13b__4","s9q13b__5","s9q13b__6","s9q13b__7","s9q13b__8","s9q13b__9","s9q13b__10","s9q13b__11","s9q13b__12","s9q13b__13","s9q13b__14","s9q13b__15","s9q13b__16","s9q13c","s9q13d"
4,1,107,2,1322,19081,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,9
4,1,107,2,1322,19081,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,8
4,1,107,2,1322,19082,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,107,2,1322,19082,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,3
4,1,107,2,1322,19082,2,2,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,,,10,7
4,1,107,2,1322,19084,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,5
4,1,107,2,1322,19084,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,2
4,1,107,2,1322,19084,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,2
4,1,107,2,1322,19084,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2
4,1,107,2,1322,19084,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2
4,1,107,2,1322,19084,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2
4,1,107,2,1322,19084,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,109,2,1214,19085,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,7
4,1,109,2,1214,19087,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,,,24,8
4,1,109,2,1214,19088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,6
4,1,109,2,1214,19094,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,109,2,1214,19095,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,4
4,1,109,2,1214,19096,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,5
4,1,109,2,1792,19097,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,20,7
4,1,109,2,1792,19100,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,26,4
4,1,109,2,1792,19101,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,109,2,1792,19104,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,8
4,1,109,2,1792,19105,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,,8,8
4,1,109,2,1792,19106,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,6
