"zone","state","lga","sector","ea","hhid","plotid","s11c1q2a","s11c1q2","s11c1q3","s11c1q3a","s11c1q4","s11c1q4a_1","s11c1q4a_2","s11c1q4a_3","s11c1q4a_4","s11c1q4a_5","s11c1q5a","s11c1q5","s11c1q6","s11c1q6a","s11c1q7","s11c1q7a_1","s11c1q7a_2","s11c1q7a_3","s11c1q7a_4","s11c1q7a_5","s11c1q8a","s11c1q8","s11c1q9","s11c1q9a","s11c1q10","s11c1q10a_1","s11c1q10a_2","s11c1q10a_3","s11c1q10a_4","s11c1q10a_5","s11c1q13a","s11c1q14a","s11c1q15a","s11c1q16a","s11c1q17a_1","s11c1q17a_2","s11c1q17a_3","s11c1q17a_4","s11c1q17a_5","s11c1q13b","s11c1q14b","s11c1q15b","s11c1q16b","s11c1q17b_1","s11c1q17b_2","s11c1q17b_3","s11c1q17b_4","s11c1q17b_5","s11c1q13c","s11c1q14c","s11c1q15c","s11c1q16c","s11c1q17c_1","s11c1q17c_2","s11c1q17c_3","s11c1q17c_4","s11c1q17c_5"
4,1,108,2,904,10105,1,1,4,26,6,2000,1,1,0,0,0,1,4,28,6,1500,0,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10105,2,1,3,22,6,2000,0,1,1,1,0,1,3,28,6,1500,0,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10106,1,2,,,,,,,,,,1,3,22,6,1500,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10106,2,2,,,,,,,,,,1,2,22,6,1500,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10106,3,1,2,22,6,2000,1,1,0,1,0,1,2,22,6,1500,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10107,2,1,10,12,8,1500,1,0,0,1,0,1,10,12,8,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10108,1,1,6,10,8,1500,1,0,0,1,0,1,8,10,8,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10109,1,1,12,10,8,1500,1,0,0,1,0,1,8,10,8,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10109,2,1,9,12,8,1500,1,0,0,1,0,1,8,10,8,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10110,1,1,6,12,8,1500,1,0,0,1,0,1,9,12,8,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10110,2,1,10,9,8,1500,1,0,0,1,0,1,8,11,8,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,46,19008,1,1,3,1,6,2000,1,0,0,0,0,1,1,2,5,1500,0,0,1,0,0,1,2,1,6,2000,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,46,19008,2,1,3,2,6,2000,1,0,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19038,1,1,2,20,8,1500,1,0,0,0,0,1,1,20,8,1000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19039,1,2,,,,,,,,,,1,3,5,8,1500,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19039,2,2,,,,,,,,,,1,4,5,8,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19041,1,1,2,2,6,2000,0,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,1,1,2,5,0,1,0,0,0,2,,,,,,,,,2,,,,,,,,
4,1,104,2,412,19041,2,1,2,2,2,2000,0,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,1,1,2,6,0,1,0,0,0,2,,,,,,,,,2,,,,,,,,
4,1,104,2,412,19043,1,1,3,30,6,1500,0,1,0,0,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19043,2,1,3,24,7,1500,0,1,0,1,1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
