"zone","state","lga","sector","ea","hhid","plotid","s11c2q10","s11c2q11a","s11c2q11b","s11c2q11_conv","s11c2q1","s11c2q2a","s11c2q2b","s11c2q2_conv","s11dq1a","s11c2q36_1","s11c2q36_2","s11c2q36_99","s11c2q36_os","s11c2q37a","s11c2q37b","s11c2q37a_conv","s11c2q38a","s11c2q38b","s11c2q38a_conv","s11c2q39a","s11c2q39b","s11c2q39a_conv","s11dq36","s11dq37a","s11dq37b","s11c2q37_conv","s11c2q19","s11c2q20","s11c2q21","s11c2q23","s11c2q25","s11c2q26","s11c2q27","s11c2q34"
4,1,107,2,10,19072,7,2,,,,2,,,,1,1,0,0,,2,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19073,1,2,,,,1,500,2,0.00100000004749745,1,1,1,0,,3,11,25,5,31,1.79999995231628,,,,1,1,12,50,2,,,,,3,2,3
4,1,107,2,1322,19073,3,2,,,,1,500,2,0.00100000004749745,1,1,1,0,,2,11,25,4,31,1.79999995231628,,,,1,1,11,25,2,,,,,3,2,3
4,1,107,2,1322,19073,4,2,,,,1,500,2,0.00100000004749745,1,1,1,0,,2,11,25,3,31,1.79999995231628,,,,1,500,2,0.00100000004749745,2,,,,,3,2,3
4,1,107,2,1322,19075,1,2,,,,2,,,,1,1,0,0,,3,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19075,2,2,,,,2,,,,1,1,0,0,,4,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19076,1,2,,,,2,,,,1,0,1,0,,,,,1,11,25,,,,2,,,,2,,,,,2,2,2
4,1,107,2,1322,19076,2,2,,,,2,,,,1,1,0,0,,1,11,25,,,,,,,2,,,,2,,,,,2,2,2
4,1,107,2,1322,19077,1,2,,,,1,2,3,1,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19077,2,2,,,,2,,,,1,1,0,0,,2,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19079,1,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19080,2,2,,,,2,,,,1,1,1,0,,3,12,50,2,12,50,,,,1,2,12,50,2,,,,,2,2,2
4,1,107,2,1322,19080,3,2,,,,2,,,,1,1,1,0,,1,12,50,1,12,50,,,,1,1,12,50,2,,,,,3,2,2
4,1,107,2,1322,19081,1,2,,,,1,1,3,1,1,1,1,0,,4,12,50,4,12,50,,,,1,1,12,50,2,,,,,2,2,2
4,1,107,2,1322,19081,2,2,,,,1,1,3,1,1,0,1,0,,,,,1,12,50,,,,1,1,12,50,2,,,,,3,2,2
4,1,107,2,1322,19082,1,2,,,,2,,,,1,1,0,0,,2,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19082,2,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19082,3,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19082,4,2,,,,1,1,3,1,1,0,1,0,,,,,1,12,50,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19082,5,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19082,6,2,,,,2,,,,1,1,0,0,,1,13,100,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1322,19084,1,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,1,1,12,50,2,,,,,2,2,2
4,1,107,2,1322,19084,2,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,1,1,12,50,2,,,,,2,2,2
4,1,107,2,1322,19084,3,2,,,,2,,,,1,0,1,0,,,,,1,12,50,,,,1,1,12,50,2,,,,,2,2,2
4,1,109,2,1214,19085,1,2,,,,2,,,,1,1,1,0,,1,12,50,1.5,12,50,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19085,2,2,,,,2,,,,1,1,1,0,,0.5,12,50,0.5,12,50,,,,2,,,,2,,,,,3,2,3
4,1,109,2,1214,19087,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
