"zone","state","lga","sector","ea","hhid","indiv","s6q0a","s6q0b","s6q1__1","s6q1__2","s6q1__3","s6q1__4","s6q2","s6q4a","s6q4b","s6q4b_os","s6q4c__1","s6q4c__2","s6q4c__3","s6q4c__4","s6q4c__5","s6q4c__6","s6q4c__7","s6q4c__8","s6q4c__9","s6q4c__11","s6q4c__10","s6q4c_os","s6q4d","s6q4d_os","s6q5","s6q6__1","s6q6__2","s6q6__3","s6q6__4","s6q6__5","s6q6_os","s6q8a","s6q8b","s6q8b_os","s6q9__1","s6q9__2","s6q9__3","s6q9__4","s6q9__5","s6q9__11","s6q9__10","s6q9_os","s6q10","s6q10_os","s6q11","s6q12","s6q13","s6q13_os","s6q14","s6q14_os","s6q15","s6q16__1","s6q16__2","s6q16__3","s6q16__4","s6q16__5","s6q16_os","s6q17"
4,1,107,2,1044,10061,7,2,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10062,1,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10063,6,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10063,7,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10063,10,2,6,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10063,12,2,6,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10063,13,2,6,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10064,1,1,,0,0,1,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,140000,1,,11,"BURIEL CEREMONY",2,,,,,,,
4,1,107,2,1044,10064,4,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10064,5,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10064,6,2,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,102,1,0,10065,2,1,,1,0,0,0,1,20000,4,,1,0,0,0,0,0,0,0,0,0,0,,1,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,102,1,0,10065,3,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,102,1,0,10065,5,2,2,1,0,0,0,1,5000,4,,1,0,0,0,0,0,0,0,0,0,0,,8,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,102,1,0,10065,7,2,8,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,102,1,0,10065,8,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10066,2,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10067,1,1,,0,0,1,1,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,20000,1,,1,,1,0,0,1,1,0,,8000
4,1,107,2,1044,10067,2,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10068,2,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10068,3,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10068,4,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10068,5,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10069,1,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,1044,10069,13,2,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,0,10070,2,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,107,2,0,10070,11,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,117,2,560,10071,1,2,6,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,117,2,560,10071,2,2,6,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,117,2,560,10071,3,2,6,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,117,2,560,10071,4,2,6,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,117,2,560,10071,5,2,6,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,117,2,560,10071,6,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,117,2,560,10072,1,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,117,2,560,10072,3,2,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
