"version","interview__key","zone","state","lga","sector","ea","cluster_id","InterviewDate"
"3","04-61-93-87",6,27,2715,2,752,"2715-752","2018-08-01T07:44:21"
"3","90-78-97-71",3,36,3611,1,10,"3611-10","2018-07-29T06:37:51"
"3","91-95-34-66",2,5,518,2,1588,"518-1588","2018-08-16T06:26:31"
"3","23-64-50-26",1,7,721,2,2400,"721-2400","2018-08-02T03:26:52"
"2","59-10-62-93",3,20,2025,2,2222,"2025-2222","2018-07-18T08:59:41"
"3","78-24-49-02",3,17,1716,2,1344,"1716-1344","2018-07-28T06:34:53"
"3","30-16-41-51",3,19,1924,2,356,"1924-356","2018-08-09T06:48:59"
"3","69-58-90-86",6,24,2418,1,1090,"2418-1090","2018-08-04T06:34:07"
"3","62-37-13-77",3,19,1933,2,330,"1933-330","2018-08-03T05:05:07"
"3","10-10-29-52",6,13,1309,2,674,"1309-674","2018-09-05T06:52:28"
"3","40-78-71-06",4,16,1601,2,2484,"1601-2484","2018-08-06T08:14:21"
"3","95-59-11-59",2,34,3407,1,64,"3407-64","2018-07-31T07:49:33"
"3","44-25-26-49",2,2,209,2,10,"209-10","2018-08-10T02:32:58"
"3","58-35-48-84",3,18,1804,1,2690,"1804-2690","2018-07-23T08:42:49"
"3","37-95-77-24",3,36,3610,2,1826,"3610-1826","2018-07-24T07:48:13"
"3","66-66-68-20",3,17,1725,2,200,"1725-200","2018-07-22T13:55:57"
"3","26-29-90-50",2,15,1510,2,838,"1510-838","2018-08-10T05:31:55"
"3","30-17-33-88",1,37,3705,2,32,"3705-32","2018-07-20T04:45:20"
"3","33-69-66-90",5,12,1211,1,446,"1211-446","2018-07-21T05:34:42"
"3","59-22-89-59",5,3,305,2,1542,"305-1542","2018-07-23T06:26:15"
"3","68-11-44-28",1,23,2310,2,30,"2310-30","2018-07-28T05:17:50"
"3","56-80-59-63",1,37,3706,1,1376,"3706-1376","2018-08-06T07:06:50"
"3","94-14-64-51",2,15,1502,2,1386,"1502-1386","2018-08-13T03:41:06"
"2","66-88-28-92",4,14,1403,2,944,"1403-944","2018-07-19T08:49:30"
