"zone","state","lga","sector","ea","hhid","s11c3q12"
4,4,421,1,0,40176,200
4,4,421,1,800,40177,200
4,4,421,1,800,40178,
4,4,421,1,800,40180,
4,4,402,2,1080,40202,
4,4,402,2,1080,40203,
4,4,402,2,1080,40204,
4,4,402,2,1080,40206,400
4,4,402,2,1080,40207,
4,4,402,2,1080,40208,
4,4,402,2,1080,40209,
6,24,406,1,0,40210,
4,4,402,2,874,49001,
4,4,402,2,874,49003,
4,4,402,2,874,49004,
4,4,402,2,874,49005,
4,4,402,2,874,49006,
4,4,402,2,874,49007,
4,4,402,2,874,49008,
4,4,402,2,874,49009,400
4,4,402,2,874,49010,400
4,4,402,2,874,49011,
4,4,405,2,716,49013,200
4,14,1405,,0,49015,1200
4,4,405,2,716,49017,
4,4,405,,0,49018,
4,4,405,2,716,49019,2000
4,4,405,2,716,49020,
4,4,405,2,716,49023,
4,4,405,2,716,49024,0
4,4,406,,0,49025,1000
4,4,408,2,630,49026,
4,4,408,2,630,49027,
4,4,408,2,630,49034,
4,4,408,2,630,49035,
4,4,408,2,630,49036,
4,4,412,1,1562,49037,
4,4,412,1,1562,49038,
4,4,412,1,1562,49039,
4,4,412,1,1562,49040,
4,4,412,1,1562,49041,
4,4,412,1,1562,49042,
4,4,412,1,1562,49043,
4,4,412,1,1562,49044,
4,4,412,1,1562,49045,450
4,4,412,1,1562,49046,
4,4,416,1,372,49049,
4,4,416,1,372,49051,
4,4,416,1,372,49052,
2,34,,,0,49054,
4,4,416,1,372,49055,600
4,4,416,1,372,49057,
4,4,416,1,372,49058,
4,4,416,1,372,49060,
4,4,416,1,730,49063,
4,4,416,1,730,49064,
4,4,409,,0,49065,
4,4,416,1,730,49066,
6,24,2404,,0,49067,
4,4,416,1,730,49068,
4,4,416,1,730,49069,
4,4,416,1,730,49070,
4,4,416,1,730,49071,
4,4,417,1,114,49073,
4,4,417,1,114,49075,
4,4,417,1,114,49076,
4,4,417,1,114,49077,
4,4,417,1,114,49079,
4,4,417,1,114,49080,1000
4,4,417,1,114,49081,
4,4,417,1,114,49082,
4,4,417,1,114,49083,2000
4,4,419,1,1006,49085,
4,4,419,1,1006,49086,
4,4,419,1,1006,49088,
4,4,419,1,1006,49089,
4,4,419,1,1006,49090,
4,4,419,1,1006,49091,
4,4,419,1,1006,49093,
4,4,419,1,1006,49094,
4,4,419,1,1006,49095,200
4,4,420,1,1296,49097,400
4,4,420,1,1296,49098,
4,4,420,1,1296,49100,400
4,4,420,1,1296,49101,200
4,4,420,1,1296,49102,
4,4,420,1,1296,49103,
4,4,420,1,1296,49104,600
4,4,420,1,1296,49105,1000
4,4,420,1,1296,49106,200
4,4,420,1,1296,49108,
4,4,405,2,716,49111,0
4,4,405,2,716,49112,
4,4,408,2,630,49113,
4,4,408,2,630,49114,200
4,4,416,1,372,49117,
4,4,416,1,372,49118,
4,4,417,1,114,49122,
4,4,419,1,1006,49124,200
4,4,407,1,680,49126,2000
4,4,407,1,680,49129,2000
4,4,407,1,680,49130,2000
4,4,407,1,680,49131,0
4,4,407,1,680,49132,4000
4,4,407,1,680,49133,5000
4,4,407,1,680,49134,3600
4,4,407,1,680,49135,100
4,4,407,1,680,49136,2500
4,4,407,1,680,49137,0
2,5,506,2,830,50001,0
2,5,506,2,830,50002,0
2,5,506,2,830,50003,0
2,5,506,2,830,50004,2500
2,5,506,2,830,50005,0
2,5,506,2,830,50006,600
2,5,506,2,830,50007,0
2,5,506,2,830,50008,200
2,5,506,2,830,50009,1800
2,5,502,2,3878,50031,1000
2,5,502,2,3878,50032,
2,5,502,2,3878,50033,
2,5,502,2,3878,50034,0
2,5,502,2,3878,50035,5000
2,5,502,2,3878,50036,0
2,5,502,2,0,50037,0
2,5,502,2,3878,50038,0
2,5,502,2,3878,50039,0
2,5,502,2,3878,50040,0
2,5,513,2,348,50051,0
2,5,513,2,348,50052,600
2,5,513,2,348,50053,0
2,5,513,2,348,50054,800
2,5,513,2,348,50055,1000
2,5,513,2,348,50056,1200
2,5,513,2,348,50057,5000
2,5,513,2,348,50058,1500
2,5,513,2,348,50059,1000
2,5,513,2,348,50060,1000
2,5,508,2,984,50091,500
2,5,508,2,984,50092,800
2,5,508,2,984,50093,200
2,5,508,2,984,50094,500
2,5,508,2,984,50095,0
2,5,508,2,984,50096,
2,5,508,2,984,50097,550
2,5,508,2,984,50098,
2,5,508,2,984,50099,400
2,5,508,2,984,50100,0
2,5,518,2,1588,50131,300
2,5,518,2,1588,50132,400
2,5,518,2,1588,50133,5000
2,5,518,2,1588,50134,3000
2,5,518,2,1588,50135,1500
2,5,518,2,1588,50136,500
2,5,518,2,1588,50137,500
2,5,518,2,1588,50138,2000
2,5,518,2,1588,50139,2000
1,31,3105,1,0,50140,6500
2,5,518,2,1304,50151,
2,5,518,2,1304,50152,2500
2,5,518,2,1304,50153,400
2,5,518,2,1304,50154,0
2,5,518,2,1304,50155,
2,5,518,2,1304,50156,0
2,5,518,2,1304,50157,1200
2,5,518,2,1304,50158,0
2,5,518,2,1304,50159,3500
2,5,518,2,1304,50160,
2,5,520,2,1756,50161,200
2,5,520,2,1756,50162,
2,5,520,2,1756,50163,
2,5,520,2,1756,50164,200
2,5,520,2,1756,50165,100
2,5,520,2,1756,50166,
2,5,520,2,1756,50167,0
2,5,520,2,1756,50168,500
2,5,520,2,1756,50169,400
2,5,520,2,1756,50170,500
2,5,502,1,562,59003,
2,5,502,1,562,59004,
2,5,502,1,562,59005,5000
2,5,502,1,562,59006,300
2,5,502,1,562,59007,
2,5,502,1,562,59009,
2,5,502,1,562,59010,
2,5,502,1,562,59011,
2,5,502,1,562,59012,200
2,5,503,2,246,59013,
2,5,503,2,246,59014,100
