"zone","state","lga","sector","ea","hhid","plotid","sa2bq2a","sa2bq2","sa2bq3","sa2bq3a","sa2bq4","sa2bq4a__1","sa2bq4a__2","sa2bq4a__3","sa2bq4a__4","sa2bq4a__5","sa2bq5a","sa2bq5","sa2bq6","sa2bq6a","sa2bq7","sa2bq7a__1","sa2bq7a__2","sa2bq7a__3","sa2bq7a__4","sa2bq7a__5","sa2bq8a","sa2bq8","sa2bq9","sa2bq9a","sa2bq10","sa2bq10a__1","sa2bq10a__2","sa2bq10a__3","sa2bq10a__4","sa2bq10a__5","sa2bq13a","sa2bq14a","sa2bq15a","sa2bq16a","sa2bq17a__1","sa2bq17a__2","sa2bq17a__3","sa2bq17a__4","sa2bq17a__5","sa2bq13b","sa2bq14b","sa2bq15b","sa2bq16b","sa2bq17b__1","sa2bq17b__2","sa2bq17b__3","sa2bq17b__4","sa2bq17b__5","sa2bq13c","sa2bq14c","sa2bq15c","sa2bq16c","sa2bq17c__1","sa2bq17c__2","sa2bq17c__3","sa2bq17c__4","sa2bq17c__5"
4,1,107,2,1322,19077,1,0,,,,,,,,,,1,3,1,8,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19077,2,0,,,,,,,,,,1,4,1,8,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19079,1,0,,,,,,,,,,1,3,1,6,700,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19081,1,1,4,2,6,1500,1,0,0,1,0,1,3,2,6,700,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19081,2,1,2,2,6,1500,1,0,0,0,0,1,1,2,6,700,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19082,2,0,,,,,,,,,,1,4,2,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19082,3,1,5,2,5,1000,1,0,0,1,0,1,12,2,6,700,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19084,1,0,,,,,,,,,,1,3,3,4,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19084,2,0,,,,,,,,,,1,4,2,4,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19084,3,0,,,,,,,,,,1,3,2,5,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19085,1,0,,,,,,,,,,1,3,3,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19085,2,0,,,,,,,,,,1,2,1,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19088,1,0,,,,,,,,,,1,2,5,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19088,2,0,,,,,,,,,,1,3,2,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19089,1,0,,,,,,,,,,1,3,2,6,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19089,2,0,,,,,,,,,,1,4,2,6,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19089,3,0,,,,,,,,,,1,3,2,5,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19091,1,0,,,,,,,,,,1,9,2,6,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19091,3,0,,,,,,,,,,1,5,2,6,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19091,4,0,,,,,,,,,,1,4,2,6,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19093,1,0,,,,,,,,,,1,4,2,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
