"zone","state","lga","sector","ea","hhid","plotid","indiv","sa2aq1b","sa2aq1c","sa2aq1d__1","sa2aq1d__2","sa2aq1d__3","sa2aq1d__4","sa2aq1d__5","sa2aq1d__6"
4,1,107,2,10,19062,2,1,25,4,0,0,1,0,1,1
4,1,107,2,10,19062,2,4,8,3,0,0,1,0,1,0
4,1,107,2,10,19063,1,1,10,5,0,0,1,0,1,0
4,1,107,2,10,19063,2,1,6,5,0,0,1,0,1,0
4,1,107,2,10,19064,1,1,20,7,0,0,1,0,1,1
4,1,107,2,10,19064,1,2,20,7,0,0,1,0,1,1
4,1,107,2,10,19064,2,1,15,7,0,0,1,0,1,0
4,1,107,2,10,19064,2,2,12,7,0,0,1,0,1,0
4,1,107,2,10,19064,3,1,20,7,0,0,1,0,1,0
4,1,107,2,10,19064,3,2,20,7,0,0,1,0,1,0
4,1,107,2,10,19066,1,1,5,4,0,0,1,0,1,1
4,1,107,2,10,19066,1,2,10,5,0,0,1,0,1,0
4,1,107,2,10,19066,2,1,3,5,0,0,0,0,1,1
4,1,107,2,10,19066,2,2,6,5,0,0,1,0,1,0
4,1,107,2,10,19068,1,1,17,5,1,0,1,0,1,1
4,1,107,2,10,19068,1,2,9,2,0,0,1,0,1,0
4,1,107,2,10,19068,2,1,10,3,1,0,1,0,0,1
4,1,107,2,10,19068,2,2,5,2,1,1,0,0,1,1
4,1,107,2,10,19069,1,1,15,6,0,0,1,0,1,0
4,1,107,2,10,19069,1,2,10,6,0,0,1,0,1,0
4,1,107,2,10,19069,2,2,15,4,0,0,1,0,1,0
4,1,107,2,10,19070,1,1,20,4,0,0,1,0,1,1
4,1,107,2,10,19070,1,2,24,5,0,0,1,0,1,1
4,1,107,2,10,19070,2,1,15,3,0,0,1,0,1,1
4,1,107,2,10,19070,2,2,17,4,0,0,1,0,1,0
4,1,107,2,10,19070,2,3,10,3,0,0,1,0,1,0
4,1,107,2,10,19070,3,1,20,3,0,0,1,0,1,1
4,1,107,2,10,19070,3,2,21,4,0,0,1,0,1,1
4,1,107,2,10,19070,4,1,18,4,0,0,1,0,1,1
4,1,107,2,10,19070,4,2,16,5,0,0,1,0,1,1
4,1,107,2,10,19071,1,2,18,6,0,0,1,0,1,0
4,1,107,2,10,19071,2,1,12,6,0,0,1,0,1,0
4,1,107,2,10,19071,2,2,12,6,0,0,1,0,1,0
4,1,107,2,10,19071,3,2,12,6,0,0,1,0,1,0
