"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iiiq7","sa3iiiq8a","sa3iiiq8b","sa3iiiq9","sa3iiiq10","sa3iiiq10_os","sa3iiiq11","sa3iiiq12a","sa3iiiq12b","sa3iiiq13a","sa3iiiq13c","sa3iiiq13c_os","sa3iiiq13d","sa3iiiq13b","sa3iiiq13_conv","sa3iiiq14"
5,6,608,2,1288,69037,3,2170,1,9,2018,1,3,,1,10,2018,30,110,,1,,5.1399998664856,30000
5,6,608,2,1288,69037,4,2170,1,11,2018,1,3,,2,,,25,110,,1,,5.1399998664856,20000
5,6,608,2,1288,69037,5,2170,1,10,2018,1,3,,2,,,23,110,,1,,5.1399998664856,18400
5,6,608,2,1288,69037,8,2170,2,,,,,,,,,,,,,,,
5,6,608,2,1288,69038,1,2170,1,10,2018,1,3,,1,10,2018,30,110,,2,,7.96500015258789,30000
5,6,608,2,1288,69038,3,2170,2,,,,,,,,,,,,,,,
5,6,608,2,1288,69038,5,2170,2,,,,,,,,,,,,,,,
5,6,608,2,1288,69038,6,2170,1,10,2018,1,3,,2,,,12,110,,2,,7.96500015258789,12000
5,6,608,2,1288,69040,1,2170,2,,,,,,,,,,,,,,,
5,6,608,2,1288,69041,1,2170,1,11,2018,2,,,2,,,4,110,,1,,5.1399998664856,5100
5,6,608,2,1288,69042,2,2170,1,4,2018,1,11,"FLOOD",1,10,2018,150,110,,1,,5.1399998664856,150000
5,6,608,2,1288,69042,3,2170,1,4,2018,1,11,"FLOOD",2,,,150,110,,1,,5.1399998664856,120000
5,6,608,2,1288,69043,1,2170,1,9,2018,1,2,,1,11,2018,28,110,,1,,5.1399998664856,28000
5,6,608,2,1288,69045,3,2170,1,10,2018,1,11,"FLOOD",1,10,2018,32,110,,1,,5.1399998664856,25600
5,6,608,2,1288,69046,1,2170,1,3,2018,1,2,,2,,,15,110,,1,,5.1399998664856,7500
5,6,608,2,1288,69046,2,2170,1,4,2018,1,2,,1,12,2018,20,110,,1,,5.1399998664856,10000
5,6,608,2,1288,69048,1,2170,2,,,,,,,,,,,,,,,
5,6,608,2,1288,69048,2,2170,1,3,2018,2,,,2,,,7,80,,1,,0.230000004172325,3500
5,6,608,2,1288,69048,4,2170,2,,,,,,,,,,,,,,,
5,6,608,2,1288,69048,6,2170,2,,,,,,,,,,,,,,,
1,7,715,2,780,70133,3,3020,1,8,2018,2,,,2,,,4,130,,11,,50,24000
1,7,715,2,780,70133,4,2170,1,8,2018,2,,,2,,,50,110,,1,,5.1399998664856,10000
1,7,715,2,780,70134,5,2170,1,10,2018,2,,,2,,,8,110,,1,,5.1399998664856,6800
