"zone","state","lga","sector","ea","hhid","item_cd","s10cq8"
4,1,107,2,1044,10064,10,2
4,1,107,2,1044,10064,11,3
4,1,102,1,0,10065,1,3
4,1,102,1,0,10065,2,3
4,1,102,1,0,10065,3,1
4,1,102,1,0,10065,4,2
4,1,102,1,0,10065,5,2
4,1,102,1,0,10065,6,1
4,1,102,1,0,10065,7,1
4,1,102,1,0,10065,8,4
4,1,102,1,0,10065,9,2
4,1,102,1,0,10065,10,2
4,1,102,1,0,10065,11,4
4,1,107,2,1044,10066,1,5
4,1,107,2,1044,10066,2,3
4,1,107,2,1044,10066,3,3
4,1,107,2,1044,10066,4,3
4,1,107,2,1044,10066,5,3
4,1,107,2,1044,10066,6,3
4,1,107,2,1044,10066,7,3
4,1,107,2,1044,10066,8,5
4,1,107,2,1044,10066,9,2
4,1,107,2,1044,10066,10,0
4,1,107,2,1044,10066,11,3
4,1,107,2,1044,10067,1,2
4,1,107,2,1044,10067,2,3
4,1,107,2,1044,10067,3,0
4,1,107,2,1044,10067,4,3
4,1,107,2,1044,10067,5,2
4,1,107,2,1044,10067,6,0
4,1,107,2,1044,10067,7,0
4,1,107,2,1044,10067,8,0
4,1,107,2,1044,10067,9,2
4,1,107,2,1044,10067,10,0
4,1,107,2,1044,10067,11,2
4,1,107,2,1044,10068,1,2
4,1,107,2,1044,10068,2,3
4,1,107,2,1044,10068,3,2
4,1,107,2,1044,10068,4,3
4,1,107,2,1044,10068,5,2
4,1,107,2,1044,10068,6,0
4,1,107,2,1044,10068,7,2
4,1,107,2,1044,10068,8,2
4,1,107,2,1044,10068,9,2
4,1,107,2,1044,10068,10,2
4,1,107,2,1044,10068,11,6
4,1,107,2,1044,10069,1,3
4,1,107,2,1044,10069,2,7
4,1,107,2,1044,10069,3,3
4,1,107,2,1044,10069,4,3
4,1,107,2,1044,10069,5,3
4,1,107,2,1044,10069,6,0
4,1,107,2,1044,10069,7,6
4,1,107,2,1044,10069,8,4
4,1,107,2,1044,10069,9,5
4,1,107,2,1044,10069,10,3
4,1,107,2,1044,10069,11,4
4,1,107,2,0,10070,1,3
4,1,107,2,0,10070,2,4
4,1,107,2,0,10070,3,2
4,1,107,2,0,10070,4,5
4,1,107,2,0,10070,5,4
4,1,107,2,0,10070,6,0
4,1,107,2,0,10070,7,4
4,1,107,2,0,10070,8,2
4,1,107,2,0,10070,9,4
4,1,107,2,0,10070,10,3
4,1,107,2,0,10070,11,3
4,1,117,2,560,10071,1,3
4,1,117,2,560,10071,2,5
4,1,117,2,560,10071,3,0
4,1,117,2,560,10071,4,7
4,1,117,2,560,10071,5,7
4,1,117,2,560,10071,6,7
4,1,117,2,560,10071,7,0
4,1,117,2,560,10071,8,2
4,1,117,2,560,10071,9,7
4,1,117,2,560,10071,10,3
4,1,117,2,560,10071,11,6
4,1,117,2,560,10072,1,5
4,1,117,2,560,10072,2,7
4,1,117,2,560,10072,3,0
4,1,117,2,560,10072,4,6
4,1,117,2,560,10072,5,7
4,1,117,2,560,10072,6,7
4,1,117,2,560,10072,7,0
4,1,117,2,560,10072,8,6
4,1,117,2,560,10072,9,7
4,1,117,2,560,10072,10,5
4,1,117,2,560,10072,11,5
4,1,117,2,560,10073,1,1
4,1,117,2,560,10073,2,1
4,1,117,2,560,10073,3,2
4,1,117,2,560,10073,4,2
4,1,117,2,560,10073,5,1
4,1,117,2,560,10073,6,1
4,1,117,2,560,10073,7,0
4,1,117,2,560,10073,8,1
4,1,117,2,560,10073,9,2
4,1,117,2,560,10073,10,1
4,1,117,2,560,10073,11,2
4,1,117,2,560,10074,1,2
4,1,117,2,560,10074,2,2
4,1,117,2,560,10074,3,1
4,1,117,2,560,10074,4,1
4,1,117,2,560,10074,5,2
4,1,117,2,560,10074,6,1
4,1,117,2,560,10074,7,1
4,1,117,2,560,10074,8,2
4,1,117,2,560,10074,9,3
4,1,117,2,560,10074,10,1
4,1,117,2,560,10074,11,1
4,1,117,2,560,10075,1,5
4,1,117,2,560,10075,2,4
4,1,117,2,560,10075,3,2
4,1,117,2,560,10075,4,3
4,1,117,2,560,10075,5,5
4,1,117,2,560,10075,6,0
4,1,117,2,560,10075,7,2
4,1,117,2,560,10075,8,3
4,1,117,2,560,10075,9,4
4,1,117,2,560,10075,10,0
4,1,117,2,560,10075,11,3
4,1,117,2,560,10076,1,4
4,1,117,2,560,10076,2,5
4,1,117,2,560,10076,3,3
4,1,117,2,560,10076,4,2
4,1,117,2,560,10076,5,5
4,1,117,2,560,10076,6,0
4,1,117,2,560,10076,7,0
4,1,117,2,560,10076,8,2
4,1,117,2,560,10076,9,5
4,1,117,2,560,10076,10,0
4,1,117,2,560,10076,11,5
4,1,117,2,560,10077,1,2
4,1,117,2,560,10077,2,4
4,1,117,2,560,10077,3,2
4,1,117,2,560,10077,4,2
4,1,117,2,560,10077,5,1
4,1,117,2,560,10077,6,1
4,1,117,2,560,10077,7,1
4,1,117,2,560,10077,8,1
4,1,117,2,560,10077,9,5
4,1,117,2,560,10077,10,2
4,1,117,2,560,10077,11,2
4,1,117,2,560,10078,1,3
4,1,117,2,560,10078,2,4
4,1,117,2,560,10078,3,2
4,1,117,2,560,10078,4,2
4,1,117,2,560,10078,5,0
4,1,117,2,560,10078,6,0
4,1,117,2,560,10078,7,0
4,1,117,2,560,10078,8,0
4,1,117,2,560,10078,9,5
4,1,117,2,560,10078,10,0
4,1,117,2,560,10078,11,2
4,1,117,2,560,10079,1,3
4,1,117,2,560,10079,2,3
4,1,117,2,560,10079,3,2
4,1,117,2,560,10079,4,3
4,1,117,2,560,10079,5,5
4,1,117,2,560,10079,6,3
4,1,117,2,560,10079,7,1
4,1,117,2,560,10079,8,3
4,1,117,2,560,10079,9,6
4,1,117,2,560,10079,10,2
4,1,117,2,560,10079,11,3
4,1,117,2,560,10080,1,3
4,1,117,2,560,10080,2,6
4,1,117,2,560,10080,3,3
4,1,117,2,560,10080,4,4
4,1,117,2,560,10080,5,5
4,1,117,2,560,10080,6,3
4,1,117,2,560,10080,7,1
4,1,117,2,560,10080,8,2
4,1,117,2,560,10080,9,6
4,1,117,2,560,10080,10,2
4,1,117,2,560,10080,11,3
4,1,105,2,638,10091,1,2
4,1,105,2,638,10091,2,3
4,1,105,2,638,10091,3,3
4,1,105,2,638,10091,4,6
4,1,105,2,638,10091,5,6
4,1,105,2,638,10091,6,7
4,1,105,2,638,10091,7,1
4,1,105,2,638,10091,8,5
4,1,105,2,638,10091,9,7
4,1,105,2,638,10091,10,0
4,1,105,2,638,10091,11,5
4,1,105,2,638,10092,1,4
4,1,105,2,638,10092,2,3
4,1,105,2,638,10092,3,0
4,1,105,2,638,10092,4,7
4,1,105,2,638,10092,5,6
4,1,105,2,638,10092,6,7
4,1,105,2,638,10092,7,3
4,1,105,2,638,10092,8,5
4,1,105,2,638,10092,9,7
4,1,105,2,638,10092,10,0
4,1,105,2,638,10092,11,5
5,3,322,2,0,10093,1,3
5,3,322,2,0,10093,2,7
5,3,322,2,0,10093,3,4
5,3,322,2,0,10093,4,7
5,3,322,2,0,10093,5,7
5,3,322,2,0,10093,6,0
5,3,322,2,0,10093,7,1
5,3,322,2,0,10093,8,0
5,3,322,2,0,10093,9,7
5,3,322,2,0,10093,10,0
5,3,322,2,0,10093,11,7
4,1,105,2,638,10094,1,4
4,1,105,2,638,10094,2,7
4,1,105,2,638,10094,3,3
4,1,105,2,638,10094,4,7
4,1,105,2,638,10094,5,7
4,1,105,2,638,10094,6,7
4,1,105,2,638,10094,7,4
4,1,105,2,638,10094,8,5
4,1,105,2,638,10094,9,7
4,1,105,2,638,10094,10,0
4,1,105,2,638,10094,11,7
4,1,105,2,638,10096,1,3
4,1,105,2,638,10096,2,3
4,1,105,2,638,10096,3,0
4,1,105,2,638,10096,4,3
4,1,105,2,638,10096,5,3
4,1,105,2,638,10096,6,0
4,1,105,2,638,10096,7,2
4,1,105,2,638,10096,8,3
4,1,105,2,638,10096,9,4
4,1,105,2,638,10096,10,0
4,1,105,2,638,10096,11,3
4,1,105,2,638,10097,1,2
4,1,105,2,638,10097,2,4
4,1,105,2,638,10097,3,1
4,1,105,2,638,10097,4,2
4,1,105,2,638,10097,5,1
4,1,105,2,638,10097,6,0
4,1,105,2,638,10097,7,1
4,1,105,2,638,10097,8,1
4,1,105,2,638,10097,9,5
4,1,105,2,638,10097,10,0
4,1,105,2,638,10097,11,5
4,1,105,2,638,10098,1,3
4,1,105,2,638,10098,2,5
4,1,105,2,638,10098,3,2
4,1,105,2,638,10098,4,5
4,1,105,2,638,10098,5,5
4,1,105,2,638,10098,6,0
4,1,105,2,638,10098,7,2
4,1,105,2,638,10098,8,3
4,1,105,2,638,10098,9,4
4,1,105,2,638,10098,10,0
4,1,105,2,638,10098,11,3
4,1,105,2,638,10099,1,2
4,1,105,2,638,10099,2,3
4,1,105,2,638,10099,3,2
4,1,105,2,638,10099,4,4
4,1,105,2,638,10099,5,2
4,1,105,2,638,10099,6,2
4,1,105,2,638,10099,7,1
4,1,105,2,638,10099,8,2
4,1,105,2,638,10099,9,5
4,1,105,2,638,10099,10,2
4,1,105,2,638,10099,11,5
4,1,105,2,638,10100,1,2
4,1,105,2,638,10100,2,2
4,1,105,2,638,10100,3,2
4,1,105,2,638,10100,4,3
4,1,105,2,638,10100,5,1
4,1,105,2,638,10100,6,3
4,1,105,2,638,10100,7,1
4,1,105,2,638,10100,8,3
4,1,105,2,638,10100,9,6
4,1,105,2,638,10100,10,3
4,1,105,2,638,10100,11,4
4,1,108,2,904,10102,1,4
4,1,108,2,904,10102,2,6
4,1,108,2,904,10102,3,3
